file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C79F46D,0,,,,,record0:segment0:timing0-0,,今だ 記憶板を抜き取るんだ！,記憶板にはそれぞれの役割がある,,现在，拔出记忆板！,,MATCH,40,27,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,1,,,,,record1:segment0:timing0-0,今だ 記憶板を抜き取るんだ！,記憶板にはそれぞれの役割がある,連動する部位を攻撃すると記憶板に変化があるはずだ,,每块记忆板都有各自的作用。,,MATCH,45,39,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,2,,,,,record2:segment0:timing0-0,記憶板にはそれぞれの役割がある,連動する部位を攻撃すると記憶板に変化があるはずだ,外部からの衝撃が強すぎても\n記憶板回収の妨げになるかもしれない,,攻击与其联动的部位，记忆板应该会发生变化。,,MATCH,72,63,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,3,,,,,record3:segment0:timing0-0,連動する部位を攻撃すると記憶板に変化があるはずだ,外部からの衝撃が強すぎても\n記憶板回収の妨げになるかもしれない,ポッドが射出される前に \nAIの記憶板を抜き取るんだ！,,外部冲击过强，也可能妨碍回收记忆板。,,MATCH,92,54,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,4,,,,,record4:segment0:timing0-0,外部からの衝撃が強すぎても\n記憶板回収の妨げになるかもしれない,ポッドが射出される前に \nAIの記憶板を抜き取るんだ！,黒い記憶板はロックされてる\nアイコンが出ている記憶板を狙え,,在舱体被弹射前，拔出AI的记忆板！,,MATCH,74,47,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,5,,,,,record5:segment0:timing0-0,ポッドが射出される前に \nAIの記憶板を抜き取るんだ！,黒い記憶板はロックされてる\nアイコンが出ている記憶板を狙え,記憶板を抜き取るには\n<I=MOVE>で選んで<I=CONF>だ,,"黑色记忆板被锁定了。
瞄准显示图标的记忆板。",,MATCH,86,64,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,6,,,,,record6:segment0:timing0-0,黒い記憶板はロックされてる\nアイコンが出ている記憶板を狙え,記憶板を抜き取るには\n<I=MOVE>で選んで<I=CONF>だ,連動した部位を壊せば記憶板のロックを外せる,<I=MOVE> | <I=CONF>,"要拔出记忆板，
用<I=MOVE>选择，再按<I=CONF>。",<I=MOVE> | <I=CONF>,MATCH,63,59,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,7,,,,,record7:segment0:timing0-0,記憶板を抜き取るには\n<I=MOVE>で選んで<I=CONF>だ,連動した部位を壊せば記憶板のロックを外せる,抜き取った記憶板はAI兵器を作りたいときに利用できる,,破坏联动部位就能解除记忆板锁定。,,MATCH,63,48,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,8,,,,,record8:segment0:timing0-0,連動した部位を壊せば記憶板のロックを外せる,抜き取った記憶板はAI兵器を作りたいときに利用できる,記憶板はアイコンごとに機能が違う\n欲しいものを選んでくれ,,拔出的记忆板可用于制造AI兵器。,,MATCH,74,44,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,9,,,,,record9:segment0:timing0-0,抜き取った記憶板はAI兵器を作りたいときに利用できる,記憶板はアイコンごとに機能が違う\n欲しいものを選んでくれ,ロックの外れた記憶板を抜き取ってやれ！,,"记忆板按图标有不同功能。
选择你想要的。",,MATCH,83,58,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,10,,,,,record10:segment0:timing0-0,記憶板はアイコンごとに機能が違う\n欲しいものを選んでくれ,ロックの外れた記憶板を抜き取ってやれ！,記憶板を抜き取るんだ！　\nロックが外れた記憶板にはアイコンが出ているはずだ,,拔出已经解锁的记忆板！,,MATCH,57,33,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,11,,,,,record11:segment0:timing0-0,ロックの外れた記憶板を抜き取ってやれ！,記憶板を抜き取るんだ！　\nロックが外れた記憶板にはアイコンが出ているはずだ,外から衝撃を与えれば\nその部位に連動する記憶板が光るはずだ,,"拔出记忆板！
已解锁的记忆板应该会显示图标。",,MATCH,110,64,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C79F46D,12,,,,,record12:segment0:timing0-0,記憶板を抜き取るんだ！　\nロックが外れた記憶板にはアイコンが出ているはずだ,外から衝撃を与えれば\nその部位に連動する記憶板が光るはずだ,記憶板が光ったときの色で機能を推測できる,,"从外部施加冲击，
对应部位联动的记忆板应该会亮起。",,MATCH,86,73,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
