file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_GAMEOVER.OLANG,0,0,0;0,2,,page156:tag:entity9:key009CD659:ref0:ord0;page168:tag:entity9:key009CD659:ref0:ord0,,METAL GEAR SOLID PEACE WALKER,RESTART MISSION,,METAL GEAR SOLID PEACE WALKER,,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_GAMEOVER.OLANG,1,1,1;1,2,,page156:tag:entity3:key005A3C76:ref1:ord0;page168:tag:entity3:key005A3C76:ref1:ord0,METAL GEAR SOLID PEACE WALKER,RESTART MISSION,MISSION SELECT,,RESTART MISSION,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_GAMEOVER.OLANG,2,2,2;2,2,,page156:tag:entity0:key001AD08A:ref2:ord0;page168:tag:entity0:key001AD08A:ref2:ord0,RESTART MISSION,MISSION SELECT,GAME OVER,,MISSION SELECT,,MATCH,14,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_GAMEOVER.OLANG,3,4,4;4,2,,page156:tag:entity8:key008CB632:ref4:ord0;page168:tag:entity8:key008CB632:ref4:ord0,MISSION SELECT,GAME OVER,ホストの決定を待っています。,,GAME OVER,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_GAMEOVER.OLANG,4,5,5;5,2,,page156:tag:entity5:key0075081C:ref5:ord0;page168:tag:entity5:key0075081C:ref5:ord0,GAME OVER,ホストの決定を待っています。,他のプレイヤーの決定を待っています。,,正在等待主机决定。,,MATCH,42,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_GAMEOVER.OLANG,5,6,6;6,2,,page156:tag:entity11:key00CFE5D3:ref6:ord0;page168:tag:entity11:key00CFE5D3:ref6:ord0,ホストの決定を待っています。,他のプレイヤーの決定を待っています。,カウントが0になると自動的にミッションをリスタートします。,,正在等待其他玩家决定。,,MATCH,54,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_GAMEOVER.OLANG,6,7,7;7,2,,page156:tag:entity2:key004A4F2C:ref7:ord0;page168:tag:entity2:key004A4F2C:ref7:ord0,他のプレイヤーの決定を待っています。,カウントが0になると自動的にミッションをリスタートします。,    ,,倒计时归零后将自动重新开始任务。,,MATCH,85,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_RESTART_MISSION_SEMANTICS_PRESERVED; AUX_GENERIC_CONTINUE_REJECTED
LANG_GAMEOVER.OLANG,7,8,8;12;8;12,4,,page156:tag:entity7:key007D4683:ref8:ord0;page156:tag:entity6:key007C4683:ref12:ord0;page168:tag:entity7:key007D4683:ref8:ord0;page168:tag:entity6:key007C4683:ref12:ord0,カウントが0になると自動的にミッションをリスタートします。,    ,「何故…？　自分の命と引き替えに？」（レベル中）,,    ,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=FOUR_SPACE_PLACEHOLDER_PRESERVED
LANG_GAMEOVER.OLANG,8,13,13;13,2,,page156:tag:entity13:key00000000:ref13:ord0;page168:tag:entity13:key00000000:ref13:ord0,    ,「何故…？　自分の命と引き替えに？」（レベル中）,「嘘だスネーク、スネーーーク！！」（レベル高）,,「为什么……？要用自己的性命来交换吗？」（等级中）,,MATCH,72,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_LEVEL_PARENTHESES_PRESERVED; AUX_SECRET_EXPANSION_REJECTED
LANG_GAMEOVER.OLANG,9,14,14;14,2,,page156:tag:entity14:key00000000:ref14:ord0;page168:tag:entity14:key00000000:ref14:ord0,「何故…？　自分の命と引き替えに？」（レベル中）,「嘘だスネーク、スネーーーク！！」（レベル高）,"どうしたのスネーク！？　
スネーーーーク！！",,「不会吧，Snake，Snake——！！」（等级高）,,MATCH,69,58,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_LEVEL_PARENTHESES_PRESERVED
