file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_0075D0,0,stream=0x7000;block=0x5D0;text=0,"[""stream=0x7000;block=0x5D0;text=0""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]",,"聞いたぞ、スネーク。アマンダにゲバラと間違えられたそ
うだな。
","どうだ、まんざらでもない気分か？
",[],听说了，Snake。Amanda好像把你错认成格瓦拉了。,,MATCH,92,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_0075D0,1,stream=0x7000;block=0x5D0;text=1,"[""stream=0x7000;block=0x5D0;text=1""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","聞いたぞ、スネーク。アマンダにゲバラと間違えられたそ
うだな。
","どうだ、まんざらでもない気分か？
","よしてくれ。俺なんかゲバラの足下にも及ばん。
",[],怎么样，心里其实还挺受用的吧？,,MATCH,49,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_0075D0,2,stream=0x7000;block=0x5D0;text=2,"[""stream=0x7000;block=0x5D0;text=2""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","どうだ、まんざらでもない気分か？
","よしてくれ。俺なんかゲバラの足下にも及ばん。
","謙虚だな。俺からすれば、あんたも十分偉大な人間に見え
る。
",[],饶了我吧。我根本连格瓦拉的脚后跟都够不上。,,MATCH,67,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_IDIOM_EXPANSION_IGNORED
BRIEFING_FILES_BLOCK_0075D0,3,stream=0x7000;block=0x5D0;text=3,"[""stream=0x7000;block=0x5D0;text=3""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","よしてくれ。俺なんかゲバラの足下にも及ばん。
","謙虚だな。俺からすれば、あんたも十分偉大な人間に見え
る。
","相手は「20世紀で最も完璧な人間」だぞ？
",[],还真谦虚。在我看来，你也已经是个相当了不起的人了。,,MATCH,86,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_ADDS_YOUR_MEN_IGNORED
BRIEFING_FILES_BLOCK_0075D0,4,stream=0x7000;block=0x5D0;text=4,"[""stream=0x7000;block=0x5D0;text=4""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","謙虚だな。俺からすれば、あんたも十分偉大な人間に見え
る。
","相手は「20世紀で最も完璧な人間」だぞ？
","サルトルか？　まあ、ゲバラはすっかり時代の<R=象徴,イコン>になっ
ちまったからな。
",[],对方可是「20世纪最完美的人」啊？,,MATCH,57,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_0075D0,5,stream=0x7000;block=0x5D0;text=5,"[""stream=0x7000;block=0x5D0;text=5""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","相手は「20世紀で最も完璧な人間」だぞ？
","サルトルか？　まあ、ゲバラはすっかり時代の<R=象徴,イコン>になっ
ちまったからな。
","それ以上に誠実な革命家で、偉大な戦士だった。
","[""<R=象徴,イコン>""]","萨特吗？　不过，格瓦拉已经彻底成了那个时代的<R=象征,ICON>。","<R=象征,ICON>",MATCH,118,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;RUBY_LOCALIZED;SOURCE_IDEOGRAPHIC_SPACE_PRESERVED
BRIEFING_FILES_BLOCK_0075D0,6,stream=0x7000;block=0x5D0;text=6,"[""stream=0x7000;block=0x5D0;text=6""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","サルトルか？　まあ、ゲバラはすっかり時代の<R=象徴,イコン>になっ
ちまったからな。
","それ以上に誠実な革命家で、偉大な戦士だった。
","そいつには同意だ。何しろカストロと一緒にキューバへ渡
った直後、仲間は12人しかいなかったって言うじゃないか。
",[],更重要的是，他是个真诚的革命家，也是伟大的战士。,,MATCH,67,72,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_TRUE_VS_SINCERE_CORRECTED
BRIEFING_FILES_BLOCK_0075D0,7,stream=0x7000;block=0x5D0;text=7,"[""stream=0x7000;block=0x5D0;text=7""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","それ以上に誠実な革命家で、偉大な戦士だった。
","そいつには同意だ。何しろカストロと一緒にキューバへ渡
った直後、仲間は12人しかいなかったって言うじゃないか。
","だが、彼らはそこから巻き返した。仲間を集め、組織を拡
げ、農民の支持を得た。
",[],"这点我同意。
毕竟他和卡斯特罗一起渡海去古巴后，身边据说只剩12名伙伴。",,MATCH,160,102,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
BRIEFING_FILES_BLOCK_0075D0,8,stream=0x7000;block=0x5D0;text=8,"[""stream=0x7000;block=0x5D0;text=8""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","そいつには同意だ。何しろカストロと一緒にキューバへ渡
った直後、仲間は12人しかいなかったって言うじゃないか。
","だが、彼らはそこから巻き返した。仲間を集め、組織を拡
げ、農民の支持を得た。
","そして、最後にはバティスタ政権を倒した…。
",[],"但他们从那里扳回了局面。
他们召集同伴、扩大组织，并赢得了农民的支持。",,MATCH,113,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;AUX_REFERENCE_CLIPPED
BRIEFING_FILES_BLOCK_0075D0,9,stream=0x7000;block=0x5D0;text=9,"[""stream=0x7000;block=0x5D0;text=9""]",1,BRIEFING FILES,"[""stream=0x7000;block=0x5D0;block_file=0x75D0;text_base=0x7630;capacity=1356""]","だが、彼らはそこから巻き返した。仲間を集め、組織を拡
げ、農民の支持を得た。
","そして、最後にはバティスタ政権を倒した…。
","誠実さゆえに人が集まり、強いからこそ勝利した。偉大な
資質だ。
",[],最后，他们推翻了巴蒂斯塔政权……,,MATCH,64,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION
