file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_3818C0,0,stream=0x381000;block=0x8C0;text=0,"[""stream=0x381000;block=0x8C0;text=0""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]",,"ボス…、ものは相談なんだが…。
","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,嘿，Boss，咱们开个小会你介意吗？,"[""嘿，Boss，咱们开个小会你介意吗？""]","Hey, Boss, you mind if we powwow for a
sec?
","[""Hey, Boss, you mind if we powwow for a\nsec?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#0; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,1,stream=0x381000;block=0x8C0;text=1,"[""stream=0x381000;block=0x8C0;text=1""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","ボス…、ものは相談なんだが…。
","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
","それもいいな…。
…じゃない、ボス。
",[],,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"又怎么了？无国界之师
（MSF）牌的干粮？","[""又怎么了？无国界之师\n（MSF）牌的干粮？""]","What now? MSF-brand rations?
","[""What now? MSF-brand rations?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#1; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,2,stream=0x381000;block=0x8C0;text=2,"[""stream=0x381000;block=0x8C0;text=2""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","なんだ。
『MSF印のレーション』を輸出するとか言うなよ？
","それもいいな…。
…じゃない、ボス。
","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
",[],,,NOT_CHECKED,53,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,其实，那听起来——不，不！,"[""其实，那听起来——不，不！""]","Actually, that sounds - No, no!
","[""Actually, that sounds - No, no!\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#2; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,3,stream=0x381000;block=0x8C0;text=3,"[""stream=0x381000;block=0x8C0;text=3""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","それもいいな…。
…じゃない、ボス。
","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
","傭兵派遣か…。
",[],,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"以我们现在的人手，
也许是时候派一些人去其他国家了。","[""以我们现在的人手，\n也许是时候派一些人去其他国家了。""]","With all the men we have now, it may be
time we started sending some of them to
other countries.
","[""With all the men we have now, it may be\ntime we started sending some of them to\nother countries.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#3; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,4,stream=0x381000;block=0x8C0;text=4,"[""stream=0x381000;block=0x8C0;text=4""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","MSFの兵士もずいぶん増えた。
そろそろ、他国への傭兵派遣も開始したい。
","傭兵派遣か…。
","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你是说派遣雇佣兵？,"[""你是说派遣雇佣兵？""]","You mean dispatching mercs?
","[""You mean dispatching mercs?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#4; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,5,stream=0x381000;block=0x8C0;text=5,"[""stream=0x381000;block=0x8C0;text=5""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","傭兵派遣か…。
","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
","ああ…。わかってる…。
",[],,,NOT_CHECKED,92,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,不然我们怎么养得起现在这批人？,"[""不然我们怎么养得起现在这批人？""]","How else are we gonna keep feeding the
crew we have?
","[""How else are we gonna keep feeding the\ncrew we have?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#5; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,6,stream=0x381000;block=0x8C0;text=6,"[""stream=0x381000;block=0x8C0;text=6""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","そうでもしないと、
これだけの兵士を食わせていくのは厳しいぞ。
","ああ…。わかってる…。
","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
",[],,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我知道…你说得对。,"[""我知道…你说得对。""]","I know... You're right.
","[""I know... You're right.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#6; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,7,stream=0x381000;block=0x8C0;text=7,"[""stream=0x381000;block=0x8C0;text=7""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","ああ…。わかってる…。
","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","[""<R=『OUTER OPS』,アウター オプス>""]",,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"好。要部署部队，
请从母基地菜单中选择“派遣任务”。","[""好。要部署部队，\n请从母基地菜单中选择“派遣任务”。""]","Okay. To deploy troops, select ""Outer
Ops"" from the Mother Base Menu.
","[""Okay. To deploy troops, select \""Outer\nOps\"" from the Mother Base Menu.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#7; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,8,stream=0x381000;block=0x8C0;text=8,"[""stream=0x381000;block=0x8C0;text=8""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","派兵するには、マザーベースから
<R=『OUTER OPS』,アウター オプス>を選んでくれ。
","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","手に入れた車輌や大型兵器を使うこともできる。
",[],,,NOT_CHECKED,146,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我们甚至可能获得新兵、
武器设计图纸，或新任务的线索。","[""我们甚至可能获得新兵、\n武器设计图纸，或新任务的线索。""]","we might even get new recruits, weapon
design specs, or leads on new missions.
","[""we might even get new recruits, weapon\ndesign specs, or leads on new missions.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#9; block_semantic_score=0.184582.
BRIEFING_MISSION_BLOCK_3818C0,9,stream=0x381000;block=0x8C0;text=9,"[""stream=0x381000;block=0x8C0;text=9""]",1,BRIEFING MISSION,"[""stream=0x381000;block=0x8C0;block_file=0x3818C0;text_base=0x381914;capacity=936""]","上手くいけば、兵士や、武器の設計図が手に入ること
もあるし、新たなミッションにも繋がるかもしれん。
","手に入れた車輌や大型兵器を使うこともできる。
","だが失敗すれば…。
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我们也可以部署军械库中的
任何载具或大型武器。","[""我们也可以部署军械库中的\n任何载具或大型武器。""]","We can deploy any vehicles or large-scale
weapons in our arsenal as well.
","[""We can deploy any vehicles or large-scale\nweapons in our arsenal as well.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3818C0; ENG blocks=0x396990; ENG source rows=0x396990#10; block_semantic_score=0.184582.
