file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_084BB0,0,stream=0x84000;block=0xBB0;text=0,"[""stream=0x84000;block=0xBB0;text=0""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]",,"マザーベースでは毎月、その月生まれの兵士達を集めて誕
生会をやっている。
","戦闘集団がバースデーパーティというのもまたミスマッチ
だけど、要するに酒を飲んで騒ぐための名目らしい。
",[],"Mother Base每个月都会把当月过生日的士兵聚起来，
办一场生日会。",,MATCH,107,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,1,stream=0x84000;block=0xBB0;text=1,"[""stream=0x84000;block=0xBB0;text=1""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","マザーベースでは毎月、その月生まれの兵士達を集めて誕
生会をやっている。
","戦闘集団がバースデーパーティというのもまたミスマッチ
だけど、要するに酒を飲んで騒ぐための名目らしい。
","洋上の要塞としては、酒を手に入れるのも楽じゃない。
",[],"一群战士办生日派对也挺不搭调，
不过说到底，好像只是找个名目喝酒闹腾。",,MATCH,152,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,2,stream=0x84000;block=0xBB0;text=2,"[""stream=0x84000;block=0xBB0;text=2""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","戦闘集団がバースデーパーティというのもまたミスマッチ
だけど、要するに酒を飲んで騒ぐための名目らしい。
","洋上の要塞としては、酒を手に入れるのも楽じゃない。
","日頃は訓練に明け暮れていることもあり、なかなか自由に
酒を飲んだりも出来ないようだ。
",[],对海上要塞来说，连弄到酒都不是件容易的事。,,MATCH,76,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,3,stream=0x84000;block=0xBB0;text=3,"[""stream=0x84000;block=0xBB0;text=3""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","洋上の要塞としては、酒を手に入れるのも楽じゃない。
","日頃は訓練に明け暮れていることもあり、なかなか自由に
酒を飲んだりも出来ないようだ。
","そこで兵士達の息抜きのために、スネークとミラーが毎月
こうしたパーティをすると決めたのだという。
",[],再加上他们平日整天忙着训练，似乎很难随心所欲地喝酒。,,MATCH,125,78,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,4,stream=0x84000;block=0xBB0;text=4,"[""stream=0x84000;block=0xBB0;text=4""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","日頃は訓練に明け暮れていることもあり、なかなか自由に
酒を飲んだりも出来ないようだ。
","そこで兵士達の息抜きのために、スネークとミラーが毎月
こうしたパーティをすると決めたのだという。
","もちろん無骨な戦士たちの誕生会だけに、ケーキの蝋燭を
吹き消したりなんて気取ったことはしない。
",[],"所以听说Snake和Miller决定每月办一次这种派对，
让士兵们放松一下。",,MATCH,143,90,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,5,stream=0x84000;block=0xBB0;text=5,"[""stream=0x84000;block=0xBB0;text=5""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","そこで兵士達の息抜きのために、スネークとミラーが毎月
こうしたパーティをすると決めたのだという。
","もちろん無骨な戦士たちの誕生会だけに、ケーキの蝋燭を
吹き消したりなんて気取ったことはしない。
","煙草の煙が立ちこめる中、酒を飲んで肉を喰らう。下品な
冗談や、お互いの出身を揶揄した差別語が飛び交う。
",[],"当然，毕竟是一群粗犷战士的生日会，
不会搞什么吹蛋糕蜡烛之类装模作样的仪式。",,MATCH,140,112,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,6,stream=0x84000;block=0xBB0;text=6,"[""stream=0x84000;block=0xBB0;text=6""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","もちろん無骨な戦士たちの誕生会だけに、ケーキの蝋燭を
吹き消したりなんて気取ったことはしない。
","煙草の煙が立ちこめる中、酒を飲んで肉を喰らう。下品な
冗談や、お互いの出身を揶揄した差別語が飛び交う。
","けれど本気のケンカになることはあまりないようだ。口で
はいろいろ言いつつも、皆このパーティを楽しんでいるみ
たいだった。
",[],"烟雾缭绕中，他们喝酒吃肉。
低俗笑话和拿彼此出身开涮的侮辱性称呼满天飞。",,MATCH,152,106,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,7,stream=0x84000;block=0xBB0;text=7,"[""stream=0x84000;block=0xBB0;text=7""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","煙草の煙が立ちこめる中、酒を飲んで肉を喰らう。下品な
冗談や、お互いの出身を揶揄した差別語が飛び交う。
","けれど本気のケンカになることはあまりないようだ。口で
はいろいろ言いつつも、皆このパーティを楽しんでいるみ
たいだった。
","不思議なものだ。<R=FSLN,サンディニスタ>にいた人もいれば、UCLAにいた
人もいて、昔はお互い敵同士だったはずなのに。
",[],"不过好像很少真的打起来。
嘴上说得再难听，大家看起来都很享受这个派对。",,MATCH,177,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_084BB0,8,stream=0x84000;block=0xBB0;text=8,"[""stream=0x84000;block=0xBB0;text=8""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","けれど本気のケンカになることはあまりないようだ。口で
はいろいろ言いつつも、皆このパーティを楽しんでいるみ
たいだった。
","不思議なものだ。<R=FSLN,サンディニスタ>にいた人もいれば、UCLAにいた
人もいて、昔はお互い敵同士だったはずなのに。
","これもあの男、<R=BIGBOSS,ビッグボス>の人望のなせる<R=業,わざ>なのか。
","[""<R=FSLN,サンディニスタ>""]","真奇怪。
有的人以前是<R=FSLN,SANDINISTA>，有的人属于UCLA，明明过去应该是敌人。","<R=FSLN,SANDINISTA>",MATCH,162,105,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_084BB0,9,stream=0x84000;block=0xBB0;text=9,"[""stream=0x84000;block=0xBB0;text=9""]",1,BRIEFING FILES,"[""stream=0x84000;block=0xBB0;block_file=0x84BB0;text_base=0x84C30;capacity=3032""]","不思議なものだ。<R=FSLN,サンディニスタ>にいた人もいれば、UCLAにいた
人もいて、昔はお互い敵同士だったはずなのに。
","これもあの男、<R=BIGBOSS,ビッグボス>の人望のなせる<R=業,わざ>なのか。
","それとも国を捨てたことで他国への憎しみも消えてしまっ
たのか。
","[""<R=BIGBOSS,ビッグボス>"", ""<R=業,わざ>""]","这也是那个男人——<R=BIG BOSS,BIG BOSS>——靠个人威望造就的<R=成果,WAZA>吗？","<R=BIG BOSS,BIG BOSS> | <R=成果,WAZA>",MATCH,96,99,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
