file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_064AE0,0,stream=0x64000;block=0xAE0;text=0,"[""stream=0x64000;block=0xAE0;text=0""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]",,"博士。あんたの核に対する感情は、他の研究者とは少し違
っているように思える。
","どうして？
",[],,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"博士，我开始觉得你对核武器的
看法和你的同事有点不一样。","[""博士，我开始觉得你对核武器的\n看法和你的同事有点不一样。""]","Doc, I'm starting to sense your feelings about
nukes are a little different from your colleagues.
","[""Doc, I'm starting to sense your feelings about\nnukes are a little different from your colleagues.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#0; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,1,stream=0x64000;block=0xAE0;text=1,"[""stream=0x64000;block=0xAE0;text=1""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","博士。あんたの核に対する感情は、他の研究者とは少し違
っているように思える。
","どうして？
","あの、コールドマンとの会話を聞いていればな。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,怎么说？,"[""怎么说？""]","How do you mean?
","[""How do you mean?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#1; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,2,stream=0x64000;block=0xAE0;text=2,"[""stream=0x64000;block=0xAE0;text=2""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","どうして？
","あの、コールドマンとの会話を聞いていればな。
","…僕の父がマンハッタン計画に参画していたことは話した
ね。計画のことは？
",[],,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,刚才你和Coldman的那番谈话。,"[""刚才你和Coldman的那番谈话。""]","Your little chat with Coldman back there.
","[""Your little chat with Coldman back there.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#2; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,3,stream=0x64000;block=0xAE0;text=3,"[""stream=0x64000;block=0xAE0;text=3""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","あの、コールドマンとの会話を聞いていればな。
","…僕の父がマンハッタン計画に参画していたことは話した
ね。計画のことは？
","概要はな。核時代の口火を切った計画だ。
",[],,,NOT_CHECKED,107,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我…告诉过你，我父亲曾
参与曼哈顿计划，对吧？","[""我…告诉过你，我父亲曾\n参与曼哈顿计划，对吧？""]","I...told you my father worked on the Manhattan
Project, right?
","[""I...told you my father worked on the Manhattan\nProject, right?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#3; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,4,stream=0x64000;block=0xAE0;text=4,"[""stream=0x64000;block=0xAE0;text=4""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","…僕の父がマンハッタン計画に参画していたことは話した
ね。計画のことは？
","概要はな。核時代の口火を切った計画だ。
","その通り。多数のノーベル賞受賞者を始めとして、20世紀
を代表する頭脳を結集し、1940年代当時の額で約20億
ドルもの費用を投じた巨大プロジェクトだよ。
",[],,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"基本了解。就是那个
开启了核时代的计划。","[""基本了解。就是那个\n开启了核时代的计划。""]","The basics, yeah. It was the project that kicked off
the nuclear age.
","[""The basics, yeah. It was the project that kicked off\nthe nuclear age.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#5; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,5,stream=0x64000;block=0xAE0;text=5,"[""stream=0x64000;block=0xAE0;text=5""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","概要はな。核時代の口火を切った計画だ。
","その通り。多数のノーベル賞受賞者を始めとして、20世紀
を代表する頭脳を結集し、1940年代当時の額で約20億
ドルもの費用を投じた巨大プロジェクトだよ。
","計画は1945年7月16日、アラモゴードでの原爆実験をも
って成功裏に終わった。
",[],,,NOT_CHECKED,212,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"没错。20世纪一些最杰出的头脑，包括好几位诺贝尔奖得主，
都参与了这项计划。他们花了超过二十亿美元——
还是按1940年代的币值算的。","[""没错。20世纪一些最杰出的头脑，包括好几位诺贝尔奖得主，\n都参与了这项计划。他们花了超过二十亿美元——\n还是按1940年代的币值算的。""]","That's right. Some of the finest minds of the 20th
century,
including multiple Nobel Prize winners, worked on it.
They spent over two billion dollars - and that's in
1940's money.
","[""That's right. Some of the finest minds of the 20th\ncentury,\nincluding multiple Nobel Prize winners, worked on it.\nThey spent over two billion dollars - and that's in\n1940's money.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:3; JPN blocks=0x64AE0; ENG blocks=0xF15F0,0xF15F0,0xF15F0; ENG source rows=0xF15F0#6,0xF15F0#7,0xF15F0#8; block_semantic_score=0.231371."
BRIEFING_FILES_BLOCK_064AE0,6,stream=0x64000;block=0xAE0;text=6,"[""stream=0x64000;block=0xAE0;text=6""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","その通り。多数のノーベル賞受賞者を始めとして、20世紀
を代表する頭脳を結集し、1940年代当時の額で約20億
ドルもの費用を投じた巨大プロジェクトだよ。
","計画は1945年7月16日、アラモゴードでの原爆実験をも
って成功裏に終わった。
","半月後に続く実戦投入と共にな。
",[],,,NOT_CHECKED,105,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"最终在1945年7月16日于阿拉
莫戈多成功进行了核试验。","[""最终在1945年7月16日于阿拉\n莫戈多成功进行了核试验。""]","It culminated in the successful nuclear test at
Alamogordo on July 16, 1945.
","[""It culminated in the successful nuclear test at\nAlamogordo on July 16, 1945.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#9; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,7,stream=0x64000;block=0xAE0;text=7,"[""stream=0x64000;block=0xAE0;text=7""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","計画は1945年7月16日、アラモゴードでの原爆実験をも
って成功裏に終わった。
","半月後に続く実戦投入と共にな。
","博士？
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,几周后，核弹首次投入实战。,"[""几周后，核弹首次投入实战。""]","And the first use in combat a few weeks later.
","[""And the first use in combat a few weeks later.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#10; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,8,stream=0x64000;block=0xAE0;text=8,"[""stream=0x64000;block=0xAE0;text=8""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","半月後に続く実戦投入と共にな。
","博士？
","…僕は、歩けない。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,博士？,"[""博士？""]","Doc?
","[""Doc?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#11; block_semantic_score=0.231371.
BRIEFING_FILES_BLOCK_064AE0,9,stream=0x64000;block=0xAE0;text=9,"[""stream=0x64000;block=0xAE0;text=9""]",1,BRIEFING FILES,"[""stream=0x64000;block=0xAE0;block_file=0x64AE0;text_base=0x64B50;capacity=1368""]","博士？
","…僕は、歩けない。
","うん？
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…我不能走路。,"[""…我不能走路。""]","...I can't walk.
","[""...I can't walk.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x64AE0; ENG blocks=0xF15F0; ENG source rows=0xF15F0#12; block_semantic_score=0.231371.
