file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_06AB40,0,stream=0x6A000;block=0xB40;text=0,"[""stream=0x6A000;block=0xB40;text=0""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]",,"これまで実際に起爆した中で世界最大の核爆弾が、ソ連の
RDS-220、通称『<R=爆弾の皇帝,ツァーリボンバ>』だ。
","<R=核出力,イールド>は約57メガトンと推定されている。第二次大戦を通
じて使われた爆発物全てを合わせたよりも、10倍大きな爆
発力になる。
","[""<R=爆弾の皇帝,ツァーリボンバ>""]",,,NOT_CHECKED,149,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"实际引爆过的最大核弹头
是苏联的RDS-220，","[""实际引爆过的最大核弹头\n是苏联的RDS-220，""]","The biggest nuclear warhead ever actually
detonated was the Soviet RDS-220,
","[""The biggest nuclear warhead ever actually\ndetonated was the Soviet RDS-220,\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#0; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,1,stream=0x6A000;block=0xB40;text=1,"[""stream=0x6A000;block=0xB40;text=1""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","これまで実際に起爆した中で世界最大の核爆弾が、ソ連の
RDS-220、通称『<R=爆弾の皇帝,ツァーリボンバ>』だ。
","<R=核出力,イールド>は約57メガトンと推定されている。第二次大戦を通
じて使われた爆発物全てを合わせたよりも、10倍大きな爆
発力になる。
","爆発実験は61年10月30日、ノヴァヤゼムリヤ上空。爆
発で生じた火球の直径は4キロを超えたと考えられている。
","[""<R=核出力,イールド>""]",,,NOT_CHECKED,192,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"——是第二次世界大战期间
所用全部炸药威力的十倍。","[""——是第二次世界大战期间\n所用全部炸药威力的十倍。""]","- ten times as much power as all the explosives
used throughout World War II.
","[""- ten times as much power as all the explosives\nused throughout World War II.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#3; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,2,stream=0x6A000;block=0xB40;text=2,"[""stream=0x6A000;block=0xB40;text=2""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","<R=核出力,イールド>は約57メガトンと推定されている。第二次大戦を通
じて使われた爆発物全てを合わせたよりも、10倍大きな爆
発力になる。
","爆発実験は61年10月30日、ノヴァヤゼムリヤ上空。爆
発で生じた火球の直径は4キロを超えたと考えられている。
","まるでミニチュアの太陽じゃないか。
",[],,,NOT_CHECKED,150,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"这次试验于1961年10月30
日在新地岛上空进行。","[""这次试验于1961年10月30\n日在新地岛上空进行。""]","The test took place on October 30, 1961, above
Novaya Zemlya.
","[""The test took place on October 30, 1961, above\nNovaya Zemlya.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#4; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,3,stream=0x6A000;block=0xB40;text=3,"[""stream=0x6A000;block=0xB40;text=3""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","爆発実験は61年10月30日、ノヴァヤゼムリヤ上空。爆
発で生じた火球の直径は4キロを超えたと考えられている。
","まるでミニチュアの太陽じゃないか。
","爆発は爆心から1000キロ以上離れたフィンランドでも目
撃され、窓ガラスが割れたという証言もある。衝撃波は、
地球を3周したそうだよ。
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你信吗？就像一颗微型太阳。,"[""你信吗？就像一颗微型太阳。""]","Can you believe that? Like a miniature sun.
","[""Can you believe that? Like a miniature sun.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#6; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,4,stream=0x6A000;block=0xB40;text=4,"[""stream=0x6A000;block=0xB40;text=4""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","まるでミニチュアの太陽じゃないか。
","爆発は爆心から1000キロ以上離れたフィンランドでも目
撃され、窓ガラスが割れたという証言もある。衝撃波は、
地球を3周したそうだよ。
","地球を3周？
",[],,,NOT_CHECKED,188,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"爆炸在远至芬兰的地方
都能看到——600英里之外","[""爆炸在远至芬兰的地方\n都能看到——600英里之外""]","The explosion was seen as far off as Finland - 600
miles away
","[""The explosion was seen as far off as Finland - 600\nmiles away\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#7; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,5,stream=0x6A000;block=0xB40;text=5,"[""stream=0x6A000;block=0xB40;text=5""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","爆発は爆心から1000キロ以上離れたフィンランドでも目
撃され、窓ガラスが割れたという証言もある。衝撃波は、
地球を3周したそうだよ。
","地球を3周？
","その破壊力を超える巨大な水爆が、ピースウォーカーには
搭載されている。
",[],,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,冲击波绕地球转了整整三圈。,"[""冲击波绕地球转了整整三圈。""]","The shockwave traveled three times around the
earth.
","[""The shockwave traveled three times around the\nearth.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#9; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,6,stream=0x6A000;block=0xB40;text=6,"[""stream=0x6A000;block=0xB40;text=6""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","地球を3周？
","その破壊力を超える巨大な水爆が、ピースウォーカーには
搭載されている。
","敵国領内に潜入、潜伏し、敵からの核攻撃があったときに
は自爆による報復を行うために。そしてその移動手段には
…。
",[],,,NOT_CHECKED,104,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,和平行者装备了一枚巨大的氢弹比沙皇炸弹更具破坏力。,"[""和平行者装备了一枚巨大的氢弹比沙皇炸弹更具破坏力。""]","Peace Walker is armed with a massive hydrogen
bomb
even more destructive than Tsar Bomba.
","[""Peace Walker is armed with a massive hydrogen\nbomb\neven more destructive than Tsar Bomba.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x6AB40; ENG blocks=0xF7300,0xF7300; ENG source rows=0xF7300#11,0xF7300#12; block_semantic_score=0.279294."
BRIEFING_FILES_BLOCK_06AB40,7,stream=0x6A000;block=0xB40;text=7,"[""stream=0x6A000;block=0xB40;text=7""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","その破壊力を超える巨大な水爆が、ピースウォーカーには
搭載されている。
","敵国領内に潜入、潜伏し、敵からの核攻撃があったときに
は自爆による報復を行うために。そしてその移動手段には
…。
","…僕の研究が…。
",[],,,NOT_CHECKED,165,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"它能潜入敌方领土，潜伏起来，一旦遭遇敌方核打击，
就引爆自身进行报复。","[""它能潜入敌方领土，潜伏起来，一旦遭遇敌方核打击，\n就引爆自身进行报复。""]","It can sneak into enemy territory, lie low,
and - in the event of an enemy nuclear strike -
detonate itself in retaliation.
","[""It can sneak into enemy territory, lie low,\nand - in the event of an enemy nuclear strike -\ndetonate itself in retaliation.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x6AB40; ENG blocks=0xF7300,0xF7300; ENG source rows=0xF7300#13,0xF7300#14; block_semantic_score=0.279294."
BRIEFING_FILES_BLOCK_06AB40,8,stream=0x6A000;block=0xB40;text=8,"[""stream=0x6A000;block=0xB40;text=8""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","敵国領内に潜入、潜伏し、敵からの核攻撃があったときに
は自爆による報復を行うために。そしてその移動手段には
…。
","…僕の研究が…。
","…スネーク。ヤツを止めてくれ。
",[],,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…我的研究…,"[""…我的研究…""]","...My research...
","[""...My research...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#16; block_semantic_score=0.279294.
BRIEFING_FILES_BLOCK_06AB40,9,stream=0x6A000;block=0xB40;text=9,"[""stream=0x6A000;block=0xB40;text=9""]",1,BRIEFING FILES,"[""stream=0x6A000;block=0xB40;block_file=0x6AB40;text_base=0x6AB94;capacity=1340""]","…僕の研究が…。
","…スネーク。ヤツを止めてくれ。
","僕の夢を叶えてくれるはずだったあの脚が、核抑止の柵を
跳び越えてしまう前に。
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…Snake，那双腿本该让我的梦想成真。,"[""…Snake，那双腿本该让我的梦想成真。""]","...Snake, those legs were supposed to make my
dream come true.
","[""...Snake, those legs were supposed to make my\ndream come true.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x6AB40; ENG blocks=0xF7300; ENG source rows=0xF7300#17; block_semantic_score=0.279294.
