file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D2088CC,0,0,0,1,,page76:tag12:entity9:key00000009:ref0:ord0,,"カニンガム…<R=ＦＯＸ,フォックス>の捕虜尋問官？",四週間前まではＣＩＡにいた,"<R=ＦＯＸ,フォックス>",,,NOT_CHECKED,68,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,Cunningham…？FOX部队的审讯专家？,"[""Cunningham…？FOX部队的审讯专家？""]",Cunningham...? FOX Unit's interrogation specialist?,"[""Cunningham...? FOX Unit's interrogation specialist?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,1,1,1,1,,page76:tag12:entity8:key00000008:ref1:ord0,"カニンガム…<R=ＦＯＸ,フォックス>の捕虜尋問官？",四週間前まではＣＩＡにいた,あんたは？,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"我是Cunningham中尉。
直到四周前，我还隶属于中情局(CIA)。","[""我是Cunningham中尉。\n直到四周前，我还隶属于中情局(CIA)。""]","My name is Lt. Cunningham.
Until four weeks ago, I was with the CIA.","[""My name is Lt. Cunningham.\nUntil four weeks ago, I was with the CIA.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,2,2,2,1,,page76:tag12:entity7:key00000007:ref2:ord0,四週間前まではＣＩＡにいた,あんたは？,"…人違いで連れてこられたわけでは
なさそうだな",,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你是谁？,"[""你是谁？""]",Who are you?,"[""Who are you?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,3,3,3,1,,page76:tag12:entity6:key00000006:ref3:ord0,あんたは？,"…人違いで連れてこられたわけでは
なさそうだな","それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク",,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,看来你找对人了。,"[""看来你找对人了。""]",Sounds like you've got the right guy.,"[""Sounds like you've got the right guy.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,4,4,4,1,,page76:tag12:entity5:key00000005:ref4:ord0,"…人違いで連れてこられたわけでは
なさそうだな","それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク","とぼけても無駄だ
おまえのことはよく知っている",,,,NOT_CHECKED,94,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,还是说，你更希望我叫你…Naked Snake？,"[""还是说，你更希望我叫你…Naked Snake？""]",Or would you prefer I called you... Naked Snake?,"[""Or would you prefer I called you... Naked Snake?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,5,5,5,1,,page76:tag12:entity4:key00000004:ref5:ord0,"それともスネークと呼ばれるほうが好みかね
…ネイキッド・スネーク","とぼけても無駄だ
おまえのことはよく知っている",…誰のことだ,,,,NOT_CHECKED,67,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,别装了。你的一切我都清楚，Boss。,"[""别装了。你的一切我都清楚，Boss。""]","Please, drop the act. I know all about you, Boss.","[""Please, drop the act. I know all about you, Boss.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,6,6,6,1,,page76:tag12:entity3:key00000003:ref6:ord0,"とぼけても無駄だ
おまえのことはよく知っている",…誰のことだ,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你在说什么？,"[""你在说什么？""]",What are you talking about?,"[""What are you talking about?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,7,7,7,1,,page76:tag12:entity2:key00000002:ref7:ord0,…誰のことだ,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",たしかにそうなっているな 表向きは,"<R=ＢＩＧＢＯＳＳ,ビッグボス>",,,NOT_CHECKED,72,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,希望你做了个好梦…Big Boss？,"[""希望你做了个好梦…Big Boss？""]",I trust your dreams were pleasant...Big Boss?,"[""I trust your dreams were pleasant...Big Boss?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,8,8,8,1,,page76:tag12:entity16:key00000010:ref8:ord0,"いい夢は見られたかね <R=ＢＩＧＢＯＳＳ,ビッグボス>",たしかにそうなっているな 表向きは,除隊か,,,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,是啊，对外界来说，我想是这样没错。,"[""是啊，对外界来说，我想是这样没错。""]","Yeah, I suppose you are, to the outside world.","[""Yeah, I suppose you are, to the outside world.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2088CC,9,9,9,1,,page76:tag12:entity15:key0000000F:ref9:ord0,たしかにそうなっているな 表向きは,除隊か,同窓会にしてはずいぶん手荒い歓迎だが,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,退役了？,"[""退役了？""]",Retired?,"[""Retired?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
