file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_382250,0,stream=0x382000;block=0x250;text=0,"[""stream=0x382000;block=0x250;text=0""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]",,"ボス…。
あんたに届けものだ。
","MSF宛てじゃなく、俺にか？
",[],"Boss……有东西送给你。
",,MATCH,44,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,1,stream=0x382000;block=0x250;text=1,"[""stream=0x382000;block=0x250;text=1""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ボス…。
あんたに届けものだ。
","MSF宛てじゃなく、俺にか？
","ああ。中身はカセットテープみたいだな。
",[],"不是寄给MSF，是给我的？
",,MATCH,37,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,2,stream=0x382000;block=0x250;text=2,"[""stream=0x382000;block=0x250;text=2""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","MSF宛てじゃなく、俺にか？
","ああ。中身はカセットテープみたいだな。
","カセット！？
",[],"嗯。里面看起来像盒式磁带。
",,MATCH,58,40,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,3,stream=0x382000;block=0x250;text=3,"[""stream=0x382000;block=0x250;text=3""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ああ。中身はカセットテープみたいだな。
","カセット！？
","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
",[],"磁带！？
",,MATCH,19,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,4,stream=0x382000;block=0x250;text=4,"[""stream=0x382000;block=0x250;text=4""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","カセット！？
","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
","<R=EVA,エヴァ>…。
","[""<R=EVA,エヴァ>""]","别担心。没有检测到爆炸物之类的反应。
寄件人的名字也姑且写了。
只写着“<R=EVA,EVA>”。
","<R=EVA,EVA>",MATCH,152,122,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_382250,5,stream=0x382000;block=0x250;text=5,"[""stream=0x382000;block=0x250;text=5""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","心配するな。爆発物などの反応はない。
差出人の名前も一応ある。
“<R=EVA,エヴァ>”とだけしか書いてないが。
","<R=EVA,エヴァ>…。
","知ってるのか？
","[""<R=EVA,エヴァ>""]","<R=EVA,EVA>……。
","<R=EVA,EVA>",MATCH,24,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_382250,6,stream=0x382000;block=0x250;text=6,"[""stream=0x382000;block=0x250;text=6""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","<R=EVA,エヴァ>…。
","知ってるのか？
","ああ…。古い知り合いだ。
",[],"你认识？
",,MATCH,22,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,7,stream=0x382000;block=0x250;text=7,"[""stream=0x382000;block=0x250;text=7""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","知ってるのか？
","ああ…。古い知り合いだ。
","あんたも隅に置けないな。
昔の恋人からのラブレターか？
",[],"嗯……老相识了。
",,MATCH,37,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,8,stream=0x382000;block=0x250;text=8,"[""stream=0x382000;block=0x250;text=8""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","ああ…。古い知り合いだ。
","あんたも隅に置けないな。
昔の恋人からのラブレターか？
","茶化すな。ともかく預かろう。
",[],"你还真不简单啊。
以前的女朋友寄来的情书？
",,MATCH,80,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,9,stream=0x382000;block=0x250;text=9,"[""stream=0x382000;block=0x250;text=9""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","あんたも隅に置けないな。
昔の恋人からのラブレターか？
","茶化すな。ともかく預かろう。
","わかった。…だが、浮気するなよ？
今がMSFにとって、大事な時期なんだからな。
",[],"别拿我开玩笑。总之我收下了。
",,MATCH,43,43,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,10,stream=0x382000;block=0x250;text=10,"[""stream=0x382000;block=0x250;text=10""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","茶化すな。ともかく預かろう。
","わかった。…だが、浮気するなよ？
今がMSFにとって、大事な時期なんだからな。
","なんだ、浮気って…。
",[],"知道了。……不过，可别移情别恋啊？
现在对MSF来说正是关键时期。
",,MATCH,110,92,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_382250,11,stream=0x382000;block=0x250;text=11,"[""stream=0x382000;block=0x250;text=11""]",1,BRIEFING MISSION,"[""stream=0x382000;block=0x250;block_file=0x382250;text_base=0x3822A0;capacity=672""]","わかった。…だが、浮気するなよ？
今がMSFにとって、大事な時期なんだからな。
","なんだ、浮気って…。
",,[],"什么叫移情别恋……。
",,MATCH,31,31,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
