file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DD9AF4C,0,0,0;0;0;0;0,5,,page28:tag18:entity13:key0065D9CA:ref0:ord0;page34:tag17:entity13:key0065D9CA:ref0:ord0;page52:tag7:entity13:key0065D9CA:ref0:ord0;page64:tag13:entity13:key0065D9CA:ref0:ord0;page1820:tag1:entity13:key0065D9CA:ref0:ord0,,MODEL VIEWER,KEY HELP,,MODEL VIEWER,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5; review_flag=FIXED_JPN_ASCII_UI_IDENTITY_PRESERVED_EXACTLY; AUX_LOCALIZATION_REJECTED
5DD9AF4C,1,1,1;39;1;39;1;39;1;39;1;39,10,,page28:tag18:entity28:key00AD4E91:ref1:ord0;page28:tag18:entity44:key001787C8:ref39:ord0;page34:tag17:entity28:key00AD4E91:ref1:ord0;page34:tag17:entity44:key001787C8:ref39:ord0;page52:tag7:entity28:key00AD4E91:ref1:ord0;page52:tag7:entity44:key001787C8:ref39:ord0;page64:tag13:entity28:key00AD4E91:ref1:ord0;page64:tag13:entity44:key001787C8:ref39:ord0;page1820:tag1:entity28:key00AD4E91:ref1:ord0;page1820:tag1:entity44:key001787C8:ref39:ord0,MODEL VIEWER,KEY HELP,戻る：<I=CAN>,,KEY HELP,,MATCH,8,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=10; review_flag=FIXED_JPN_ASCII_UI_IDENTITY_PRESERVED_EXACTLY; AUX_CONTROLS_HELP_REPLACEMENT_REJECTED
5DD9AF4C,2,2,2;6;11;17;19;24;2;6;11;17;19;24;2;6;11;17;19;24;2;6;11;17;19;24;2;6;11;17;19;24,30,,page28:tag18:entity32:key00C8ADBF:ref2:ord0;page28:tag18:entity27:key00A8ADC0:ref6:ord0;page28:tag18:entity21:key0088ADC1:ref11:ord0;page28:tag18:entity15:key0068ADBD:ref17:ord0;page28:tag18:entity12:key0048ADC0:ref19:ord0;page28:tag18:entity6:key0028ADC1:ref24:ord0;page34:tag17:entity32:key00C8ADBF:ref2:ord0;page34:tag17:entity27:key00A8ADC0:ref6:ord0;page34:tag17:entity21:key0088ADC1:ref11:ord0;page34:tag17:entity15:key0068ADBD:ref17:ord0;page34:tag17:entity12:key0048ADC0:ref19:ord0;page34:tag17:entity6:key0028ADC1:ref24:ord0;page52:tag7:entity32:key00C8ADBF:ref2:ord0;page52:tag7:entity27:key00A8ADC0:ref6:ord0;page52:tag7:entity21:key0088ADC1:ref11:ord0;page52:tag7:entity15:key0068ADBD:ref17:ord0;page52:tag7:entity12:key0048ADC0:ref19:ord0;page52:tag7:entity6:key0028ADC1:ref24:ord0;page64:tag13:entity32:key00C8ADBF:ref2:ord0;page64:tag13:entity27:key00A8ADC0:ref6:ord0;page64:tag13:entity21:key0088ADC1:ref11:ord0;page64:tag13:entity15:key0068ADBD:ref17:ord0;page64:tag13:entity12:key0048ADC0:ref19:ord0;page64:tag13:entity6:key0028ADC1:ref24:ord0;page1820:tag1:entity32:key00C8ADBF:ref2:ord0;page1820:tag1:entity27:key00A8ADC0:ref6:ord0;page1820:tag1:entity21:key0088ADC1:ref11:ord0;page1820:tag1:entity15:key0068ADBD:ref17:ord0;page1820:tag1:entity12:key0048ADC0:ref19:ord0;page1820:tag1:entity6:key0028ADC1:ref24:ord0,KEY HELP,戻る：<I=CAN>,テキストOFF：<I=DEC>,<I=CAN>,返回：<I=CAN>,<I=CAN>,MATCH,16,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=30; review_flag=JPN_PRIMARY; CONTROL_PRESERVED
5DD9AF4C,3,3,3;7;12;18;20;25;3;7;12;18;20;25;3;7;12;18;20;25;3;7;12;18;20;25;3;7;12;18;20;25,30,,page28:tag18:entity31:key00C8ADBE:ref3:ord0;page28:tag18:entity26:key00A8ADBF:ref7:ord0;page28:tag18:entity20:key0088ADC0:ref12:ord0;page28:tag18:entity14:key0068ADBC:ref18:ord0;page28:tag18:entity11:key0048ADBF:ref20:ord0;page28:tag18:entity5:key0028ADC0:ref25:ord0;page34:tag17:entity31:key00C8ADBE:ref3:ord0;page34:tag17:entity26:key00A8ADBF:ref7:ord0;page34:tag17:entity20:key0088ADC0:ref12:ord0;page34:tag17:entity14:key0068ADBC:ref18:ord0;page34:tag17:entity11:key0048ADBF:ref20:ord0;page34:tag17:entity5:key0028ADC0:ref25:ord0;page52:tag7:entity31:key00C8ADBE:ref3:ord0;page52:tag7:entity26:key00A8ADBF:ref7:ord0;page52:tag7:entity20:key0088ADC0:ref12:ord0;page52:tag7:entity14:key0068ADBC:ref18:ord0;page52:tag7:entity11:key0048ADBF:ref20:ord0;page52:tag7:entity5:key0028ADC0:ref25:ord0;page64:tag13:entity31:key00C8ADBE:ref3:ord0;page64:tag13:entity26:key00A8ADBF:ref7:ord0;page64:tag13:entity20:key0088ADC0:ref12:ord0;page64:tag13:entity14:key0068ADBC:ref18:ord0;page64:tag13:entity11:key0048ADBF:ref20:ord0;page64:tag13:entity5:key0028ADC0:ref25:ord0;page1820:tag1:entity31:key00C8ADBE:ref3:ord0;page1820:tag1:entity26:key00A8ADBF:ref7:ord0;page1820:tag1:entity20:key0088ADC0:ref12:ord0;page1820:tag1:entity14:key0068ADBC:ref18:ord0;page1820:tag1:entity11:key0048ADBF:ref20:ord0;page1820:tag1:entity5:key0028ADC0:ref25:ord0,戻る：<I=CAN>,テキストOFF：<I=DEC>,縮小：Lボタン,<I=DEC>,文本OFF：<I=DEC>,<I=DEC>,MATCH,25,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=30; review_flag=JPN_PRIMARY; CONTROL_PRESERVED; SOURCE_OFF_IDENTITY_RETAINED
5DD9AF4C,4,4,4;9;15;22;28;4;9;15;22;28;4;9;15;22;28;4;9;15;22;28;4;9;15;22;28,25,,page28:tag18:entity30:key00C8ADBD:ref4:ord0;page28:tag18:entity24:key00A8ADBD:ref9:ord0;page28:tag18:entity17:key0088ADBD:ref15:ord0;page28:tag18:entity9:key0048ADBD:ref22:ord0;page28:tag18:entity2:key0028ADBD:ref28:ord0;page34:tag17:entity30:key00C8ADBD:ref4:ord0;page34:tag17:entity24:key00A8ADBD:ref9:ord0;page34:tag17:entity17:key0088ADBD:ref15:ord0;page34:tag17:entity9:key0048ADBD:ref22:ord0;page34:tag17:entity2:key0028ADBD:ref28:ord0;page52:tag7:entity30:key00C8ADBD:ref4:ord0;page52:tag7:entity24:key00A8ADBD:ref9:ord0;page52:tag7:entity17:key0088ADBD:ref15:ord0;page52:tag7:entity9:key0048ADBD:ref22:ord0;page52:tag7:entity2:key0028ADBD:ref28:ord0;page64:tag13:entity30:key00C8ADBD:ref4:ord0;page64:tag13:entity24:key00A8ADBD:ref9:ord0;page64:tag13:entity17:key0088ADBD:ref15:ord0;page64:tag13:entity9:key0048ADBD:ref22:ord0;page64:tag13:entity2:key0028ADBD:ref28:ord0;page1820:tag1:entity30:key00C8ADBD:ref4:ord0;page1820:tag1:entity24:key00A8ADBD:ref9:ord0;page1820:tag1:entity17:key0088ADBD:ref15:ord0;page1820:tag1:entity9:key0048ADBD:ref22:ord0;page1820:tag1:entity2:key0028ADBD:ref28:ord0,テキストOFF：<I=DEC>,縮小：Lボタン,拡大：Rボタン,,缩小：L按钮,,MATCH,19,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=25; review_flag=JPN_PRIMARY; L_BUTTON_SEMANTICS
5DD9AF4C,5,5,5;10;16;23;29;5;10;16;23;29;5;10;16;23;29;5;10;16;23;29;5;10;16;23;29,25,,page28:tag18:entity29:key00C8ADBC:ref5:ord0;page28:tag18:entity23:key00A8ADBC:ref10:ord0;page28:tag18:entity16:key0088ADBC:ref16:ord0;page28:tag18:entity8:key0048ADBC:ref23:ord0;page28:tag18:entity1:key0028ADBC:ref29:ord0;page34:tag17:entity29:key00C8ADBC:ref5:ord0;page34:tag17:entity23:key00A8ADBC:ref10:ord0;page34:tag17:entity16:key0088ADBC:ref16:ord0;page34:tag17:entity8:key0048ADBC:ref23:ord0;page34:tag17:entity1:key0028ADBC:ref29:ord0;page52:tag7:entity29:key00C8ADBC:ref5:ord0;page52:tag7:entity23:key00A8ADBC:ref10:ord0;page52:tag7:entity16:key0088ADBC:ref16:ord0;page52:tag7:entity8:key0048ADBC:ref23:ord0;page52:tag7:entity1:key0028ADBC:ref29:ord0;page64:tag13:entity29:key00C8ADBC:ref5:ord0;page64:tag13:entity23:key00A8ADBC:ref10:ord0;page64:tag13:entity16:key0088ADBC:ref16:ord0;page64:tag13:entity8:key0048ADBC:ref23:ord0;page64:tag13:entity1:key0028ADBC:ref29:ord0;page1820:tag1:entity29:key00C8ADBC:ref5:ord0;page1820:tag1:entity23:key00A8ADBC:ref10:ord0;page1820:tag1:entity16:key0088ADBC:ref16:ord0;page1820:tag1:entity8:key0048ADBC:ref23:ord0;page1820:tag1:entity1:key0028ADBC:ref29:ord0,縮小：Lボタン,拡大：Rボタン,戻る：<I=CAN>,,放大：R按钮,,MATCH,19,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=25; review_flag=JPN_PRIMARY; R_BUTTON_SEMANTICS
5DD9AF4C,6,8,8;13;8;13;8;13;8;13;8;13,10,,page28:tag18:entity25:key00A8ADBE:ref8:ord0;page28:tag18:entity19:key0088ADBF:ref13:ord0;page34:tag17:entity25:key00A8ADBE:ref8:ord0;page34:tag17:entity19:key0088ADBF:ref13:ord0;page52:tag7:entity25:key00A8ADBE:ref8:ord0;page52:tag7:entity19:key0088ADBF:ref13:ord0;page64:tag13:entity25:key00A8ADBE:ref8:ord0;page64:tag13:entity19:key0088ADBF:ref13:ord0;page1820:tag1:entity25:key00A8ADBE:ref8:ord0;page1820:tag1:entity19:key0088ADBF:ref13:ord0,テキストOFF：<I=DEC>,カメラ移動：アナログパッド,縮小：Lボタン,,镜头移动：模拟摇杆,,MATCH,39,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=10; review_flag=JPN_PRIMARY; ANALOG_PAD_SEMANTICS
5DD9AF4C,7,14,14;14;14;14;14,5,,page28:tag18:entity18:key0088ADBE:ref14:ord0;page34:tag17:entity18:key0088ADBE:ref14:ord0;page52:tag7:entity18:key0088ADBE:ref14:ord0;page64:tag13:entity18:key0088ADBE:ref14:ord0;page1820:tag1:entity18:key0088ADBE:ref14:ord0,カメラ移動：アナログパッド,カメラ切替：方向キー左右,縮小：Lボタン,,镜头切换：方向键左右,,MATCH,36,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5; review_flag=JPN_PRIMARY; DIRECTION_KEY_LEFT_RIGHT_SEMANTICS
5DD9AF4C,8,21,21;21;21;21;21,5,,page28:tag18:entity10:key0048ADBE:ref21:ord0;page34:tag17:entity10:key0048ADBE:ref21:ord0;page52:tag7:entity10:key0048ADBE:ref21:ord0;page64:tag13:entity10:key0048ADBE:ref21:ord0;page1820:tag1:entity10:key0048ADBE:ref21:ord0,テキストOFF：<I=DEC>,回転：アナログパッド,縮小：Lボタン,,旋转：模拟摇杆,,MATCH,30,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5; review_flag=JPN_PRIMARY
5DD9AF4C,9,26,26;26;26;26;26,5,,page28:tag18:entity4:key0028ADBF:ref26:ord0;page34:tag17:entity4:key0028ADBF:ref26:ord0;page52:tag7:entity4:key0028ADBF:ref26:ord0;page64:tag13:entity4:key0028ADBF:ref26:ord0;page1820:tag1:entity4:key0028ADBF:ref26:ord0,テキストOFF：<I=DEC>,移動：アナログパッド上下,回転：アナログパッド左右,,移动：模拟摇杆上下,,MATCH,36,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5; review_flag=JPN_PRIMARY; UP_DOWN_SCOPE_PRESERVED
