file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_EXTRA.OLANG,0,0,0;0,2,,page23:tag:entity102:key009AE5D7:ref0:ord0;page88:tag:entity102:key009AE5D7:ref0:ord0,,"EXTRAS
[VOCALOID]",VOCALOID EDIT,,"附加内容
[VOCALOID]",,MATCH,17,23,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,1,1,1;1,2,,page23:tag:entity51:key00493A44:ref1:ord0;page88:tag:entity51:key00493A44:ref1:ord0,"EXTRAS
[VOCALOID]",VOCALOID EDIT,"EXTRAS
[PASSCODE]",,VOCALOID EDIT,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_EXTRA.OLANG,2,2,2;2,2,,page23:tag:entity57:key0054ADD0:ref2:ord0;page88:tag:entity57:key0054ADD0:ref2:ord0,VOCALOID EDIT,"EXTRAS
[PASSCODE]",NETWORK,,"附加内容
[密码]",,MATCH,17,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,3,3,3;3,2,,page23:tag:entity70:key006CD55A:ref3:ord0;page88:tag:entity70:key006CD55A:ref3:ord0,"EXTRAS
[PASSCODE]",NETWORK,EXTRAS,,NETWORK,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_EXTRA.OLANG,4,4,4;4,2,,page23:tag:entity19:key00255A83:ref4:ord0;page88:tag:entity19:key00255A83:ref4:ord0,NETWORK,EXTRAS,"EXTRAS
[DOWNLOAD]",,EXTRAS,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_EXTRA.OLANG,5,5,5;5,2,,page23:tag:entity6:key0008D0F7:ref5:ord0;page88:tag:entity6:key0008D0F7:ref5:ord0,EXTRAS,"EXTRAS
[DOWNLOAD]","EXTRAS
[DATA MANAGEMENT]",,"附加内容
[下载]",,MATCH,17,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,6,6,6;6,2,,page23:tag:entity115:key00B40CDA:ref6:ord0;page88:tag:entity115:key00B40CDA:ref6:ord0,"EXTRAS
[DOWNLOAD]","EXTRAS
[DATA MANAGEMENT]",ファイルが選択されていません。,,"附加内容
[数据管理]",,MATCH,24,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,7,7,7;7,2,,page23:tag:entity2:key0003E494:ref7:ord0;page88:tag:entity2:key0003E494:ref7:ord0,"EXTRAS
[DATA MANAGEMENT]",ファイルが選択されていません。,システム音声（VOCALOIDエディット）,,未选择任何文件。,,MATCH,45,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,8,8,8;8,2,,page23:tag:entity138:key00F9C616:ref8:ord0;page88:tag:entity138:key00F9C616:ref8:ord0,ファイルが選択されていません。,システム音声（VOCALOIDエディット）,システム音声,,系统语音（VOCALOID编辑）,,MATCH,47,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,9,9,9;9,2,,page23:tag:entity49:key00475FC1:ref9:ord0;page88:tag:entity49:key00475FC1:ref9:ord0,システム音声（VOCALOIDエディット）,システム音声,『METAL GEAR ZEKE』用音声（VOCALOIDエディット）,,系统语音,,MATCH,18,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,10,10,10;10,2,,page23:tag:entity7:key000AA00C:ref10:ord0;page88:tag:entity7:key000AA00C:ref10:ord0,システム音声,『METAL GEAR ZEKE』用音声（VOCALOIDエディット）,『METAL GEAR ZEKE』用音声,,ZEKE语音（VOCALOID编辑）,,MATCH,59,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,11,11,11;11,2,,page23:tag:entity100:key00986D60:ref11:ord0;page88:tag:entity100:key00986D60:ref11:ord0,『METAL GEAR ZEKE』用音声（VOCALOIDエディット）,『METAL GEAR ZEKE』用音声,CO-OPS通信（VOCALOIDエディット）,,ZEKE语音,,MATCH,30,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,12,12,12;12,2,,page23:tag:entity18:key002447F6:ref12:ord0;page88:tag:entity18:key002447F6:ref12:ord0,『METAL GEAR ZEKE』用音声,CO-OPS通信（VOCALOIDエディット）,CO-OPS通信,,CO-OPS通信（VOCALOID编辑）,,MATCH,41,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,13,13,13;13,2,,page23:tag:entity37:key003A07DF:ref13:ord0;page88:tag:entity37:key003A07DF:ref13:ord0,CO-OPS通信（VOCALOIDエディット）,CO-OPS通信,AI兵器音声（VOCALOIDエディット）,,CO-OPS通信,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,14,14,14;14,2,,page23:tag:entity134:key00E8A158:ref14:ord0;page88:tag:entity134:key00E8A158:ref14:ord0,CO-OPS通信,AI兵器音声（VOCALOIDエディット）,AI兵器音声,,AI兵器语音（VOCALOID编辑）,,MATCH,43,34,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,15,15,15;15,2,,page23:tag:entity65:key00664D75:ref15:ord0;page88:tag:entity65:key00664D75:ref15:ord0,AI兵器音声（VOCALOIDエディット）,AI兵器音声,VOCALOIDエディタ用データ,,AI兵器语音,,MATCH,14,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_EXTRA.OLANG,16,16,16;16,2,,page23:tag:entity38:key003A1C51:ref16:ord0;page88:tag:entity38:key003A1C51:ref16:ord0,AI兵器音声,VOCALOIDエディタ用データ,カムフラデータ,,VOCALOID编辑器数据,,MATCH,32,23,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
