file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AFDED,0,0,0,1,,page2019:tag2:entity9:key00000009:ref0:ord0,,スネーク 今だ,"ママルへの<R=偽装,ダミー>データに懸念が…",,Snake，就是现在！,,MATCH,19,23,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,1,1,1,1,,page2019:tag2:entity8:key00000008:ref1:ord0,スネーク 今だ,"ママルへの<R=偽装,ダミー>データに懸念が…","みんな<R=休憩,ブレイク>してくれ ","<R=偽装,ダミー>","哺乳舱的<R=伪装,模拟>数据还有些问题……","<R=伪装,模拟>",MATCH,59,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFDED,2,2,2,1,,page2019:tag2:entity7:key00000007:ref2:ord0,"ママルへの<R=偽装,ダミー>データに懸念が…","みんな<R=休憩,ブレイク>してくれ ",コールドマン 最終確認をしておきたい ,"<R=休憩,ブレイク>","大家<R=休息,休息>一下吧。","<R=休息,休息>",MATCH,45,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFDED,3,3,3,1,,page2019:tag2:entity6:key00000006:ref3:ord0,"みんな<R=休憩,ブレイク>してくれ ",コールドマン 最終確認をしておきたい ,朝まではかけるな,,Coldman，我想做最后一次确认。,,MATCH,53,40,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,4,4,4,1,,page2019:tag2:entity5:key00000005:ref4:ord0,コールドマン 最終確認をしておきたい ,朝まではかけるな,まだ時間がかかる,,别拖到早上。,,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,5,5,5,1,,page2019:tag2:entity4:key00000004:ref5:ord0,朝まではかけるな,まだ時間がかかる,"レプタイルの<R=承認処理,アクノリッジ>待ちだ",,还要花些时间。,,MATCH,24,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,6,6,6,1,,page2019:tag2:entity3:key00000003:ref6:ord0,まだ時間がかかる,"レプタイルの<R=承認処理,アクノリッジ>待ちだ",状況は？,"<R=承認処理,アクノリッジ>","正在等待爬虫舱的<R=确认处理,确认>。","<R=确认处理,确认>",MATCH,62,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFDED,7,7,7,1,,page2019:tag2:entity2:key00000002:ref7:ord0,"レプタイルの<R=承認処理,アクノリッジ>待ちだ",状況は？,ん…？,,情况如何？,,MATCH,12,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,8,8,8,1,,page2019:tag2:entity1:key00000001:ref8:ord0,状況は？,ん…？,"<R=起動,イニシエイト>だ ",,嗯……？,,MATCH,9,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,9,9,9,1,,page2019:tag2:entity0:key00000000:ref9:ord0,ん…？,"<R=起動,イニシエイト>だ ",ボスなのか？,"<R=起動,イニシエイト>","<R=启动,启动>。","<R=启动,启动>",MATCH,33,20,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CONTROL_OK
5D3AFDED,10,10,10,1,,page2019:tag2:entity19:key00000009:ref10:ord0,"<R=起動,イニシエイト>だ ",ボスなのか？,何？　ジャック,,是Boss吗？,,MATCH,18,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,11,11,11,1,,page2019:tag2:entity18:key00000008:ref11:ord0,ボスなのか？,何？　ジャック,ボス,,怎么了，Jack？,,MATCH,21,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,12,12,12,1,,page2019:tag2:entity17:key00000007:ref12:ord0,何？　ジャック,ボス,…そう,,Boss……,,MATCH,6,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,13,13,13,1,,page2019:tag2:entity16:key00000006:ref13:ord0,ボス,…そう,ここは冷える 寒いんだ,,……这样啊。,,MATCH,9,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D3AFDED,14,14,14,1,,page2019:tag2:entity15:key00000005:ref14:ord0,…そう,ここは冷える 寒いんだ,少し 心拍数が上がった,,这里很冷，冷得刺骨。,,MATCH,31,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
