file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DEFED13,0,0,0;0;0,3,,page4:tag5:entity2:key00D9D9B9:ref0:ord0;page10:tag5:entity2:key00D9D9B9:ref0:ord0;page46:tag2:entity2:key00D9D9B9:ref0:ord0,,START BUTTON,SELECT BUTTON,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3
5DEFED13,1,1,1;1;1,3,,page4:tag5:entity1:key0050818E:ref1:ord0;page10:tag5:entity1:key0050818E:ref1:ord0;page46:tag2:entity1:key0050818E:ref1:ord0,START BUTTON,SELECT BUTTON,KEY LIST,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3
5DEFED13,2,2,2;2;2,3,,page4:tag5:entity0:key002B250C:ref2:ord0;page10:tag5:entity0:key002B250C:ref2:ord0;page46:tag2:entity0:key002B250C:ref2:ord0,SELECT BUTTON,KEY LIST,使用しない,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3
5DEFED13,3,3,3;6;8;11;12;13;16;19;21;22;23;24;25;26;30;34;35;36;37;42;43;45;48;49;55;56;58;64;65;68;69;71;73;74;75;76;77;78;82;87;88;94;95;99;100;101;102;104;107;108;113;114;117;121;125;126;127;128;3;6;8;11;12;13;16;19;21;22;23;24;25;26;30;34;35;36;37;42;43;45;48;49;55;56;58;64;65;68;69;71;73;74;75;76;77;78;82;87;88;94;95;99;100;101;102;104;107;108;113;114;117;121;125;126;127;128;3;6;8;11;12;13;16;19;21;22;23;24;25;26;30;34;35;36;37;42;43;45;48;49;55;56;58;64;65;68;69;71;73;74;75;76;77;78;82;87;88;94;95;99;100;101;102;104;107;108;113;114;117;121;125;126;127;128,174,,page4:tag5:entity4:key001B7151:ref3:ord0;page4:tag5:entity6:key003C54C6:ref6:ord0;page4:tag5:entity9:key00539262:ref8:ord0;page4:tag5:entity8:key0052DB1B:ref11:ord0;page4:tag5:entity10:key005BD34D:ref12:ord0;page4:tag5:entity13:key00916E3E:ref13:ord0;page4:tag5:entity17:key001B7151:ref16:ord0;page4:tag5:entity19:key003C54C6:ref19:ord0;page4:tag5:entity22:key00539262:ref21:ord0;page4:tag5:entity20:key004C3B24:ref22:ord0;page4:tag5:entity18:key0038DEF1:ref23:ord0;page4:tag5:entity21:key0052DB1B:ref24:ord0;page4:tag5:entity23:key005BD34D:ref25:ord0;page4:tag5:entity26:key00916E3E:ref26:ord0;page4:tag5:entity40:key0095DC1E:ref30:ord0;page4:tag5:entity35:key00539262:ref34:ord0;page4:tag5:entity33:key004C3B24:ref35:ord0;page4:tag5:entity31:key0038DEF1:ref36:ord0;page4:tag5:entity34:key0052DB1B:ref37:ord0;page4:tag5:entity43:key001B7151:ref42:ord0;page4:tag5:entity53:key0095DC1E:ref43:ord0;page4:tag5:entity45:key003C54C6:ref45:ord0;page4:tag5:entity46:key004C3B24:ref48:ord0;page4:tag5:entity44:key0038DEF1:ref49:ord0;page4:tag5:entity56:key001B7151:ref55:ord0;page4:tag5:entity66:key0095DC1E:ref56:ord0;page4:tag5:entity58:key003C54C6:ref58:ord0;page4:tag5:entity62:key005BD34D:ref64:ord0;page4:tag5:entity65:key00916E3E:ref65:ord0;page4:tag5:entity69:key001B7151:ref68:ord0;page4:tag5:entity79:key0095DC1E:ref69:ord0;page4:tag5:entity71:key003C54C6:ref71:ord0;page4:tag5:entity74:key00539262:ref73:ord0;page4:tag5:entity72:key004C3B24:ref74:ord0;page4:tag5:entity70:key0038DEF1:ref75:ord0;page4:tag5:entity73:key0052DB1B:ref76:ord0;page4:tag5:entity75:key005BD34D:ref77:ord0;page4:tag5:entity78:key00916E3E:ref78:ord0;page4:tag5:entity92:key0095DC1E:ref82:ord0;page4:tag5:entity85:key004C3B24:ref87:ord0;page4:tag5:entity83:key0038DEF1:ref88:ord0;page4:tag5:entity95:key001B7151:ref94:ord0;page4:tag5:entity105:key0095DC1E:ref95:ord0;page4:tag5:entity100:key00539262:ref99:ord0;page4:tag5:entity98:key004C3B24:ref100:ord0;page4:tag5:entity96:key0038DEF1:ref101:ord0;page4:tag5:entity99:key0052DB1B:ref102:ord0;page4:tag5:entity104:key00916E3E:ref104:ord0;page4:tag5:entity108:key001B7151:ref107:ord0;page4:tag5:entity118:key0095DC1E:ref108:ord0;page4:tag5:entity111:key004C3B24:ref113:ord0;page4:tag5:entity109:key0038DEF1:ref114:ord0;page4:tag5:entity117:key00916E3E:ref117:ord0;page4:tag5:entity131:key0095DC1E:ref121:ord0;page4:tag5:entity126:key00539262:ref125:ord0;page4:tag5:entity124:key004C3B24:ref126:ord0;page4:tag5:entity122:key0038DEF1:ref127:ord0;page4:tag5:entity125:key0052DB1B:ref128:ord0;page10:tag5:entity4:key001B7151:ref3:ord0;page10:tag5:entity6:key003C54C6:ref6:ord0;page10:tag5:entity9:key00539262:ref8:ord0;page10:tag5:entity8:key0052DB1B:ref11:ord0;page10:tag5:entity10:key005BD34D:ref12:ord0;page10:tag5:entity13:key00916E3E:ref13:ord0;page10:tag5:entity17:key001B7151:ref16:ord0;page10:tag5:entity19:key003C54C6:ref19:ord0;page10:tag5:entity22:key00539262:ref21:ord0;page10:tag5:entity20:key004C3B24:ref22:ord0;page10:tag5:entity18:key0038DEF1:ref23:ord0;page10:tag5:entity21:key0052DB1B:ref24:ord0;page10:tag5:entity23:key005BD34D:ref25:ord0;page10:tag5:entity26:key00916E3E:ref26:ord0;page10:tag5:entity40:key0095DC1E:ref30:ord0;page10:tag5:entity35:key00539262:ref34:ord0;page10:tag5:entity33:key004C3B24:ref35:ord0;page10:tag5:entity31:key0038DEF1:ref36:ord0;page10:tag5:entity34:key0052DB1B:ref37:ord0;page10:tag5:entity43:key001B7151:ref42:ord0;page10:tag5:entity53:key0095DC1E:ref43:ord0;page10:tag5:entity45:key003C54C6:ref45:ord0;page10:tag5:entity46:key004C3B24:ref48:ord0;page10:tag5:entity44:key0038DEF1:ref49:ord0;page10:tag5:entity56:key001B7151:ref55:ord0;page10:tag5:entity66:key0095DC1E:ref56:ord0;page10:tag5:entity58:key003C54C6:ref58:ord0;page10:tag5:entity62:key005BD34D:ref64:ord0;page10:tag5:entity65:key00916E3E:ref65:ord0;page10:tag5:entity69:key001B7151:ref68:ord0;page10:tag5:entity79:key0095DC1E:ref69:ord0;page10:tag5:entity71:key003C54C6:ref71:ord0;page10:tag5:entity74:key00539262:ref73:ord0;page10:tag5:entity72:key004C3B24:ref74:ord0;page10:tag5:entity70:key0038DEF1:ref75:ord0;page10:tag5:entity73:key0052DB1B:ref76:ord0;page10:tag5:entity75:key005BD34D:ref77:ord0;page10:tag5:entity78:key00916E3E:ref78:ord0;page10:tag5:entity92:key0095DC1E:ref82:ord0;page10:tag5:entity85:key004C3B24:ref87:ord0;page10:tag5:entity83:key0038DEF1:ref88:ord0;page10:tag5:entity95:key001B7151:ref94:ord0;page10:tag5:entity105:key0095DC1E:ref95:ord0;page10:tag5:entity100:key00539262:ref99:ord0;page10:tag5:entity98:key004C3B24:ref100:ord0;page10:tag5:entity96:key0038DEF1:ref101:ord0;page10:tag5:entity99:key0052DB1B:ref102:ord0;page10:tag5:entity104:key00916E3E:ref104:ord0;page10:tag5:entity108:key001B7151:ref107:ord0;page10:tag5:entity118:key0095DC1E:ref108:ord0;page10:tag5:entity111:key004C3B24:ref113:ord0;page10:tag5:entity109:key0038DEF1:ref114:ord0;page10:tag5:entity117:key00916E3E:ref117:ord0;page10:tag5:entity131:key0095DC1E:ref121:ord0;page10:tag5:entity126:key00539262:ref125:ord0;page10:tag5:entity124:key004C3B24:ref126:ord0;page10:tag5:entity122:key0038DEF1:ref127:ord0;page10:tag5:entity125:key0052DB1B:ref128:ord0;page46:tag2:entity4:key001B7151:ref3:ord0;page46:tag2:entity6:key003C54C6:ref6:ord0;page46:tag2:entity9:key00539262:ref8:ord0;page46:tag2:entity8:key0052DB1B:ref11:ord0;page46:tag2:entity10:key005BD34D:ref12:ord0;page46:tag2:entity13:key00916E3E:ref13:ord0;page46:tag2:entity17:key001B7151:ref16:ord0;page46:tag2:entity19:key003C54C6:ref19:ord0;page46:tag2:entity22:key00539262:ref21:ord0;page46:tag2:entity20:key004C3B24:ref22:ord0;page46:tag2:entity18:key0038DEF1:ref23:ord0;page46:tag2:entity21:key0052DB1B:ref24:ord0;page46:tag2:entity23:key005BD34D:ref25:ord0;page46:tag2:entity26:key00916E3E:ref26:ord0;page46:tag2:entity40:key0095DC1E:ref30:ord0;page46:tag2:entity35:key00539262:ref34:ord0;page46:tag2:entity33:key004C3B24:ref35:ord0;page46:tag2:entity31:key0038DEF1:ref36:ord0;page46:tag2:entity34:key0052DB1B:ref37:ord0;page46:tag2:entity43:key001B7151:ref42:ord0;page46:tag2:entity53:key0095DC1E:ref43:ord0;page46:tag2:entity45:key003C54C6:ref45:ord0;page46:tag2:entity46:key004C3B24:ref48:ord0;page46:tag2:entity44:key0038DEF1:ref49:ord0;page46:tag2:entity56:key001B7151:ref55:ord0;page46:tag2:entity66:key0095DC1E:ref56:ord0;page46:tag2:entity58:key003C54C6:ref58:ord0;page46:tag2:entity62:key005BD34D:ref64:ord0;page46:tag2:entity65:key00916E3E:ref65:ord0;page46:tag2:entity69:key001B7151:ref68:ord0;page46:tag2:entity79:key0095DC1E:ref69:ord0;page46:tag2:entity71:key003C54C6:ref71:ord0;page46:tag2:entity74:key00539262:ref73:ord0;page46:tag2:entity72:key004C3B24:ref74:ord0;page46:tag2:entity70:key0038DEF1:ref75:ord0;page46:tag2:entity73:key0052DB1B:ref76:ord0;page46:tag2:entity75:key005BD34D:ref77:ord0;page46:tag2:entity78:key00916E3E:ref78:ord0;page46:tag2:entity92:key0095DC1E:ref82:ord0;page46:tag2:entity85:key004C3B24:ref87:ord0;page46:tag2:entity83:key0038DEF1:ref88:ord0;page46:tag2:entity95:key001B7151:ref94:ord0;page46:tag2:entity105:key0095DC1E:ref95:ord0;page46:tag2:entity100:key00539262:ref99:ord0;page46:tag2:entity98:key004C3B24:ref100:ord0;page46:tag2:entity96:key0038DEF1:ref101:ord0;page46:tag2:entity99:key0052DB1B:ref102:ord0;page46:tag2:entity104:key00916E3E:ref104:ord0;page46:tag2:entity108:key001B7151:ref107:ord0;page46:tag2:entity118:key0095DC1E:ref108:ord0;page46:tag2:entity111:key004C3B24:ref113:ord0;page46:tag2:entity109:key0038DEF1:ref114:ord0;page46:tag2:entity117:key00916E3E:ref117:ord0;page46:tag2:entity131:key0095DC1E:ref121:ord0;page46:tag2:entity126:key00539262:ref125:ord0;page46:tag2:entity124:key004C3B24:ref126:ord0;page46:tag2:entity122:key0038DEF1:ref127:ord0;page46:tag2:entity125:key0052DB1B:ref128:ord0,KEY LIST,使用しない,表示スクロール,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=174
5DEFED13,4,4,4;17;4;17;4;17,6,,page4:tag5:entity14:key0095DC1E:ref4:ord0;page4:tag5:entity27:key0095DC1E:ref17:ord0;page10:tag5:entity14:key0095DC1E:ref4:ord0;page10:tag5:entity27:key0095DC1E:ref17:ord0;page46:tag2:entity14:key0095DC1E:ref4:ord0;page46:tag2:entity27:key0095DC1E:ref17:ord0,使用しない,表示スクロール,メニューを閉じる,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6
5DEFED13,5,5,5;18;31;44;57;70;83;96;109;122;5;18;31;44;57;70;83;96;109;122;5;18;31;44;57;70;83;96;109;122,30,,page4:tag5:entity12:key007EDC00:ref5:ord0;page4:tag5:entity25:key007EDC00:ref18:ord0;page4:tag5:entity38:key007EDC00:ref31:ord0;page4:tag5:entity51:key007EDC00:ref44:ord0;page4:tag5:entity64:key007EDC00:ref57:ord0;page4:tag5:entity77:key007EDC00:ref70:ord0;page4:tag5:entity90:key007EDC00:ref83:ord0;page4:tag5:entity103:key007EDC00:ref96:ord0;page4:tag5:entity116:key007EDC00:ref109:ord0;page4:tag5:entity129:key007EDC00:ref122:ord0;page10:tag5:entity12:key007EDC00:ref5:ord0;page10:tag5:entity25:key007EDC00:ref18:ord0;page10:tag5:entity38:key007EDC00:ref31:ord0;page10:tag5:entity51:key007EDC00:ref44:ord0;page10:tag5:entity64:key007EDC00:ref57:ord0;page10:tag5:entity77:key007EDC00:ref70:ord0;page10:tag5:entity90:key007EDC00:ref83:ord0;page10:tag5:entity103:key007EDC00:ref96:ord0;page10:tag5:entity116:key007EDC00:ref109:ord0;page10:tag5:entity129:key007EDC00:ref122:ord0;page46:tag2:entity12:key007EDC00:ref5:ord0;page46:tag2:entity25:key007EDC00:ref18:ord0;page46:tag2:entity38:key007EDC00:ref31:ord0;page46:tag2:entity51:key007EDC00:ref44:ord0;page46:tag2:entity64:key007EDC00:ref57:ord0;page46:tag2:entity77:key007EDC00:ref70:ord0;page46:tag2:entity90:key007EDC00:ref83:ord0;page46:tag2:entity103:key007EDC00:ref96:ord0;page46:tag2:entity116:key007EDC00:ref109:ord0;page46:tag2:entity129:key007EDC00:ref122:ord0,表示スクロール,メニューを閉じる,使用しない,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=30
5DEFED13,6,7,7;20;33;46;59;72;85;98;111;124;7;20;33;46;59;72;85;98;111;124;7;20;33;46;59;72;85;98;111;124,30,,page4:tag5:entity11:key006A9054:ref7:ord0;page4:tag5:entity24:key006A9054:ref20:ord0;page4:tag5:entity37:key006A9054:ref33:ord0;page4:tag5:entity50:key006A9054:ref46:ord0;page4:tag5:entity63:key006A9054:ref59:ord0;page4:tag5:entity76:key006A9054:ref72:ord0;page4:tag5:entity89:key006A9054:ref85:ord0;page4:tag5:entity102:key006A9054:ref98:ord0;page4:tag5:entity115:key006A9054:ref111:ord0;page4:tag5:entity128:key006A9054:ref124:ord0;page10:tag5:entity11:key006A9054:ref7:ord0;page10:tag5:entity24:key006A9054:ref20:ord0;page10:tag5:entity37:key006A9054:ref33:ord0;page10:tag5:entity50:key006A9054:ref46:ord0;page10:tag5:entity63:key006A9054:ref59:ord0;page10:tag5:entity76:key006A9054:ref72:ord0;page10:tag5:entity89:key006A9054:ref85:ord0;page10:tag5:entity102:key006A9054:ref98:ord0;page10:tag5:entity115:key006A9054:ref111:ord0;page10:tag5:entity128:key006A9054:ref124:ord0;page46:tag2:entity11:key006A9054:ref7:ord0;page46:tag2:entity24:key006A9054:ref20:ord0;page46:tag2:entity37:key006A9054:ref33:ord0;page46:tag2:entity50:key006A9054:ref46:ord0;page46:tag2:entity63:key006A9054:ref59:ord0;page46:tag2:entity76:key006A9054:ref72:ord0;page46:tag2:entity89:key006A9054:ref85:ord0;page46:tag2:entity102:key006A9054:ref98:ord0;page46:tag2:entity115:key006A9054:ref111:ord0;page46:tag2:entity128:key006A9054:ref124:ord0,使用しない,キーリスト表示,使用しない,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=30
5DEFED13,7,9,9;10;9;10;9;10,6,,page4:tag5:entity7:key004C3B24:ref9:ord0;page4:tag5:entity5:key0038DEF1:ref10:ord0;page10:tag5:entity7:key004C3B24:ref9:ord0;page10:tag5:entity5:key0038DEF1:ref10:ord0;page46:tag2:entity7:key004C3B24:ref9:ord0;page46:tag2:entity5:key0038DEF1:ref10:ord0,使用しない,階層切替（地図に階層がある場合）,使用しない,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=6
5DEFED13,8,14,14;15;27;28;40;41;53;54;66;67;79;80;92;93;105;106;118;119;131;132;14;15;27;28;40;41;53;54;66;67;79;80;92;93;105;106;118;119;131;132;14;15;27;28;40;41;53;54;66;67;79;80;92;93;105;106;118;119;131;132,60,,page4:tag5:entity3:key00169D43:ref14:ord0;page4:tag5:entity15:key00969D41:ref15:ord0;page4:tag5:entity16:key00169D43:ref27:ord0;page4:tag5:entity28:key00969D41:ref28:ord0;page4:tag5:entity29:key00169D43:ref40:ord0;page4:tag5:entity41:key00969D41:ref41:ord0;page4:tag5:entity42:key00169D43:ref53:ord0;page4:tag5:entity54:key00969D41:ref54:ord0;page4:tag5:entity55:key00169D43:ref66:ord0;page4:tag5:entity67:key00969D41:ref67:ord0;page4:tag5:entity68:key00169D43:ref79:ord0;page4:tag5:entity80:key00969D41:ref80:ord0;page4:tag5:entity81:key00169D43:ref92:ord0;page4:tag5:entity93:key00969D41:ref93:ord0;page4:tag5:entity94:key00169D43:ref105:ord0;page4:tag5:entity106:key00969D41:ref106:ord0;page4:tag5:entity107:key00169D43:ref118:ord0;page4:tag5:entity119:key00969D41:ref119:ord0;page4:tag5:entity120:key00169D43:ref131:ord0;page4:tag5:entity132:key00969D41:ref132:ord0;page10:tag5:entity3:key00169D43:ref14:ord0;page10:tag5:entity15:key00969D41:ref15:ord0;page10:tag5:entity16:key00169D43:ref27:ord0;page10:tag5:entity28:key00969D41:ref28:ord0;page10:tag5:entity29:key00169D43:ref40:ord0;page10:tag5:entity41:key00969D41:ref41:ord0;page10:tag5:entity42:key00169D43:ref53:ord0;page10:tag5:entity54:key00969D41:ref54:ord0;page10:tag5:entity55:key00169D43:ref66:ord0;page10:tag5:entity67:key00969D41:ref67:ord0;page10:tag5:entity68:key00169D43:ref79:ord0;page10:tag5:entity80:key00969D41:ref80:ord0;page10:tag5:entity81:key00169D43:ref92:ord0;page10:tag5:entity93:key00969D41:ref93:ord0;page10:tag5:entity94:key00169D43:ref105:ord0;page10:tag5:entity106:key00969D41:ref106:ord0;page10:tag5:entity107:key00169D43:ref118:ord0;page10:tag5:entity119:key00969D41:ref119:ord0;page10:tag5:entity120:key00169D43:ref131:ord0;page10:tag5:entity132:key00969D41:ref132:ord0;page46:tag2:entity3:key00169D43:ref14:ord0;page46:tag2:entity15:key00969D41:ref15:ord0;page46:tag2:entity16:key00169D43:ref27:ord0;page46:tag2:entity28:key00969D41:ref28:ord0;page46:tag2:entity29:key00169D43:ref40:ord0;page46:tag2:entity41:key00969D41:ref41:ord0;page46:tag2:entity42:key00169D43:ref53:ord0;page46:tag2:entity54:key00969D41:ref54:ord0;page46:tag2:entity55:key00169D43:ref66:ord0;page46:tag2:entity67:key00969D41:ref67:ord0;page46:tag2:entity68:key00169D43:ref79:ord0;page46:tag2:entity80:key00969D41:ref80:ord0;page46:tag2:entity81:key00169D43:ref92:ord0;page46:tag2:entity93:key00969D41:ref93:ord0;page46:tag2:entity94:key00169D43:ref105:ord0;page46:tag2:entity106:key00969D41:ref106:ord0;page46:tag2:entity107:key00169D43:ref118:ord0;page46:tag2:entity119:key00969D41:ref119:ord0;page46:tag2:entity120:key00169D43:ref131:ord0;page46:tag2:entity132:key00969D41:ref132:ord0,使用しない,タブ切替,使用しない,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=60
5DEFED13,9,29,29;32;38;39;47;50;29;32;38;39;47;50;29;32;38;39;47;50,18,,page4:tag5:entity30:key001B7151:ref29:ord0;page4:tag5:entity32:key003C54C6:ref32:ord0;page4:tag5:entity36:key005BD34D:ref38:ord0;page4:tag5:entity39:key00916E3E:ref39:ord0;page4:tag5:entity48:key00539262:ref47:ord0;page4:tag5:entity47:key0052DB1B:ref50:ord0;page10:tag5:entity30:key001B7151:ref29:ord0;page10:tag5:entity32:key003C54C6:ref32:ord0;page10:tag5:entity36:key005BD34D:ref38:ord0;page10:tag5:entity39:key00916E3E:ref39:ord0;page10:tag5:entity48:key00539262:ref47:ord0;page10:tag5:entity47:key0052DB1B:ref50:ord0;page46:tag2:entity30:key001B7151:ref29:ord0;page46:tag2:entity32:key003C54C6:ref32:ord0;page46:tag2:entity36:key005BD34D:ref38:ord0;page46:tag2:entity39:key00916E3E:ref39:ord0;page46:tag2:entity48:key00539262:ref47:ord0;page46:tag2:entity47:key0052DB1B:ref50:ord0,タブ切替,選択,使用しない,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=18
