file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_PAUSEMENU.OLANG,0,0,0;0;0,3,,page156:tag:entity1:key0001F113:ref0:ord0;page168:tag:entity1:key0001F113:ref0:ord0;page180:tag:entity1:key0001F113:ref0:ord0,,はい,現在のミッションを最初からやり直しますか？,,是,,MATCH,6,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_PAUSEMENU.OLANG,1,1,1;1;1,3,,page156:tag:entity4:key006BB005:ref1:ord0;page168:tag:entity4:key006BB005:ref1:ord0;page180:tag:entity4:key006BB005:ref1:ord0,はい,現在のミッションを最初からやり直しますか？,いいえ,,要从头重新开始当前任务吗？,,MATCH,63,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3; review_flag=JPN_INTERROGATIVE_PRESERVED; AUXILIARY_HEADING_NOT_FORCED
LANG_PAUSEMENU.OLANG,2,2,2;2;2,3,,page156:tag:entity0:key00000E2F:ref2:ord0;page168:tag:entity0:key00000E2F:ref2:ord0;page180:tag:entity0:key00000E2F:ref2:ord0,現在のミッションを最初からやり直しますか？,いいえ,現在のミッションを終了し、ミッション選択画面へ戻りますか？,,否,,MATCH,9,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_PAUSEMENU.OLANG,3,3,3;3;3,3,,page156:tag:entity2:key00346D94:ref3:ord0;page168:tag:entity2:key00346D94:ref3:ord0;page180:tag:entity2:key00346D94:ref3:ord0,いいえ,現在のミッションを終了し、ミッション選択画面へ戻りますか？,xxx,,要结束当前任务并返回任务选择画面吗？,,MATCH,87,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3; review_flag=JPN_INTERROGATIVE_PRESERVED; AUXILIARY_HEADING_NOT_FORCED
LANG_PAUSEMENU.OLANG,4,4,4;7;17;44;4;7;17;44;4;7;17;44,12,,page156:tag:entity3:key00579231:ref4:ord0;page156:tag:entity13:key008ECF11:ref7:ord0;page156:tag:entity12:key0080113C:ref17:ord0;page156:tag:entity47:key007F849B:ref44:ord0;page168:tag:entity3:key00579231:ref4:ord0;page168:tag:entity13:key008ECF11:ref7:ord0;page168:tag:entity12:key0080113C:ref17:ord0;page168:tag:entity47:key007F849B:ref44:ord0;page180:tag:entity3:key00579231:ref4:ord0;page180:tag:entity13:key008ECF11:ref7:ord0;page180:tag:entity12:key0080113C:ref17:ord0;page180:tag:entity47:key007F849B:ref44:ord0,現在のミッションを終了し、ミッション選択画面へ戻りますか？,xxx,武器の切替設定,,xxx,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=12; review_flag=PLACEHOLDER_PRESERVED
LANG_PAUSEMENU.OLANG,5,5,5;5;5,3,,page156:tag:entity16:key00B8E28D:ref5:ord0;page168:tag:entity16:key00B8E28D:ref5:ord0;page180:tag:entity16:key00B8E28D:ref5:ord0,xxx,武器の切替設定,肩越しカメラ・上下,,武器切换设置,,MATCH,21,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_PAUSEMENU.OLANG,6,6,6;6;6,3,,page156:tag:entity26:key00EC76C9:ref6:ord0;page168:tag:entity26:key00EC76C9:ref6:ord0;page180:tag:entity26:key00EC76C9:ref6:ord0,武器の切替設定,肩越しカメラ・上下,xxx,,越肩视角：上下,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3; review_flag=JPN_SHOULDER_CAMERA_WORDING_PRESERVED; AUXILIARY_AIM_MODE_USED_AS_CONTEXT
LANG_PAUSEMENU.OLANG,7,8,8;8;8,3,,page156:tag:entity25:key00EC75B7:ref8:ord0;page168:tag:entity25:key00EC75B7:ref8:ord0;page180:tag:entity25:key00EC75B7:ref8:ord0,xxx,肩越しカメラ・左右,カメラ切替時の移動方向,,越肩视角：左右,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3; review_flag=JPN_SHOULDER_CAMERA_WORDING_PRESERVED; AUXILIARY_AIM_MODE_USED_AS_CONTEXT
LANG_PAUSEMENU.OLANG,8,9,9;9;9,3,,page156:tag:entity21:key00D55D45:ref9:ord0;page168:tag:entity21:key00D55D45:ref9:ord0;page180:tag:entity21:key00D55D45:ref9:ord0,肩越しカメラ・左右,カメラ切替時の移動方向,ゲーム字幕の表示,,切换镜头时的移动方向,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3; review_flag=JPN_CAMERA_SWITCH_MOVEMENT_DIRECTION_PRESERVED; AUXILIARY_INITIAL_DIRECTION_NOT_FORCED
LANG_PAUSEMENU.OLANG,9,10,10;10;10,3,,page156:tag:entity24:key00E6DA15:ref10:ord0;page168:tag:entity24:key00E6DA15:ref10:ord0;page180:tag:entity24:key00E6DA15:ref10:ord0,カメラ切替時の移動方向,ゲーム字幕の表示,システム音声（スネーク・アウト）,,显示游戏字幕,,MATCH,24,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
