file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_047A50,0,stream=0x47000;block=0xA50;text=0,"[""stream=0x47000;block=0xA50;text=0""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]",,"実を言うと、宇宙ネコには俺も会ったことがあるんだ。
","宇宙…ネコ？
",[],,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,想听点怪事吗？我遇到过一只外星猫。,"[""想听点怪事吗？我遇到过一只外星猫。""]","You wanna know something? I once met an alien
cat.
","[""You wanna know something? I once met an alien\ncat.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#0; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,1,stream=0x47000;block=0xA50;text=1,"[""stream=0x47000;block=0xA50;text=1""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","実を言うと、宇宙ネコには俺も会ったことがあるんだ。
","宇宙…ネコ？
","うん。暗かったからよく見えなかったけど、やけにしっぽ
の長いネコだったんだ。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,外星…猫？,"[""外星…猫？""]","An alien... cat?
","[""An alien... cat?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#1; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,2,stream=0x47000;block=0xA50;text=2,"[""stream=0x47000;block=0xA50;text=2""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","宇宙…ネコ？
","うん。暗かったからよく見えなかったけど、やけにしっぽ
の長いネコだったんだ。
","それに、暗闇の中で目がギラギラと光ってた。
",[],,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。当时外面很黑，我看不太清楚，但那是一只尾巴又长又大的猫。,"[""没错。当时外面很黑，我看不太清楚，但那是一只尾巴又长又大的猫。""]","Yep. It was dark out so I couldn't see too well,
but it was a cat with a huge long tail.
","[""Yep. It was dark out so I couldn't see too well,\nbut it was a cat with a huge long tail.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x47A50; ENG blocks=0xD53F0,0xD53F0; ENG source rows=0xD53F0#2,0xD53F0#3; block_semantic_score=0.158367."
BRIEFING_FILES_BLOCK_047A50,3,stream=0x47000;block=0xA50;text=3,"[""stream=0x47000;block=0xA50;text=3""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","うん。暗かったからよく見えなかったけど、やけにしっぽ
の長いネコだったんだ。
","それに、暗闇の中で目がギラギラと光ってた。
","ネコの目は光るもんだろ…。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,它的眼睛还会在黑暗中发光。,"[""它的眼睛还会在黑暗中发光。""]","Its eyes shined in the dark, too.
","[""Its eyes shined in the dark, too.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#4; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,4,stream=0x47000;block=0xA50;text=4,"[""stream=0x47000;block=0xA50;text=4""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","それに、暗闇の中で目がギラギラと光ってた。
","ネコの目は光るもんだろ…。
","俺も最初はただのネコだと思ったんだ。でも、そいつは俺
の頭の中に直接語りかけてきた。
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,大多数猫的眼睛都会吧…,"[""大多数猫的眼睛都会吧…""]","Most cats' eyes do...
","[""Most cats' eyes do...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#5; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,5,stream=0x47000;block=0xA50;text=5,"[""stream=0x47000;block=0xA50;text=5""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","ネコの目は光るもんだろ…。
","俺も最初はただのネコだと思ったんだ。でも、そいつは俺
の頭の中に直接語りかけてきた。
","…頭の中に？
",[],,,NOT_CHECKED,125,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"一开始我还以为只是普通猫。
可后来它开始跟我说话——在我脑子里。","[""一开始我还以为只是普通猫。\n可后来它开始跟我说话——在我脑子里。""]","At first I thought it was a regular cat. But then it
started talking to me - inside my head.
","[""At first I thought it was a regular cat. But then it\nstarted talking to me - inside my head.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#6; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,6,stream=0x47000;block=0xA50;text=6,"[""stream=0x47000;block=0xA50;text=6""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","俺も最初はただのネコだと思ったんだ。でも、そいつは俺
の頭の中に直接語りかけてきた。
","…頭の中に？
","そいつは自らをアルターゴゾ・エルバッキー・ムニューダ
ーと名乗った。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,…在你脑子里？,"[""…在你脑子里？""]","...Inside your head?
","[""...Inside your head?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#7; block_semantic_score=0.158367.
BRIEFING_FILES_BLOCK_047A50,7,stream=0x47000;block=0xA50;text=7,"[""stream=0x47000;block=0xA50;text=7""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","…頭の中に？
","そいつは自らをアルターゴゾ・エルバッキー・ムニューダ
ーと名乗った。
","……。
",[],,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"他说他叫
Altargozo Elbakki Munyudar。","[""他说他叫\nAltargozo Elbakki Munyudar。""]","He said his name was Altargozo Elbakki Munyudar.
","[""He said his name was Altargozo Elbakki Munyudar.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=2:1; JPN blocks=0x47A50,0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#8; block_semantic_score=0.158367."
BRIEFING_FILES_BLOCK_047A50,8,stream=0x47000;block=0xA50;text=8,"[""stream=0x47000;block=0xA50;text=8""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","そいつは自らをアルターゴゾ・エルバッキー・ムニューダ
ーと名乗った。
","……。
","アンドロメダ星雲の出身で、地球の核兵器について調査し
てるんだって…。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"他说他叫
Altargozo Elbakki Munyudar。","[""他说他叫\nAltargozo Elbakki Munyudar。""]","He said his name was Altargozo Elbakki Munyudar.
","[""He said his name was Altargozo Elbakki Munyudar.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=2:1; JPN blocks=0x47A50,0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#8; block_semantic_score=0.158367."
BRIEFING_FILES_BLOCK_047A50,9,stream=0x47000;block=0xA50;text=9,"[""stream=0x47000;block=0xA50;text=9""]",1,BRIEFING FILES,"[""stream=0x47000;block=0xA50;block_file=0x47A50;text_base=0x47AB4;capacity=1276""]","……。
","アンドロメダ星雲の出身で、地球の核兵器について調査し
てるんだって…。
","アンドロメダ星雲…。人類はまだ月に行くのがやっとだ。
そんな遠くに核を撃つなんてできるわけがない。
",[],,,NOT_CHECKED,104,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"他说他从仙女座星系来到地球，
目的是调查地球的核武器…","[""他说他从仙女座星系来到地球，\n目的是调查地球的核武器…""]","He'd come to Earth from the Andromeda Galaxy to
check out Earth's nuclear weapons...
","[""He'd come to Earth from the Andromeda Galaxy to\ncheck out Earth's nuclear weapons...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x47A50; ENG blocks=0xD53F0; ENG source rows=0xD53F0#9; block_semantic_score=0.158367.
