file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DC1E6A9,0,0,0;0;0;0;0;0;0;0;0,9,,page130:tag7:entity0:key0039E0FC:ref0:ord0;page172:tag7:entity0:key0039E0FC:ref0:ord0;page190:tag5:entity0:key0039E0FC:ref0:ord0;page220:tag7:entity0:key0039E0FC:ref0:ord0;page238:tag5:entity0:key0039E0FC:ref0:ord0;page250:tag7:entity0:key0039E0FC:ref0:ord0;page256:tag4:entity0:key0039E0FC:ref0:ord0;page358:tag4:entity0:key0039E0FC:ref0:ord0;page364:tag4:entity0:key0039E0FC:ref0:ord0,,強襲装甲車両　G型,LAV-typeG,,强袭装甲车辆　G型,,MATCH,25,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=JPN_IDEOGRAPHIC_SPACE_AND_G_TYPE_DESIGNATION_PRESERVED
5DC1E6A9,1,1,1;1;1;1;1;1;1;1;1,9,,page130:tag7:entity1:key00C61732:ref1:ord0;page172:tag7:entity1:key00C61732:ref1:ord0;page190:tag5:entity1:key00C61732:ref1:ord0;page220:tag7:entity1:key00C61732:ref1:ord0;page238:tag5:entity1:key00C61732:ref1:ord0;page250:tag7:entity1:key00C61732:ref1:ord0;page256:tag4:entity1:key00C61732:ref1:ord0;page358:tag4:entity1:key00C61732:ref1:ord0;page364:tag4:entity1:key00C61732:ref1:ord0,強襲装甲車両　G型,LAV-typeG,第２世代主力戦車,,LAV-typeG,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=FIXED_CURRENT_JPN_MODEL_IDENTITY_PRESERVED_EXACTLY; NOT_NORMALIZED_TO_LAV_TYPE_G
5DC1E6A9,2,2,2;2;2;2;2;2;2;2;2,9,,page130:tag7:entity2:key0039E0FC:ref2:ord0;page172:tag7:entity2:key0039E0FC:ref2:ord0;page190:tag5:entity2:key0039E0FC:ref2:ord0;page220:tag7:entity2:key0039E0FC:ref2:ord0;page238:tag5:entity2:key0039E0FC:ref2:ord0;page250:tag7:entity2:key0039E0FC:ref2:ord0;page256:tag4:entity2:key0039E0FC:ref2:ord0;page358:tag4:entity2:key0039E0FC:ref2:ord0;page364:tag4:entity2:key0039E0FC:ref2:ord0,LAV-typeG,第２世代主力戦車,T-72U,,第２代主战坦克,,MATCH,24,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=JPN_FULLWIDTH_DIGIT_２_PRESERVED
5DC1E6A9,3,3,3;3;3;3;3;3;3;3;3,9,,page130:tag7:entity3:key00C61732:ref3:ord0;page172:tag7:entity3:key00C61732:ref3:ord0;page190:tag5:entity3:key00C61732:ref3:ord0;page220:tag7:entity3:key00C61732:ref3:ord0;page238:tag5:entity3:key00C61732:ref3:ord0;page250:tag7:entity3:key00C61732:ref3:ord0;page256:tag4:entity3:key00C61732:ref3:ord0;page358:tag4:entity3:key00C61732:ref3:ord0;page364:tag4:entity3:key00C61732:ref3:ord0,第２世代主力戦車,T-72U,AI搭載水陸両用戦機,,T-72U,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=FIXED_JPN_MODEL_IDENTITY_PRESERVED_EXACTLY
5DC1E6A9,4,4,4;4;4;4;4;4;4;4;4,9,,page130:tag7:entity4:key0039E0FC:ref4:ord0;page172:tag7:entity4:key0039E0FC:ref4:ord0;page190:tag5:entity4:key0039E0FC:ref4:ord0;page220:tag7:entity4:key0039E0FC:ref4:ord0;page238:tag5:entity4:key0039E0FC:ref4:ord0;page250:tag7:entity4:key0039E0FC:ref4:ord0;page256:tag4:entity4:key0039E0FC:ref4:ord0;page358:tag4:entity4:key0039E0FC:ref4:ord0;page364:tag4:entity4:key0039E0FC:ref4:ord0,T-72U,AI搭載水陸両用戦機,ピューパ,,搭载AI的水陆两用战机,,MATCH,26,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=JPN_AI_AND_AMPHIBIOUS_COMBAT_MACHINE_SEMANTICS_PRESERVED
5DC1E6A9,5,5,5;5;5;5;5;5;5;5;5,9,,page130:tag7:entity5:key00C61732:ref5:ord0;page172:tag7:entity5:key00C61732:ref5:ord0;page190:tag5:entity5:key00C61732:ref5:ord0;page220:tag7:entity5:key00C61732:ref5:ord0;page238:tag5:entity5:key00C61732:ref5:ord0;page250:tag7:entity5:key00C61732:ref5:ord0;page256:tag4:entity5:key00C61732:ref5:ord0;page358:tag4:entity5:key00C61732:ref5:ord0;page364:tag4:entity5:key00C61732:ref5:ord0,AI搭載水陸両用戦機,ピューパ,汎用戦闘ヘリコプター,,PUPA,,MATCH,12,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=ESTABLISHED_AI_WEAPON_LATIN_IDENTITY_USED_FOR_JPN_ピューパ
5DC1E6A9,6,6,6;6;6;6;6;6;6;6;6,9,,page130:tag7:entity6:key0039E0FC:ref6:ord0;page172:tag7:entity6:key0039E0FC:ref6:ord0;page190:tag5:entity6:key0039E0FC:ref6:ord0;page220:tag7:entity6:key0039E0FC:ref6:ord0;page238:tag5:entity6:key0039E0FC:ref6:ord0;page250:tag7:entity6:key0039E0FC:ref6:ord0;page256:tag4:entity6:key0039E0FC:ref6:ord0;page358:tag4:entity6:key0039E0FC:ref6:ord0;page364:tag4:entity6:key0039E0FC:ref6:ord0,ピューパ,汎用戦闘ヘリコプター,Mi-24A,,通用战斗直升机,,MATCH,30,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=JPN_GENERAL_PURPOSE_COMBAT_HELICOPTER_SEMANTICS_PRESERVED
5DC1E6A9,7,7,7;7;7;7;7;7;7;7;7,9,,page130:tag7:entity7:key00C61732:ref7:ord0;page172:tag7:entity7:key00C61732:ref7:ord0;page190:tag5:entity7:key00C61732:ref7:ord0;page220:tag7:entity7:key00C61732:ref7:ord0;page238:tag5:entity7:key00C61732:ref7:ord0;page250:tag7:entity7:key00C61732:ref7:ord0;page256:tag4:entity7:key00C61732:ref7:ord0;page358:tag4:entity7:key00C61732:ref7:ord0;page364:tag4:entity7:key00C61732:ref7:ord0,汎用戦闘ヘリコプター,Mi-24A,AI搭載垂直離着陸戦機,,Mi-24A,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=FIXED_JPN_MODEL_IDENTITY_PRESERVED_EXACTLY
5DC1E6A9,8,8,8;8;8;8;8;8;8;8;8,9,,page130:tag7:entity8:key0039E0FC:ref8:ord0;page172:tag7:entity8:key0039E0FC:ref8:ord0;page190:tag5:entity8:key0039E0FC:ref8:ord0;page220:tag7:entity8:key0039E0FC:ref8:ord0;page238:tag5:entity8:key0039E0FC:ref8:ord0;page250:tag7:entity8:key0039E0FC:ref8:ord0;page256:tag4:entity8:key0039E0FC:ref8:ord0;page358:tag4:entity8:key0039E0FC:ref8:ord0;page364:tag4:entity8:key0039E0FC:ref8:ord0,Mi-24A,AI搭載垂直離着陸戦機,クリサリス,,搭载AI的垂直起降战机,,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=JPN_AI_VTOL_COMBAT_MACHINE_SEMANTICS_PRESERVED
5DC1E6A9,9,9,9;9;9;9;9;9;9;9;9,9,,page130:tag7:entity9:key00C61732:ref9:ord0;page172:tag7:entity9:key00C61732:ref9:ord0;page190:tag5:entity9:key00C61732:ref9:ord0;page220:tag7:entity9:key00C61732:ref9:ord0;page238:tag5:entity9:key00C61732:ref9:ord0;page250:tag7:entity9:key00C61732:ref9:ord0;page256:tag4:entity9:key00C61732:ref9:ord0;page358:tag4:entity9:key00C61732:ref9:ord0;page364:tag4:entity9:key00C61732:ref9:ord0,AI搭載垂直離着陸戦機,クリサリス,AI搭載超級戦機,,CHRYSALIS,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=9; review_flag=ESTABLISHED_PROJECT_AI_WEAPON_IDENTITY_USED_FOR_JPN_クリサリス
