file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_376CD0,0,stream=0x376000;block=0xCD0;text=0,"[""stream=0x376000;block=0xCD0;text=0""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]",,"スネーク…。
","…ああ…。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake…,"[""Snake…""]","Snake...
","[""Snake...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#0; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,1,stream=0x376000;block=0xCD0;text=1,"[""stream=0x376000;block=0xCD0;text=1""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","スネーク…。
","…ああ…。
","また声が聴けて良かった。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,嗯…,"[""嗯…""]","Yeah...
","[""Yeah...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#1; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,2,stream=0x376000;block=0xCD0;text=2,"[""stream=0x376000;block=0xCD0;text=2""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","…ああ…。
","また声が聴けて良かった。
","カズ、次は、もっとよく切れるやつを、
用意してくれ。
",[],,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,能再听到你的声音真好。,"[""能再听到你的声音真好。""]","It's good to hear your voice again.
","[""It's good to hear your voice again.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#2; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,3,stream=0x376000;block=0xCD0;text=3,"[""stream=0x376000;block=0xCD0;text=3""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","また声が聴けて良かった。
","カズ、次は、もっとよく切れるやつを、
用意してくれ。
","わかった。
糸鋸の刃を、<R=ダイヤ,bort>にしておくよ。
",[],,,NOT_CHECKED,77,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Kaz，下次能不能来点更锋利的东西？,"[""Kaz，下次能不能来点更锋利的东西？""]","Kaz, how about something a little sharper
next time.
","[""Kaz, how about something a little sharper\nnext time.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#3; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,4,stream=0x376000;block=0xCD0;text=4,"[""stream=0x376000;block=0xCD0;text=4""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","カズ、次は、もっとよく切れるやつを、
用意してくれ。
","わかった。
糸鋸の刃を、<R=ダイヤ,bort>にしておくよ。
","ええとそれで…、その、“次”は、いつだ？
","[""<R=ダイヤ,bort>""]",,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"没问题。配金刚石
锯片的钢丝锯怎么样？","[""没问题。配金刚石\n锯片的钢丝锯怎么样？""]","You got it. How about a diamond-bladed
jigsaw?
","[""You got it. How about a diamond-bladed\njigsaw?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#4; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,5,stream=0x376000;block=0xCD0;text=5,"[""stream=0x376000;block=0xCD0;text=5""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","わかった。
糸鋸の刃を、<R=ダイヤ,bort>にしておくよ。
","ええとそれで…、その、“次”は、いつだ？
","悪い…、おい…、大丈夫か。
",[],,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,对了，那个‘下次’到底是什么时候？,"[""对了，那个‘下次’到底是什么时候？""]","And, ah, when's the ""next time"" gonna be,
anyway?
","[""And, ah, when's the \""next time\"" gonna be,\nanyway?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#5; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,6,stream=0x376000;block=0xCD0;text=6,"[""stream=0x376000;block=0xCD0;text=6""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","ええとそれで…、その、“次”は、いつだ？
","悪い…、おい…、大丈夫か。
","ああ…。
咳が、焦げ臭い。
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,抱歉！喂，你没事吧？,"[""抱歉！喂，你没事吧？""]","Sorry! Hey, you OK?
","[""Sorry! Hey, you OK?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#6; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,7,stream=0x376000;block=0xCD0;text=7,"[""stream=0x376000;block=0xCD0;text=7""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","悪い…、おい…、大丈夫か。
","ああ…。
咳が、焦げ臭い。
","しばらく禁煙だな。
",[],,,NOT_CHECKED,38,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,嗯…肺里一股炭味。,"[""嗯…肺里一股炭味。""]","Yeah.... Lungs taste like charcoal.
","[""Yeah.... Lungs taste like charcoal.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#7; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,8,stream=0x376000;block=0xCD0;text=8,"[""stream=0x376000;block=0xCD0;text=8""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","ああ…。
咳が、焦げ臭い。
","しばらく禁煙だな。
","いや、心配はいらない。
胸の痛みは消えた。
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你一时半会儿可抽不了烟了，嗯？,"[""你一时半会儿可抽不了烟了，嗯？""]","No smoking for you for a while, huh?
","[""No smoking for you for a while, huh?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#8; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,9,stream=0x376000;block=0xCD0;text=9,"[""stream=0x376000;block=0xCD0;text=9""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","しばらく禁煙だな。
","いや、心配はいらない。
胸の痛みは消えた。
","ザ・ボスの傷を模した？
",[],,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,不，我没事。胸口的疼痛已经消失了…,"[""不，我没事。胸口的疼痛已经消失了…""]","Nah, I'll be fine. The pain in my chest is
gone...
","[""Nah, I'll be fine. The pain in my chest is\ngone...\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#9; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,10,stream=0x376000;block=0xCD0;text=10,"[""stream=0x376000;block=0xCD0;text=10""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","いや、心配はいらない。
胸の痛みは消えた。
","ザ・ボスの傷を模した？
","そうだ。
傷跡も消えた。
",[],,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,所以，那只是The Boss那道伤的翻版？,"[""所以，那只是The Boss那道伤的翻版？""]","So, that was just a copy of The Boss'
wound?
","[""So, that was just a copy of The Boss'\nwound?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#10; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,11,stream=0x376000;block=0xCD0;text=11,"[""stream=0x376000;block=0xCD0;text=11""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","ザ・ボスの傷を模した？
","そうだ。
傷跡も消えた。
","感服するよ。
",[],,,NOT_CHECKED,35,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。现在伤疤已经消失了。,"[""没错。现在伤疤已经消失了。""]","That's right. The scar's gone now.
","[""That's right. The scar's gone now.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#11; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_376CD0,12,stream=0x376000;block=0xCD0;text=12,"[""stream=0x376000;block=0xCD0;text=12""]",1,d4250_m0300_mrd,"[""stream=0x376000;block=0xCD0;block_file=0x376CD0;text_base=0x376D70;capacity=2016""]","そうだ。
傷跡も消えた。
","感服するよ。
","そっちの状況は？
みんな無事か？
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,干得漂亮。,"[""干得漂亮。""]","Nice work.
","[""Nice work.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x376CD0; ENG blocks=0x38DB70; ENG source rows=0x38DB70#12; block_semantic_score=1.000000.
