file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
LANG_MISSION_INFO.OLANG,0,0,0;1;3;4;0;1;3;4;0;1;3;4,12,,page15:tag:entity434:key0088A028:ref0:ord0;page15:tag:entity766:key00F56224:ref1:ord0;page15:tag:entity323:key00580D7C:ref3:ord0;page15:tag:entity305:key004A5600:ref4:ord0;page174:tag:entity434:key0088A028:ref0:ord0;page174:tag:entity766:key00F56224:ref1:ord0;page174:tag:entity323:key00580D7C:ref3:ord0;page174:tag:entity305:key004A5600:ref4:ord0;page180:tag:entity434:key0088A028:ref0:ord0;page180:tag:entity766:key00F56224:ref1:ord0;page180:tag:entity323:key00580D7C:ref3:ord0;page180:tag:entity305:key004A5600:ref4:ord0,,【EXTRA OPS：没】メタルギアZEKE・クロスバトル,敵マザーベースに侵入し、<C=FF4040>メタルギアZEKEを破壊<C=R>せよ。,,,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=12,[120] METAL GEAR ZEKE - CROSS BATTLE,"[""[120] METAL GEAR ZEKE - CROSS BATTLE""]",[120] METAL GEAR ZEKE - CROSS BATTLE,"[""[120] METAL GEAR ZEKE - CROSS BATTLE""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,1,2,2;2;2,3,,page15:tag:entity306:key004CADD3:ref2:ord0;page174:tag:entity306:key004CADD3:ref2:ord0;page180:tag:entity306:key004CADD3:ref2:ord0,【EXTRA OPS：没】メタルギアZEKE・クロスバトル,敵マザーベースに侵入し、<C=FF4040>メタルギアZEKEを破壊<C=R>せよ。,【EXTRA OPS：没】メタルギアZEKE・クロスバトル,<C=FF4040> | <C=R>,,,NOT_CHECKED,88,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3,潜入敌人的母基地，摧毁METAL GEAR ZEKE。,"[""潜入敌人的母基地，摧毁METAL GEAR ZEKE。""]",Infiltrate the enemy's Mother Base and destroy METAL GEAR ZEKE.,"[""Infiltrate the enemy's Mother Base and destroy METAL GEAR ZEKE.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,2,5,5;5;5,3,,page15:tag:entity52:key001C1B27:ref5:ord0;page174:tag:entity52:key001C1B27:ref5:ord0;page180:tag:entity52:key001C1B27:ref5:ord0,【EXTRA OPS：没】メタルギアZEKE・クロスバトル,"<C=FF4040>メタルギアZEKEを遠隔操作<C=R>し、マザーベース<C=FF4040>侵入者を
殲滅<C=R>せよ。",【EXTRA OPS：120】対メタルギアZEKE　模擬戦,<C=FF4040> | <C=R> | <C=FF4040> | <C=R>,,,NOT_CHECKED,116,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3,通过远程控制驾驶ZEKE，消灭来自母基地的入侵者。,"[""通过远程控制驾驶ZEKE，消灭来自母基地的入侵者。""]",Pilot ZEKE by remote control and eliminate the intruders from Mother Base.,"[""Pilot ZEKE by remote control and eliminate the intruders from Mother Base.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,3,6,6;7;6;7;6;7,6,,page15:tag:entity321:key00570D7C:ref6:ord0;page15:tag:entity304:key004A55C0:ref7:ord0;page174:tag:entity321:key00570D7C:ref6:ord0;page174:tag:entity304:key004A55C0:ref7:ord0;page180:tag:entity321:key00570D7C:ref6:ord0;page180:tag:entity304:key004A55C0:ref7:ord0,"<C=FF4040>メタルギアZEKEを遠隔操作<C=R>し、マザーベース<C=FF4040>侵入者を
殲滅<C=R>せよ。",【EXTRA OPS：120】対メタルギアZEKE　模擬戦,"<C=FF4040>搭載AI<C=R>の演習データ集積のための<C=FF4040>実戦シミュレーション<C=R>。
シミュレーションのため、ここでメタルギアZEKEへ与えたダメージは
メタルギアZEKE実機には反映されない。
WALKMAN持ち込み不可。",,,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6,[120] Metal Gear ZEKE - 模拟战,"[""[120] Metal Gear ZEKE - 模拟战""]",[120] Metal Gear ZEKE - Mock Battle,"[""[120] Metal Gear ZEKE - Mock Battle""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,4,8,8;8;8,3,,page15:tag:entity48:key001B1B27:ref8:ord0;page174:tag:entity48:key001B1B27:ref8:ord0;page180:tag:entity48:key001B1B27:ref8:ord0,【EXTRA OPS：120】対メタルギアZEKE　模擬戦,"<C=FF4040>搭載AI<C=R>の演習データ集積のための<C=FF4040>実戦シミュレーション<C=R>。
シミュレーションのため、ここでメタルギアZEKEへ与えたダメージは
メタルギアZEKE実機には反映されない。
WALKMAN持ち込み不可。",【EXTRA OPS：119】対ピースウォーカー改戦,<C=FF4040> | <C=R> | <C=FF4040> | <C=R>,,,NOT_CHECKED,281,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3,"<C=FF4040>进行模拟战斗<C=R>，帮助<C=FF4040>机载AI<C=R>收集性能数据。由于这是模拟，对模拟ZEKE造成的任何伤害都不会影响真实的ZEKE。
不允许使用WALKMAN。","[""<C=FF4040>进行模拟战斗<C=R>，帮助<C=FF4040>机载AI<C=R>收集性能数据。由于这是模拟，对模拟ZEKE造成的任何伤害都不会影响真实的ZEKE。\n不允许使用WALKMAN。""]","<C=FF4040>Fight a simulated battle<C=R> to help the <C=FF4040>onboard AI<C=R> collect performance data. Since this is a simulation, any damage dealt to the simulated ZEKE will not affect the real ZEKE.
The WALKMAN is not allowed.","[""<C=FF4040>Fight a simulated battle<C=R> to help the <C=FF4040>onboard AI<C=R> collect performance data. Since this is a simulation, any damage dealt to the simulated ZEKE will not affect the real ZEKE.\nThe WALKMAN is not allowed.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,5,9,9;10;9;10;9;10,6,,page15:tag:entity112:key00400D7C:ref9:ord0;page15:tag:entity303:key004A5000:ref10:ord0;page174:tag:entity112:key00400D7C:ref9:ord0;page174:tag:entity303:key004A5000:ref10:ord0;page180:tag:entity112:key00400D7C:ref9:ord0;page180:tag:entity303:key004A5000:ref10:ord0,"<C=FF4040>搭載AI<C=R>の演習データ集積のための<C=FF4040>実戦シミュレーション<C=R>。
シミュレーションのため、ここでメタルギアZEKEへ与えたダメージは
メタルギアZEKE実機には反映されない。
WALKMAN持ち込み不可。",【EXTRA OPS：119】対ピースウォーカー改戦,"　作戦エリア：米軍ミサイル基地・滑走路
<C=FF4040>ピースウォーカー改を無力化<C=R>せよ。
破壊、または搭載AIを静止させることで
ミッションは完了する。",,,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6,[119] AI武器战：和平行者 定制型,"[""[119] AI武器战：和平行者 定制型""]",[119] AI Weapon Battle: Peace Walker Custom,"[""[119] AI Weapon Battle: Peace Walker Custom""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,6,11,11;11;11,3,,page15:tag:entity11:key00041B27:ref11:ord0;page174:tag:entity11:key00041B27:ref11:ord0;page180:tag:entity11:key00041B27:ref11:ord0,【EXTRA OPS：119】対ピースウォーカー改戦,"　作戦エリア：米軍ミサイル基地・滑走路
<C=FF4040>ピースウォーカー改を無力化<C=R>せよ。
破壊、または搭載AIを静止させることで
ミッションは完了する。",sbm258/バシリスコ：２足-3,<C=FF4040> | <C=R>,,,NOT_CHECKED,209,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3,"  任务地点：美国导弹基地
<C=FF4040>歼灭和平行者 定制型<C=R>。
摧毁和平行者或关闭机载AI以完成任务。","[""  任务地点：美国导弹基地\n<C=FF4040>歼灭和平行者 定制型<C=R>。\n摧毁和平行者或关闭机载AI以完成任务。""]","  Mission Location: U.S. Missile Base
<C=FF4040>Neutralize Peace Walker Custom<C=R>.
Destroy Peace Walker or shutdown the onboard AI to complete the mission.","[""  Mission Location: U.S. Missile Base\n<C=FF4040>Neutralize Peace Walker Custom<C=R>.\nDestroy Peace Walker or shutdown the onboard AI to complete the mission.""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,7,12,12;13;12;13;12;13,6,,page15:tag:entity109:key003F0D7C:ref12:ord0;page15:tag:entity302:key004A4FC0:ref13:ord0;page174:tag:entity109:key003F0D7C:ref12:ord0;page174:tag:entity302:key004A4FC0:ref13:ord0;page180:tag:entity109:key003F0D7C:ref12:ord0;page180:tag:entity302:key004A4FC0:ref13:ord0,"　作戦エリア：米軍ミサイル基地・滑走路
<C=FF4040>ピースウォーカー改を無力化<C=R>せよ。
破壊、または搭載AIを静止させることで
ミッションは完了する。",sbm258/バシリスコ：２足-3,sbm258内容/バシリスコ：２足-3,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6,SBM258,"[""SBM258""]",SBM258,"[""SBM258""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,8,14,14;14;14,3,,page15:tag:entity9:key00031B27:ref14:ord0;page174:tag:entity9:key00031B27:ref14:ord0;page180:tag:entity9:key00031B27:ref14:ord0,sbm258/バシリスコ：２足-3,sbm258内容/バシリスコ：２足-3,【EXTRA OPS：117】対コクーン改戦,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3,ABOUT SBM258,"[""ABOUT SBM258""]",ABOUT SBM258,"[""ABOUT SBM258""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_MISSION_INFO.OLANG,9,15,15;16;15;16;15;16,6,,page15:tag:entity106:key003E0D7C:ref15:ord0;page15:tag:entity301:key004A4F80:ref16:ord0;page174:tag:entity106:key003E0D7C:ref15:ord0;page174:tag:entity301:key004A4F80:ref16:ord0;page180:tag:entity106:key003E0D7C:ref15:ord0;page180:tag:entity301:key004A4F80:ref16:ord0,sbm258内容/バシリスコ：２足-3,【EXTRA OPS：117】対コクーン改戦,"　作戦エリア：採掘場底部
<C=FF4040>コクーン改を無力化<C=R>せよ。
破壊、または搭載AIを静止させることで
ミッションは完了する。",,,,NOT_CHECKED,42,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6,[117] AI武器战：Cocoon 定制型,"[""[117] AI武器战：Cocoon 定制型""]",[117] AI Weapon Battle: Cocoon Custom,"[""[117] AI Weapon Battle: Cocoon Custom""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
