file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D06A8D5,0,0,0,1,,page34:tag10:entity0:key000140F7:ref0:ord0,,NEW,『医療班』を設立しました。,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],NEW,"[""NEW""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,1,1,1,1,,page34:tag10:entity42:key007E1AA7:ref1:ord0,NEW,『医療班』を設立しました。,『診療所』を設立しました。,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,已设立医疗班。,"[""已设立医疗班。""]",Established Medical Team.,"[""Established Medical Team.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,2,2,2,1,,page34:tag10:entity41:key007E1A90:ref2:ord0,『医療班』を設立しました。,『診療所』を設立しました。,『糧食班』を設立しました。,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,已设立医务室。,"[""已设立医务室。""]",Established Sickbay.,"[""Established Sickbay.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,3,3,3,1,,page34:tag10:entity40:key007E1A8E:ref3:ord0,『診療所』を設立しました。,『糧食班』を設立しました。,(不要)マザーベースが目標海域に到着しました。,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,已设立食堂班。,"[""已设立食堂班。""]",Established Mess Hall Team.,"[""Established Mess Hall Team.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,4,4,4,1,,page34:tag10:entity39:key007E1A8D:ref4:ord0,『糧食班』を設立しました。,(不要)マザーベースが目標海域に到着しました。,$1からプレゼントをもらいました。,,,,NOT_CHECKED,65,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,(不使用)母基地已抵达目标海域。,"[""(不使用)母基地已抵达目标海域。""]",(不要)マザーベースが目標海域に到着しました。,"[""(不要)マザーベースが目標海域に到着しました。""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,5,5,5,1,,page34:tag10:entity38:key007E1A8C:ref5:ord0,(不要)マザーベースが目標海域に到着しました。,$1からプレゼントをもらいました。,#スタッフに贈り物をしました。,$1,,,NOT_CHECKED,47,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,收到来自$1的礼物。,"[""收到来自$1的礼物。""]",Received gift from $1.,"[""Received gift from $1.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,6,6,6,1,,page34:tag10:entity37:key007E1A8B:ref6:ord0,$1からプレゼントをもらいました。,#スタッフに贈り物をしました。,"(不要)海域から$1をサルベージしました。
",,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,#已向职员送出礼物。,"[""#已向职员送出礼物。""]",#Sent gift to staff.,"[""#Sent gift to staff.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,7,7,7,1,,page34:tag10:entity36:key007E1A8A:ref7:ord0,#スタッフに贈り物をしました。,"(不要)海域から$1をサルベージしました。
",#????,$1,,,NOT_CHECKED,56,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"(不使用)从海域打捞到了$1。
","[""(不使用)从海域打捞到了$1。\n""]","(不要)海域から$1をサルベージしました。
","[""(不要)海域から$1をサルベージしました。\n""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,8,8,8,1,,page34:tag10:entity35:key007E1A89:ref8:ord0,"(不要)海域から$1をサルベージしました。
",#????,(不要)「移動・サルベージ」の機能が追加されました。,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],#????,"[""#????""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D06A8D5,9,9,9,1,,page34:tag10:entity34:key007E1A88:ref9:ord0,#????,(不要)「移動・サルベージ」の機能が追加されました。,$1の所有数が$2に達しました。 ,,,,NOT_CHECKED,74,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,(不使用)已追加“移动/打捞”功能。,"[""(不使用)已追加“移动/打捞”功能。""]",(不要)「移動・サルベージ」の機能が追加されました。,"[""(不要)「移動・サルベージ」の機能が追加されました。""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
