file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7BF2AD,0,,,,,record0:segment0:timing68-152,,"そのあたりに<R=FSLN,サンディニスタ>の小屋があるはずだ","警備兵を無力化して <R=FSLN,サンディニスタ>の\n<R=司令官,コマンダンテ>と接触してくれ","<R=FSLN,サンディニスタ>","附近应该有<R=FSLN,SANDINISTA>的小屋。","<R=FSLN,SANDINISTA>",MATCH,75,46,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,1,,,,,record0:segment1:timing0-0,"そのあたりに<R=FSLN,サンディニスタ>の小屋があるはずだ","警備兵を無力化して <R=FSLN,サンディニスタ>の\n<R=司令官,コマンダンテ>と接触してくれ",敵兵を全員無力化するんだ,"<R=FSLN,サンディニスタ> | <R=司令官,コマンダンテ>","先解决警卫，再去接触<R=FSLN,SANDINISTA>的\n<R=司令官,COMANDANTE>。","<R=FSLN,SANDINISTA> | <R=司令官,COMANDANTE>",MATCH,116,81,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,2,,,,,record1:segment0:timing0-0,"警備兵を無力化して <R=FSLN,サンディニスタ>の\n<R=司令官,コマンダンテ>と接触してくれ",敵兵を全員無力化するんだ,全敵兵を無力化するんだ,,让所有敌兵失去战斗力。,,MATCH,36,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,3,,,,,record2:segment0:timing0-0,敵兵を全員無力化するんだ,全敵兵を無力化するんだ,麻酔 気絶でもいい\n全敵兵を無力化するんだ,,让所有敌兵失去战斗力。,,MATCH,33,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,4,,,,,record3:segment0:timing0-0,全敵兵を無力化するんだ,麻酔 気絶でもいい\n全敵兵を無力化するんだ,まだ敵兵がいる\n無力化するんだ,,麻醉或打晕也行。\n让所有敌兵失去战斗力。,,MATCH,60,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,5,,,,,record4:segment0:timing0-0,麻酔 気絶でもいい\n全敵兵を無力化するんだ,まだ敵兵がいる\n無力化するんだ,敵兵の排除を優先するんだ,,还有敌兵。\n让他失去战斗力。,,MATCH,44,41,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,6,,,,,record5:segment0:timing0-0,まだ敵兵がいる\n無力化するんだ,敵兵の排除を優先するんだ,上に誰か捕まっているようだ,,优先解决敌兵。,,MATCH,36,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,7,,,,,record6:segment0:timing56-114,敵兵の排除を優先するんだ,上に誰か捕まっているようだ,だがまずは敵兵の排除を優先しろ,,上面似乎有人被抓了。,,MATCH,39,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,8,,,,,record6:segment1:timing0-0,上に誰か捕まっているようだ,だがまずは敵兵の排除を優先しろ,"よし <R= FSLN ,サンディニスタ>の<R= 司令官 ,コマンダンテ>に合流しよう\nその小屋の中にいる",,但还是先解决敌兵。,,MATCH,45,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7BF2AD,9,,,,,record7:segment0:timing0-0,だがまずは敵兵の排除を優先しろ,"よし <R= FSLN ,サンディニスタ>の<R= 司令官 ,コマンダンテ>に合流しよう\nその小屋の中にいる",増援が来ているようだ,"<R= FSLN ,サンディニスタ> | <R= 司令官 ,コマンダンテ>","好，去和<R=FSLN,SANDINISTA>的<R=司令官,COMANDANTE>会合。\n他就在那间小屋里。","<R=FSLN,SANDINISTA> | <R=司令官,COMANDANTE>",MATCH,123,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
