file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MYOUTER_STAFF_COMMENT.OLANG,0,0,0,1,,page174:tag:entity332:key00374EF2:ref0:ord0,,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,,"“Boss，你是猫派还是狗派？顺便一提，我是猫派……
阿嚏！阿嚏！不过我对猫过敏。”",,MATCH,175,116,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,1,1,1,1,,page174:tag:entity331:key00374EF1:ref1:ord0,"「ボスって猫派ですか？　犬派ですか？　ちなみに俺は猫派です…　
　クシュッ！　クシュッ！　猫アレルギーなんですけどね」",「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,,“你知道Chorizo吗？那是墨西哥香肠。和鸡蛋一起煎很好吃！”,,MATCH,111,82,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,2,2,2,1,,page174:tag:entity330:key00374EF0:ref2:ord0,「チョリソって知ってるか？　メキシコのソーセージだ。卵と焼くとウマイぞ！」,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,,“哈、哈、哈、哈……力量训练最棒了！”,,MATCH,66,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,3,3,3,1,,page174:tag:entity329:key00374ED9:ref3:ord0,「ハァ、ハァ、ハァ、ハァ…筋トレは最高だ！」,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",,“刘海剪得太短了。”,,MATCH,40,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,4,4,4,1,,page174:tag:entity328:key00374ED8:ref4:ord0,「前髪、切りすぎちゃった」 ,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,,"“等这场仗打完，我就回老家当捕虾渔夫。
再叫上伙伴们，大家一起买条渔船！”",,MATCH,136,109,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,5,5,5,1,,page174:tag:entity327:key00374ED7:ref5:ord0,"「俺、この戦いが終わったら故郷でエビ漁師になるんだ。
　仲間もさそって皆で漁船を買うんだ！」",「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,,“我老家有个女儿。已经很久没见她了……”,,MATCH,67,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,6,6,6,1,,page174:tag:entity326:key00374ED6:ref6:ord0,「故郷に娘がいる。もう随分会ってないがな…」 ,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",,“Boss，你真的很喜欢纸箱啊……我也是。”,,MATCH,84,58,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_MYOUTER_STAFF_COMMENT.OLANG,7,7,7,1,,page174:tag:entity325:key00374ED5:ref7:ord0,「ボスはホントにダンボールが好きなんですね…、俺もです」,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,,"“想改变时代，就不要盲从过去的常识。
什么才是正确的，也要由自己来判断。
……是这样吧，Boss？”",,MATCH,188,138,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_SELF_JUDGMENT_SEMANTICS_PRESERVED
LANG_MYOUTER_STAFF_COMMENT.OLANG,8,8,8,1,,page174:tag:entity324:key00374ED4:ref8:ord0,"「時代を変えたければ、それまでの常識に盲従するな。
　何が正しいのかを見極めるのも自分自身になる。
　…そうなんですね、ボス？」",「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,,“让我们一起把这个Mother Base发展壮大吧！”,,MATCH,78,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=MOTHER_BASE_FIXED_TERM_PRESERVED
LANG_MYOUTER_STAFF_COMMENT.OLANG,9,9,9,1,,page174:tag:entity323:key00374ED3:ref9:ord0,「このマザーベース、一緒に大きくしていきましょう！」,「ボスに拾ってもらえるなんて…。俺がいらなくなったら、いつでも棄ててください」,「いま、ボスと同じ事を考えていました」,,“竟然能被Boss收留……如果不需要我了，随时把我丢掉吧。”,,MATCH,117,82,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUX_EXPANSION_REJECTED; JPN_DISCARD_SEMANTICS_PRESERVED
