file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D2E0FEE,0,0,0,1,,page34:tag8:entity191:key0065D9CA:ref0:ord0,,METAL GEAR,METAL GEAR ZEKE,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],METAL GEAR,"[""METAL GEAR""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,1,1,1,1,,page34:tag8:entity240:key00BB9308:ref1:ord0,METAL GEAR,METAL GEAR ZEKE,YELLOW,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],METAL GEAR ZEKE,"[""METAL GEAR ZEKE""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,2,2,2,1,,page34:tag8:entity150:key003EBBDC:ref2:ord0,METAL GEAR ZEKE,YELLOW,WHITE,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],YELLOW,"[""YELLOW""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,3,3,3,1,,page34:tag8:entity115:key000B6AD2:ref3:ord0,YELLOW,WHITE,WALK UNIT,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],WHITE,"[""WHITE""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,4,4,4,1,,page34:tag8:entity504:key00EC40D0:ref4:ord0,WHITE,WALK UNIT,VOCALOID SETTING,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],WALK UNIT,"[""WALK UNIT""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,5,5,5,1,,page34:tag8:entity156:key0041ED5F:ref5:ord0,WALK UNIT,VOCALOID SETTING,TURQUOISE BLUE,,,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,VOCALOID SETTINGS,"[""VOCALOID SETTINGS""]",VOCALOID SETTINGS,"[""VOCALOID SETTINGS""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,6,6,6,1,,page34:tag8:entity228:key009FDA05:ref6:ord0,VOCALOID SETTING,TURQUOISE BLUE,TIMING08,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],TURQUOISE BLUE,"[""TURQUOISE BLUE""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D2E0FEE,7,7,7,1,,page34:tag8:entity249:key00BE9034:ref7:ord0,TURQUOISE BLUE,TIMING08,TIMING07,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
5D2E0FEE,8,8,8,1,,page34:tag8:entity248:key00BE9033:ref8:ord0,TIMING08,TIMING07,TIMING06,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
5D2E0FEE,9,9,9,1,,page34:tag8:entity247:key00BE9032:ref9:ord0,TIMING07,TIMING06,TIMING05,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
5D2E0FEE,10,10,10,1,,page34:tag8:entity246:key00BE9031:ref10:ord0,TIMING06,TIMING05,TIMING04,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
5D2E0FEE,11,11,11,1,,page34:tag8:entity245:key00BE9030:ref11:ord0,TIMING05,TIMING04,TIMING03,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
5D2E0FEE,12,12,12,1,,page34:tag8:entity244:key00BE902F:ref12:ord0,TIMING04,TIMING03,TIMING02,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,,[],,[],AUX_EMPTY,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank contains an empty string at this coordinate
