file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_MISSION_BLOCK_3705D0,0,stream=0x370000;block=0x5D0;text=0,"[""stream=0x370000;block=0x5D0;text=0""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]",,"スネーク、チコが到着した。
","スネーク！
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake，Chico过来了。,"[""Snake，Chico过来了。""]","Snake, Chico made it over.
","[""Snake, Chico made it over.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#0; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,1,stream=0x370000;block=0x5D0;text=1,"[""stream=0x370000;block=0x5D0;text=1""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","スネーク、チコが到着した。
","スネーク！
","チコ、着いたか。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Snake！,"[""Snake！""]","Snake!
","[""Snake!\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#1; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,2,stream=0x370000;block=0x5D0;text=2,"[""stream=0x370000;block=0x5D0;text=2""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","スネーク！
","チコ、着いたか。
","「着いたか」じゃねえよ。
なんだいこれっ？
",[],,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Chico，你做到了。,"[""Chico，你做到了。""]","Chico, you made it.
","[""Chico, you made it.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#2; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,3,stream=0x370000;block=0x5D0;text=3,"[""stream=0x370000;block=0x5D0;text=3""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","チコ、着いたか。
","「着いたか」じゃねえよ。
なんだいこれっ？
","「新しい命を俺にくれ」って言いながら、
殺す気かよ！？
",[],,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,做到了？！少来这套！,"[""做到了？！少来这套！""]","Made it?! Don't give me that!
","[""Made it?! Don't give me that!\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#3; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,4,stream=0x370000;block=0x5D0;text=4,"[""stream=0x370000;block=0x5D0;text=4""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","「着いたか」じゃねえよ。
なんだいこれっ？
","「新しい命を俺にくれ」って言いながら、
殺す気かよ！？
","お気に召さなかったか？
",[],,,NOT_CHECKED,80,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你说要给我一个新的人生，
结果却差点害死我？！","[""你说要给我一个新的人生，\n结果却差点害死我？！""]","You say you're gonna give me a new life,
and then you nearly kill me?!
","[""You say you're gonna give me a new life,\nand then you nearly kill me?!\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#4; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,5,stream=0x370000;block=0x5D0;text=5,"[""stream=0x370000;block=0x5D0;text=5""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","「新しい命を俺にくれ」って言いながら、
殺す気かよ！？
","お気に召さなかったか？
","なんだよ、あの人さらい風船！
",[],,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,看来你不太享受这趟旅程？,"[""看来你不太享受这趟旅程？""]","I take it you didn't enjoy the trip?
","[""I take it you didn't enjoy the trip?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#5; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,6,stream=0x370000;block=0x5D0;text=6,"[""stream=0x370000;block=0x5D0;text=6""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","お気に召さなかったか？
","なんだよ、あの人さらい風船！
","これじゃコリブリと変わんねぇじゃねえか！
",[],,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,你搞什么名堂，用…气球把我拖走！,"[""你搞什么名堂，用…气球把我拖走！""]","What's the big idea, dragging me off in a...
balloon!
","[""What's the big idea, dragging me off in a...\nballoon!\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#6; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,7,stream=0x370000;block=0x5D0;text=7,"[""stream=0x370000;block=0x5D0;text=7""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","なんだよ、あの人さらい風船！
","これじゃコリブリと変わんねぇじゃねえか！
","いい眺めだったろう、チコ。
それとも高いところは駄目か。
",[],,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我还不如坐colibri来呢！,"[""我还不如坐colibri来呢！""]","I might as well have taken a colibri!
","[""I might as well have taken a colibri!\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#7; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,8,stream=0x370000;block=0x5D0;text=8,"[""stream=0x370000;block=0x5D0;text=8""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","これじゃコリブリと変わんねぇじゃねえか！
","いい眺めだったろう、チコ。
それとも高いところは駄目か。
","そうじゃなくて、事前に説明くらいして欲しかった。
",[],,,NOT_CHECKED,83,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,至少你欣赏了美景。还是说你恐高？,"[""至少你欣赏了美景。还是说你恐高？""]","At least you got a nice view. Or are you
afraid of heights?
","[""At least you got a nice view. Or are you\nafraid of heights?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#8; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,9,stream=0x370000;block=0x5D0;text=9,"[""stream=0x370000;block=0x5D0;text=9""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","いい眺めだったろう、チコ。
それとも高いところは駄目か。
","そうじゃなくて、事前に説明くらいして欲しかった。
","説明したら、自分から進んで飛んだか？
",[],,,NOT_CHECKED,73,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"算了。我只是希望你
事先跟我解释清楚。","[""算了。我只是希望你\n事先跟我解释清楚。""]","Whatever. I just wish you'd explained it to
me first.
","[""Whatever. I just wish you'd explained it to\nme first.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#9; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,10,stream=0x370000;block=0x5D0;text=10,"[""stream=0x370000;block=0x5D0;text=10""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","そうじゃなくて、事前に説明くらいして欲しかった。
","説明したら、自分から進んで飛んだか？
","……！
",[],,,NOT_CHECKED,55,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我要是解释了，你会同意来吗？,"[""我要是解释了，你会同意来吗？""]","Would you have agreed to go if I did?
","[""Would you have agreed to go if I did?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#10; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,11,stream=0x370000;block=0x5D0;text=11,"[""stream=0x370000;block=0x5D0;text=11""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","説明したら、自分から進んで飛んだか？
","……！
","スネーク。
あたし達を助けてくれて、ありがとう。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,谢谢你救了我们，Snake。,"[""谢谢你救了我们，Snake。""]","Thank you for saving us, Snake.
","[""Thank you for saving us, Snake.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#11; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,12,stream=0x370000;block=0x5D0;text=12,"[""stream=0x370000;block=0x5D0;text=12""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","……！
","スネーク。
あたし達を助けてくれて、ありがとう。
","ひとつ進言したいんだが、アマンダ。
",[],,,NOT_CHECKED,71,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_MISSION_BLOCK_3705D0,13,stream=0x370000;block=0x5D0;text=13,"[""stream=0x370000;block=0x5D0;text=13""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","スネーク。
あたし達を助けてくれて、ありがとう。
","ひとつ進言したいんだが、アマンダ。
","何？
",[],,,NOT_CHECKED,52,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,Amanda，给你一句忠告。,"[""Amanda，给你一句忠告。""]","Amanda, a word of advice.
","[""Amanda, a word of advice.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#12; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,14,stream=0x370000;block=0x5D0;text=14,"[""stream=0x370000;block=0x5D0;text=14""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","ひとつ進言したいんだが、アマンダ。
","何？
","チコをもう子供扱いするな。
",[],,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,什么？,"[""什么？""]","What?
","[""What?\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#13; block_semantic_score=1.000000.
BRIEFING_MISSION_BLOCK_3705D0,15,stream=0x370000;block=0x5D0;text=15,"[""stream=0x370000;block=0x5D0;text=15""]",1,d2040_m0080_mrd,"[""stream=0x370000;block=0x5D0;block_file=0x3705D0;text_base=0x3706B8;capacity=2980""]","何？
","チコをもう子供扱いするな。
","ええ、そうね…。
わかってるわ。わかってるつもり。
",[],,,NOT_CHECKED,40,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,别再把他当小孩子看了。,"[""别再把他当小孩子看了。""]","Stop treating him like a child.
","[""Stop treating him like a child.\n""]",AUX_REFERENCE_CONTEXT_ALIGNED,MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=MISSION_EXACT_BRIEFING_ID_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x3705D0; ENG blocks=0x388570; ENG source rows=0x388570#14; block_semantic_score=1.000000.
