file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D68BF67,0,0,0;0;0,3,,page28:tag4:entity35:key00C2D9B9:ref0:ord0;page64:tag2:entity35:key00C2D9B9:ref0:ord0;page70:tag1:entity35:key00C2D9B9:ref0:ord0,,MNTL:,EQUIP:,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,PSYCHE:,"[""PSYCHE:""]",PSYCHE:,"[""PSYCHE:""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,1,1,1;1;1,3,,page28:tag4:entity0:key0000F8CC:ref1:ord0;page64:tag2:entity0:key0000F8CC:ref1:ord0;page70:tag1:entity0:key0000F8CC:ref1:ord0,MNTL:,EQUIP:,WEAPON,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,WEIGHT:,"[""WEIGHT:""]",WEIGHT:,"[""WEIGHT:""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,2,2,2;2;2,3,,page28:tag4:entity26:key008AB675:ref2:ord0;page64:tag2:entity26:key008AB675:ref2:ord0;page70:tag1:entity26:key008AB675:ref2:ord0,EQUIP:,WEAPON,UNIFORM,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,WEAPONS,"[""WEAPONS""]",WEAPONS,"[""WEAPONS""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,3,3,3;3;3,3,,page28:tag4:entity27:key008D358F:ref3:ord0;page64:tag2:entity27:key008D358F:ref3:ord0;page70:tag1:entity27:key008D358F:ref3:ord0,WEAPON,UNIFORM,> UNIFORM SELECT,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],UNIFORM,"[""UNIFORM""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,4,4,4;4;4,3,,page28:tag4:entity1:key0002D73E:ref4:ord0;page64:tag2:entity1:key0002D73E:ref4:ord0;page70:tag1:entity1:key0002D73E:ref4:ord0,UNIFORM,> UNIFORM SELECT,SNEAKING SUIT,,,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],> UNIFORM SELECT,"[""> UNIFORM SELECT""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,5,5,5;5;5,3,,page28:tag4:entity4:key001DD11E:ref5:ord0;page64:tag2:entity4:key001DD11E:ref5:ord0;page70:tag1:entity4:key001DD11E:ref5:ord0,> UNIFORM SELECT,SNEAKING SUIT,NAKED,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],SNEAKING SUIT,"[""SNEAKING SUIT""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,6,6,6;6;6,3,,page28:tag4:entity43:key00E786B0:ref6:ord0;page64:tag2:entity43:key00E786B0:ref6:ord0;page70:tag1:entity43:key00E786B0:ref6:ord0,SNEAKING SUIT,NAKED,JUNGLE FATIGUES,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],NAKED,"[""NAKED""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,7,7,7;7;7,3,,page28:tag4:entity14:key006B6F90:ref7:ord0;page64:tag2:entity14:key006B6F90:ref7:ord0;page70:tag1:entity14:key006B6F90:ref7:ord0,NAKED,JUNGLE FATIGUES,BATTLE DRESS,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],JUNGLE FATIGUES,"[""JUNGLE FATIGUES""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,8,8,8;8;8,3,,page28:tag4:entity45:key00F59369:ref8:ord0;page64:tag2:entity45:key00F59369:ref8:ord0;page70:tag1:entity45:key00F59369:ref8:ord0,JUNGLE FATIGUES,BATTLE DRESS,LIFE:,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],BATTLE DRESS,"[""BATTLE DRESS""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D68BF67,9,9,9;9;9,3,,page28:tag4:entity12:key0062A7F8:ref9:ord0;page64:tag2:entity12:key0062A7F8:ref9:ord0;page70:tag1:entity12:key0062A7F8:ref9:ord0,BATTLE DRESS,LIFE:,CO-OPS COMM.,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3,,[],LIFE:,"[""LIFE:""]",AUX_UNCHANGED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,auxiliary bank retains the original JPN text; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
