file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_08DAB0,0,stream=0x8D000;block=0xAB0;text=0,"[""stream=0x8D000;block=0xAB0;text=0""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]",,"かつて彼女が確保したスリーパーは、二重スパイになって
いた。
","ソ連に寝返り、アメリカに嘘の情報を送っていた…。
",[],,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"她费尽心思安插的那个潜伏特工，
其实是双重间谍。","[""她费尽心思安插的那个潜伏特工，\n其实是双重间谍。""]","The sleeper that she'd worked so hard to place
was a double agent.
","[""The sleeper that she'd worked so hard to place\nwas a double agent.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#0; block_semantic_score=0.197784.
BRIEFING_FILES_BLOCK_08DAB0,1,stream=0x8D000;block=0xAB0;text=1,"[""stream=0x8D000;block=0xAB0;text=1""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","かつて彼女が確保したスリーパーは、二重スパイになって
いた。
","ソ連に寝返り、アメリカに嘘の情報を送っていた…。
","その理由を知って、ザ・ボスはさらに驚くことになった。
",[],,,NOT_CHECKED,73,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"他已被苏联人策反，
一直在向美国人提供假情报。","[""他已被苏联人策反，\n一直在向美国人提供假情报。""]","He'd been turned by the Soviets and was feeding
the Americans lies.
","[""He'd been turned by the Soviets and was feeding\nthe Americans lies.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#1; block_semantic_score=0.197784.
BRIEFING_FILES_BLOCK_08DAB0,2,stream=0x8D000;block=0xAB0;text=2,"[""stream=0x8D000;block=0xAB0;text=2""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","ソ連に寝返り、アメリカに嘘の情報を送っていた…。
","その理由を知って、ザ・ボスはさらに驚くことになった。
","CIAの現地エージェントが、スリーパーへの報酬を中抜き
していたの。
",[],,,NOT_CHECKED,79,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,但更令The Boss震惊的是原因。,"[""但更令The Boss震惊的是原因。""]","But what shocked The Boss even more was why.
","[""But what shocked The Boss even more was why.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#2; block_semantic_score=0.197784.
BRIEFING_FILES_BLOCK_08DAB0,3,stream=0x8D000;block=0xAB0;text=3,"[""stream=0x8D000;block=0xAB0;text=3""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","その理由を知って、ザ・ボスはさらに驚くことになった。
","CIAの現地エージェントが、スリーパーへの報酬を中抜き
していたの。
","報酬が危険に見合わないと感じたスリーパーは、ソ連に提
示された金額を前に簡単に転んだ。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"中情局(CIA)的接头人一直在从那名
潜伏特工的报酬中抽取一大块。","[""中情局(CIA)的接头人一直在从那名\n潜伏特工的报酬中抽取一大块。""]","The CIA's access agent had been taking a large
cut of the sleeper's pay.
","[""The CIA's access agent had been taking a large\ncut of the sleeper's pay.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#3; block_semantic_score=0.197784.
BRIEFING_FILES_BLOCK_08DAB0,4,stream=0x8D000;block=0xAB0;text=4,"[""stream=0x8D000;block=0xAB0;text=4""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","CIAの現地エージェントが、スリーパーへの報酬を中抜き
していたの。
","報酬が危険に見合わないと感じたスリーパーは、ソ連に提
示された金額を前に簡単に転んだ。
","アメリカの諜報活動は、ある時点から東側に筒抜けだった
のよ。
",[],,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"那个潜伏特工觉得，
自己剩下那点钱根本不值得冒这个险。当莫斯科给出更好的
条件时，他接受了。","[""那个潜伏特工觉得，\n自己剩下那点钱根本不值得冒这个险。当莫斯科给出更好的\n条件时，他接受了。""]","The sleeper felt what little he was left with wasn't
worth the risk.
When he got a better offer from Moscow, he took
it.
","[""The sleeper felt what little he was left with wasn't\nworth the risk.\nWhen he got a better offer from Moscow, he took\nit.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x8DAB0; ENG blocks=0x119010,0x119010; ENG source rows=0x119010#4,0x119010#5; block_semantic_score=0.197784."
BRIEFING_FILES_BLOCK_08DAB0,5,stream=0x8D000;block=0xAB0;text=5,"[""stream=0x8D000;block=0xAB0;text=5""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","報酬が危険に見合わないと感じたスリーパーは、ソ連に提
示された金額を前に簡単に転んだ。
","アメリカの諜報活動は、ある時点から東側に筒抜けだった
のよ。
","それにスリーパーからの報告と違って、ソ連の有人飛行技
術は大きく進んでいた。
",[],,,NOT_CHECKED,89,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"在某个时间点，美国人的情报行动对苏联人
来说已经毫无秘密可言。","[""在某个时间点，美国人的情报行动对苏联人\n来说已经毫无秘密可言。""]","At some point,
the Americans' intelligence operation had become
an open book to the Soviets.
","[""At some point,\nthe Americans' intelligence operation had become\nan open book to the Soviets.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x8DAB0; ENG blocks=0x119010,0x119010; ENG source rows=0x119010#6,0x119010#7; block_semantic_score=0.197784."
BRIEFING_FILES_BLOCK_08DAB0,6,stream=0x8D000;block=0xAB0;text=6,"[""stream=0x8D000;block=0xAB0;text=6""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","アメリカの諜報活動は、ある時点から東側に筒抜けだった
のよ。
","それにスリーパーからの報告と違って、ソ連の有人飛行技
術は大きく進んでいた。
","直接乗り込んだ<R=第一設計局,OKB-1>で、ザ・ボスはスプートニク5
号の真実を知った。
",[],,,NOT_CHECKED,113,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,苏联的载人航天技术其实相当先进。,"[""苏联的载人航天技术其实相当先进。""]","the Soviets' manned spaceflight technology was
quite advanced.
","[""the Soviets' manned spaceflight technology was\nquite advanced.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#9; block_semantic_score=0.197784.
BRIEFING_FILES_BLOCK_08DAB0,7,stream=0x8D000;block=0xAB0;text=7,"[""stream=0x8D000;block=0xAB0;text=7""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","それにスリーパーからの報告と違って、ソ連の有人飛行技
術は大きく進んでいた。
","直接乗り込んだ<R=第一設計局,OKB-1>で、ザ・ボスはスプートニク5
号の真実を知った。
","大気圏再突入後、高度7，000mで宇宙船からパイロット
を座席ごと射出する…。
","[""<R=第一設計局,OKB-1>""]",,,NOT_CHECKED,115,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"直到The Boss亲自潜入OKB-1，The Boss才得知斯
普特尼克5号的真相。","[""直到The Boss亲自潜入OKB-1，The Boss才得知斯\n普特尼克5号的真相。""]","It wasn't until she infiltrated OKB-1 herself
that The Boss learned the truth about Sputnik 5.
","[""It wasn't until she infiltrated OKB-1 herself\nthat The Boss learned the truth about Sputnik 5.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x8DAB0; ENG blocks=0x119010,0x119010; ENG source rows=0x119010#10,0x119010#11; block_semantic_score=0.197784."
BRIEFING_FILES_BLOCK_08DAB0,8,stream=0x8D000;block=0xAB0;text=8,"[""stream=0x8D000;block=0xAB0;text=8""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","直接乗り込んだ<R=第一設計局,OKB-1>で、ザ・ボスはスプートニク5
号の真実を知った。
","大気圏再突入後、高度7，000mで宇宙船からパイロット
を座席ごと射出する…。
","それが着陸のためにソ連の出した答えだった。
",[],,,NOT_CHECKED,106,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"航天器重返大气层后，
将飞行员弹射了出来——连同座椅一起——在7000米高空。","[""航天器重返大气层后，\n将飞行员弹射了出来——连同座椅一起——在7000米高空。""]","After the spacecraft reentered the atmosphere, it
ejected the pilot
- seat and all - at an altitude of 7,000 meters.
","[""After the spacecraft reentered the atmosphere, it\nejected the pilot\n- seat and all - at an altitude of 7,000 meters.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x8DAB0; ENG blocks=0x119010,0x119010; ENG source rows=0x119010#12,0x119010#13; block_semantic_score=0.197784."
BRIEFING_FILES_BLOCK_08DAB0,9,stream=0x8D000;block=0xAB0;text=9,"[""stream=0x8D000;block=0xAB0;text=9""]",1,BRIEFING FILES,"[""stream=0x8D000;block=0xAB0;block_file=0x8DAB0;text_base=0x8DB64;capacity=3704""]","大気圏再突入後、高度7，000mで宇宙船からパイロット
を座席ごと射出する…。
","それが着陸のためにソ連の出した答えだった。
","スプートニク5号についていた射出装置は、そのためのも
のだったの。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"这就是苏联人解决陆地
回收问题的办法。","[""这就是苏联人解决陆地\n回收问题的办法。""]","It was the Soviets' solution to the problem of land
recovery.
","[""It was the Soviets' solution to the problem of land\nrecovery.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x8DAB0; ENG blocks=0x119010; ENG source rows=0x119010#14; block_semantic_score=0.197784.
