file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D15C941,0,0,0;0;0;0;0,5,,page28:tag13:entity130:key00E08021:ref0:ord0;page34:tag11:entity130:key00E08021:ref0:ord0;page52:tag2:entity130:key00E08021:ref0:ord0;page64:tag9:entity130:key00E08021:ref0:ord0;page70:tag8:entity130:key00E08021:ref0:ord0,,TRADE EXECUTION,SOLDIER SELECTOR,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,1,1,1;1;1;1;1,5,,page28:tag13:entity84:key00B0A02E:ref1:ord0;page34:tag11:entity84:key00B0A02E:ref1:ord0;page52:tag2:entity84:key00B0A02E:ref1:ord0;page64:tag9:entity84:key00B0A02E:ref1:ord0;page70:tag8:entity84:key00B0A02E:ref1:ord0,TRADE EXECUTION,SOLDIER SELECTOR,ASSIGNMENT,,,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,2,2,2;2;2;2;2,5,,page28:tag13:entity54:key00702C9E:ref2:ord0;page34:tag11:entity54:key00702C9E:ref2:ord0;page52:tag2:entity54:key00702C9E:ref2:ord0;page64:tag9:entity54:key00702C9E:ref2:ord0;page70:tag8:entity54:key00702C9E:ref2:ord0,SOLDIER SELECTOR,ASSIGNMENT,STAFF,,,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,3,3,3;3;3;3;3,5,,page28:tag13:entity49:key0065D9CA:ref3:ord0;page34:tag11:entity49:key0065D9CA:ref3:ord0;page52:tag2:entity49:key0065D9CA:ref3:ord0;page64:tag9:entity49:key0065D9CA:ref3:ord0;page70:tag8:entity49:key0065D9CA:ref3:ord0,ASSIGNMENT,STAFF,VOL,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,4,4,4;10;4;10;4;10;4;10;4;10,10,,page28:tag13:entity36:key00490A49:ref4:ord0;page28:tag13:entity18:key0035051C:ref10:ord0;page34:tag11:entity36:key00490A49:ref4:ord0;page34:tag11:entity18:key0035051C:ref10:ord0;page52:tag2:entity36:key00490A49:ref4:ord0;page52:tag2:entity18:key0035051C:ref10:ord0;page64:tag9:entity36:key00490A49:ref4:ord0;page64:tag9:entity18:key0035051C:ref10:ord0;page70:tag8:entity36:key00490A49:ref4:ord0;page70:tag8:entity18:key0035051C:ref10:ord0,STAFF,VOL,UNQ,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=10
5D15C941,5,5,5;5;5;5;5,5,,page28:tag13:entity115:key00C91F5E:ref5:ord0;page34:tag11:entity115:key00C91F5E:ref5:ord0;page52:tag2:entity115:key00C91F5E:ref5:ord0;page64:tag9:entity115:key00C91F5E:ref5:ord0;page70:tag8:entity115:key00C91F5E:ref5:ord0,VOL,UNQ,TRD,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,6,6,6;6;6;6;6,5,,page28:tag13:entity108:key00C02748:ref6:ord0;page34:tag11:entity108:key00C02748:ref6:ord0;page52:tag2:entity108:key00C02748:ref6:ord0;page64:tag9:entity108:key00C02748:ref6:ord0;page70:tag8:entity108:key00C02748:ref6:ord0,UNQ,TRD,POW,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,7,7,7;7;7;7;7,5,,page28:tag13:entity75:key009A8116:ref7:ord0;page34:tag11:entity75:key009A8116:ref7:ord0;page52:tag2:entity75:key009A8116:ref7:ord0;page64:tag9:entity75:key009A8116:ref7:ord0;page70:tag8:entity75:key009A8116:ref7:ord0,TRD,POW,NML,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,8,8,8;8;8;8;8,5,,page28:tag13:entity127:key00DD8CD7:ref8:ord0;page34:tag11:entity127:key00DD8CD7:ref8:ord0;page52:tag2:entity127:key00DD8CD7:ref8:ord0;page64:tag9:entity127:key00DD8CD7:ref8:ord0;page70:tag8:entity127:key00DD8CD7:ref8:ord0,POW,NML,COL,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,9,9,9;9;9;9;9,5,,page28:tag13:entity39:key0051174A:ref9:ord0;page34:tag11:entity39:key0051174A:ref9:ord0;page52:tag2:entity39:key0051174A:ref9:ord0;page64:tag9:entity39:key0051174A:ref9:ord0;page70:tag8:entity39:key0051174A:ref9:ord0,NML,COL,VOL,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,10,11,11;11;11;11;11,5,,page28:tag13:entity70:key008E44B7:ref11:ord0;page34:tag11:entity70:key008E44B7:ref11:ord0;page52:tag2:entity70:key008E44B7:ref11:ord0;page64:tag9:entity70:key008E44B7:ref11:ord0;page70:tag8:entity70:key008E44B7:ref11:ord0,VOL,MNTL,SENSE,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,11,12,12;12;12;12;12,5,,page28:tag13:entity136:key00E686E3:ref12:ord0;page34:tag11:entity136:key00E686E3:ref12:ord0;page52:tag2:entity136:key00E686E3:ref12:ord0;page64:tag9:entity136:key00E686E3:ref12:ord0;page70:tag8:entity136:key00E686E3:ref12:ord0,MNTL,SENSE,<SKILL>,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,12,13,13;13;13;13;13,5,,page28:tag13:entity10:key0019F166:ref13:ord0;page34:tag11:entity10:key0019F166:ref13:ord0;page52:tag2:entity10:key0019F166:ref13:ord0;page64:tag9:entity10:key0019F166:ref13:ord0;page70:tag8:entity10:key0019F166:ref13:ord0,SENSE,<SKILL>,<BAD STATE>,<SKILL>,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,13,14,14;14;14;14;14,5,,page28:tag13:entity121:key00D0C6C7:ref14:ord0;page34:tag11:entity121:key00D0C6C7:ref14:ord0;page52:tag2:entity121:key00D0C6C7:ref14:ord0;page64:tag9:entity121:key00D0C6C7:ref14:ord0;page70:tag8:entity121:key00D0C6C7:ref14:ord0,<SKILL>,<BAD STATE>,<PARAMETER>,<BAD STATE>,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,14,15,15;15;15;15;15,5,,page28:tag13:entity132:key00E51406:ref15:ord0;page34:tag11:entity132:key00E51406:ref15:ord0;page52:tag2:entity132:key00E51406:ref15:ord0;page64:tag9:entity132:key00E51406:ref15:ord0;page70:tag8:entity132:key00E51406:ref15:ord0,<BAD STATE>,<PARAMETER>,NAME,<PARAMETER>,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,15,16,16;16;16;16;16,5,,page28:tag13:entity120:key00CE2801:ref16:ord0;page34:tag11:entity120:key00CE2801:ref16:ord0;page52:tag2:entity120:key00CE2801:ref16:ord0;page64:tag9:entity120:key00CE2801:ref16:ord0;page70:tag8:entity120:key00CE2801:ref16:ord0,<PARAMETER>,NAME,LIFE,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,16,17,17;17;17;17;17,5,,page28:tag13:entity118:key00CD4721:ref17:ord0;page34:tag11:entity118:key00CD4721:ref17:ord0;page52:tag2:entity118:key00CD4721:ref17:ord0;page64:tag9:entity118:key00CD4721:ref17:ord0;page70:tag8:entity118:key00CD4721:ref17:ord0,NAME,LIFE,GMP+,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5D15C941,17,18,18;18;18;18;18,5,,page28:tag13:entity134:key00E656C0:ref18:ord0;page34:tag11:entity134:key00E656C0:ref18:ord0;page52:tag2:entity134:key00E656C0:ref18:ord0;page64:tag9:entity134:key00E656C0:ref18:ord0;page70:tag8:entity134:key00E656C0:ref18:ord0,LIFE,GMP+,BEST,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
