file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_0025F0,0,stream=0x2000;block=0x5F0;text=0,"[""stream=0x2000;block=0x5F0;text=0""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]",,"スネーク、あんたの言うとおりだ。俺たちが“国境なき軍
隊”である限り、狙われる。抑止する力が必要なんだ。
","国々を渡り歩けば、様々な紛争に足を踏み入れることにな
るだろう。
",[],,,NOT_CHECKED,155,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你知道吗，Snake，你说得对。
只要我们是""无国界的士兵""，我们就会成为众矢之的。
我们需要属于自己的威慑力量。","[""你知道吗，Snake，你说得对。\n只要我们是\""无国界的士兵\""，我们就会成为众矢之的。\n我们需要属于自己的威慑力量。""]","You know, Snake, you're right. As long as we're
""soldiers without borders,""
we're going to be a target. We need our own
deterrent.
","[""You know, Snake, you're right. As long as we're\n\""soldiers without borders,\""\nwe're going to be a target. We need our own\ndeterrent.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x25F0; ENG blocks=0x96B70,0x96B70; ENG source rows=0x96B70#0,0x96B70#1; block_semantic_score=0.210098."
BRIEFING_FILES_BLOCK_0025F0,1,stream=0x2000;block=0x5F0;text=1,"[""stream=0x2000;block=0x5F0;text=1""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","スネーク、あんたの言うとおりだ。俺たちが“国境なき軍
隊”である限り、狙われる。抑止する力が必要なんだ。
","国々を渡り歩けば、様々な紛争に足を踏み入れることにな
るだろう。
","そこではイデオロギーも、地理も、政治状況も、何もかも
が異なる。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我们将会在游历世界的过程中，
卷入形形色色的冲突。","[""我们将会在游历世界的过程中，\n卷入形形色色的冲突。""]","We're going to be stepping into a lot of different
conflicts as we roam the world.
","[""We're going to be stepping into a lot of different\nconflicts as we roam the world.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#2; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,2,stream=0x2000;block=0x5F0;text=2,"[""stream=0x2000;block=0x5F0;text=2""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","国々を渡り歩けば、様々な紛争に足を踏み入れることにな
るだろう。
","そこではイデオロギーも、地理も、政治状況も、何もかも
が異なる。
","そんな状況での軍事支援活動には、メタルギアのような牽
制力が必要だ。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"每一个地方都独一无二，
各自有着不同的地理环境、
意识形态与政治局势。","[""每一个地方都独一无二，\n各自有着不同的地理环境、\n意识形态与政治局势。""]","Each one unique, and with its own set of
geography, ideologies, and politics.
","[""Each one unique, and with its own set of\ngeography, ideologies, and politics.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#3; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,3,stream=0x2000;block=0x5F0;text=3,"[""stream=0x2000;block=0x5F0;text=3""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","そこではイデオロギーも、地理も、政治状況も、何もかも
が異なる。
","そんな状況での軍事支援活動には、メタルギアのような牽
制力が必要だ。
","…ボリビアで最期を遂げたゲバラのようにならないために
も。
",[],,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,如果我们要介入那样的局面，我们就需要Metal Gear带来的威慑力。,"[""如果我们要介入那样的局面，我们就需要Metal Gear带来的威慑力。""]","If we're going to intervene in those kinds of
situations,
we need the threat of a Metal Gear.
","[""If we're going to intervene in those kinds of\nsituations,\nwe need the threat of a Metal Gear.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x25F0; ENG blocks=0x96B70,0x96B70; ENG source rows=0x96B70#4,0x96B70#5; block_semantic_score=0.210098."
BRIEFING_FILES_BLOCK_0025F0,4,stream=0x2000;block=0x5F0;text=4,"[""stream=0x2000;block=0x5F0;text=4""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","そんな状況での軍事支援活動には、メタルギアのような牽
制力が必要だ。
","…ボリビアで最期を遂げたゲバラのようにならないために
も。
","そうだ。俺たち<R=国境なき軍隊,MSF>は、自分たちの土地を持たな
い。<R=流浪の民,ノーマッド>だ。遊牧民のようなものだ。
",[],,,NOT_CHECKED,86,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"说得好。我们这支无国界的军队，
没有可以称之为家的土地。","[""说得好。我们这支无国界的军队，\n没有可以称之为家的土地。""]","Well said. Our army without borders doesn't have a
land to call home.
","[""Well said. Our army without borders doesn't have a\nland to call home.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#7; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,5,stream=0x2000;block=0x5F0;text=5,"[""stream=0x2000;block=0x5F0;text=5""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","…ボリビアで最期を遂げたゲバラのようにならないために
も。
","そうだ。俺たち<R=国境なき軍隊,MSF>は、自分たちの土地を持たな
い。<R=流浪の民,ノーマッド>だ。遊牧民のようなものだ。
","俺たちと一緒に歩ける、牧羊犬が必要なんだ。
","[""<R=国境なき軍隊,MSF>"", ""<R=流浪の民,ノーマッド>""]",,,NOT_CHECKED,165,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,我们是游牧民。是流浪者。,"[""我们是游牧民。是流浪者。""]","We're nomads. Wanderers.
","[""We're nomads. Wanderers.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#8; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,6,stream=0x2000;block=0x5F0;text=6,"[""stream=0x2000;block=0x5F0;text=6""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","そうだ。俺たち<R=国境なき軍隊,MSF>は、自分たちの土地を持たな
い。<R=流浪の民,ノーマッド>だ。遊牧民のようなものだ。
","俺たちと一緒に歩ける、牧羊犬が必要なんだ。
","ああ。
",[],,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"我们现在需要的，
是一只能守护羊群的牧羊犬。","[""我们现在需要的，\n是一只能守护羊群的牧羊犬。""]","What we need now is a sheepdog to guard our
flock.
","[""What we need now is a sheepdog to guard our\nflock.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#9; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,7,stream=0x2000;block=0x5F0;text=7,"[""stream=0x2000;block=0x5F0;text=7""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","俺たちと一緒に歩ける、牧羊犬が必要なんだ。
","ああ。
","ザ・ボスのやり方とは違うかも知れない。
",[],,,NOT_CHECKED,10,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错。,"[""没错。""]","Right.
","[""Right.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#10; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,8,stream=0x2000;block=0x5F0;text=8,"[""stream=0x2000;block=0x5F0;text=8""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","ああ。
","ザ・ボスのやり方とは違うかも知れない。
","だが、世界には俺たちを必要としている場所がある。MS
Fを必要としている兵士達がいる。
",[],,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,也许The Boss不会用这种方式去处理…,"[""也许The Boss不会用这种方式去处理…""]","Maybe it's not the way The Boss would have gone
about it...
","[""Maybe it's not the way The Boss would have gone\nabout it...\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#11; block_semantic_score=0.210098.
BRIEFING_FILES_BLOCK_0025F0,9,stream=0x2000;block=0x5F0;text=9,"[""stream=0x2000;block=0x5F0;text=9""]",1,BRIEFING FILES,"[""stream=0x2000;block=0x5F0;block_file=0x25F0;text_base=0x2640;capacity=1116""]","ザ・ボスのやり方とは違うかも知れない。
","だが、世界には俺たちを必要としている場所がある。MS
Fを必要としている兵士達がいる。
","そうである限り、俺たちは歩みを止めない。行脚をやめる
わけにはいかない。
",[],,,NOT_CHECKED,122,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"但这世上总有需要我们的地方——
还有需要MSF的士兵。","[""但这世上总有需要我们的地方——\n还有需要MSF的士兵。""]","But there are places in this world that need us -
and soldiers that need MSF.
","[""But there are places in this world that need us -\nand soldiers that need MSF.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x25F0; ENG blocks=0x96B70; ENG source rows=0x96B70#12; block_semantic_score=0.210098.
