file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_05AD70,0,stream=0x5A000;block=0xD70;text=0,"[""stream=0x5A000;block=0xD70;text=0""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]",,"確認しよう。コスタリカへはバードウォッチングに来てい
たんだな？
","そうよ。と言っても私は一応研究者だから、遊びってわけ
じゃないわ。中南米の鳥類分布を調べているの。
",[],确认一下。你来哥斯达黎加是为了观鸟，对吧？,,MATCH,95,63,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,1,stream=0x5A000;block=0xD70;text=1,"[""stream=0x5A000;block=0xD70;text=1""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","確認しよう。コスタリカへはバードウォッチングに来てい
たんだな？
","そうよ。と言っても私は一応研究者だから、遊びってわけ
じゃないわ。中南米の鳥類分布を調べているの。
","軽量のカセットデンスケができたから、女性でも一人で録
音機材を持ち運べるようになった。でも、一人で来たのは
失敗だったわ。
",[],对。不过我好歹也是研究者，可不是来玩的。我在调查中南美洲的鸟类分布。,,MATCH,146,102,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,2,stream=0x5A000;block=0xD70;text=2,"[""stream=0x5A000;block=0xD70;text=2""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","そうよ。と言っても私は一応研究者だから、遊びってわけ
じゃないわ。中南米の鳥類分布を調べているの。
","軽量のカセットデンスケができたから、女性でも一人で録
音機材を持ち運べるようになった。でも、一人で来たのは
失敗だったわ。
","なるほど。それにしてもコスタリカには野鳥が多いようだ
な。
",[],有了轻便的卡带录音机之后，就算女人也能一个人搬着录音设备。不过，一个人来这里还是失策了。,,MATCH,180,132,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,3,stream=0x5A000;block=0xD70;text=3,"[""stream=0x5A000;block=0xD70;text=3""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","軽量のカセットデンスケができたから、女性でも一人で録
音機材を持ち運べるようになった。でも、一人で来たのは
失敗だったわ。
","なるほど。それにしてもコスタリカには野鳥が多いようだ
な。
","ええ。コスタリカの鳥類は800種類以上とも、現存する鳥
類の10％以上とも言われてる。あなたは何種類ぐらい知っ
ているの、鳥類学者さん？
",[],原来如此。不过哥斯达黎加的野鸟还真多。,,MATCH,86,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,4,stream=0x5A000;block=0xD70;text=4,"[""stream=0x5A000;block=0xD70;text=4""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","なるほど。それにしてもコスタリカには野鳥が多いようだ
な。
","ええ。コスタリカの鳥類は800種類以上とも、現存する鳥
類の10％以上とも言われてる。あなたは何種類ぐらい知っ
ているの、鳥類学者さん？
","あれは、君を驚かさないために…。
",[],是啊。据说哥斯达黎加有800多种鸟，占现存鸟类的10%以上。你认识多少种，鸟类学家先生？,,MATCH,191,120,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,5,stream=0x5A000;block=0xD70;text=5,"[""stream=0x5A000;block=0xD70;text=5""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","ええ。コスタリカの鳥類は800種類以上とも、現存する鳥
類の10％以上とも言われてる。あなたは何種類ぐらい知っ
ているの、鳥類学者さん？
","あれは、君を驚かさないために…。
","コスタリカの基礎知識くらい知らないと。
",[],那是为了不吓到你……。,,MATCH,49,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,6,stream=0x5A000;block=0xD70;text=6,"[""stream=0x5A000;block=0xD70;text=6""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","あれは、君を驚かさないために…。
","コスタリカの基礎知識くらい知らないと。
","ああ…。
",[],至少也该知道哥斯达黎加的基本常识吧。,,MATCH,58,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,7,stream=0x5A000;block=0xD70;text=7,"[""stream=0x5A000;block=0xD70;text=7""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","コスタリカの基礎知識くらい知らないと。
","ああ…。
","じゃあ私が一から教えてあげる。初めての鳥類学者さん。
",[],啊……。,,MATCH,13,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,8,stream=0x5A000;block=0xD70;text=8,"[""stream=0x5A000;block=0xD70;text=8""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","ああ…。
","じゃあ私が一から教えてあげる。初めての鳥類学者さん。
","あ、ああ。それなら、ケツァールについて教えてくれ。
",[],那我就从头教你吧，新手鸟类学家先生。,,MATCH,79,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_05AD70,9,stream=0x5A000;block=0xD70;text=9,"[""stream=0x5A000;block=0xD70;text=9""]",1,BRIEFING FILES,"[""stream=0x5A000;block=0xD70;block_file=0x5AD70;text_base=0x5ADB8;capacity=984""]","じゃあ私が一から教えてあげる。初めての鳥類学者さん。
","あ、ああ。それなら、ケツァールについて教えてくれ。
",,[],啊、嗯。那先告诉我凤尾绿咬鹃吧。,,MATCH,76,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
