file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
0072F326,0,4,4,1,,page:tag:entity5:key00FBB2F1:ref4:ord4,,上書きする,"利用可能なストレージ機器が接続されていません。
ストレージ機器を選択しますか？",,覆盖,,MATCH,15,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
0072F326,1,10,10,1,,page:tag:entity4:key00BA9D90:ref10:ord4,上書きする,"利用可能なストレージ機器が接続されていません。
ストレージ機器を選択しますか？",保存しています。本体の電源を切らないでください。,,"未连接可用的存储设备。
是否选择存储设备？",,MATCH,115,61,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_CN_FIELD_CONTAINS_ENGLISH;JPN_TRANSLATED_DIRECTLY
0072F326,2,16,16;112,2,,page:tag:entity0:key004DFE7B:ref16:ord4;page:tag:entity30:key00836B27:ref112:ord4,"利用可能なストレージ機器が接続されていません。
ストレージ機器を選択しますか？",保存しています。本体の電源を切らないでください。,セーブに失敗しました。再試行しますか？,,正在保存。请勿关闭主机电源。,,MATCH,72,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2
0072F326,3,22,22,1,,page:tag:entity1:key0062A9E3:ref22:ord4,保存しています。本体の電源を切らないでください。,セーブに失敗しました。再試行しますか？,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのシステムデータが存在します。上書きしてよろしいですか？,,保存失败。是否重试？,,MATCH,57,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_ADDS_GAME_DATA_SCOPE_NOT_IN_JPN;JPN_TRANSLATED_DIRECTLY
0072F326,4,28,28,1,,page:tag:entity2:key0079AB74:ref28:ord4,セーブに失敗しました。再試行しますか？,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのシステムデータが存在します。上書きしてよろしいですか？,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのセーブデータが存在します。上書きしてよろしいですか？,,所选存储设备中已存在METAL GEAR SOLID PEACE WALKER HD EDITION的系统数据。是否覆盖？,,MATCH,166,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_CN_FIELD_CONTAINS_ENGLISH;JPN_TRANSLATED_DIRECTLY
0072F326,5,34,34,1,,page:tag:entity3:key008D4014:ref34:ord4,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのシステムデータが存在します。上書きしてよろしいですか？,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのセーブデータが存在します。上書きしてよろしいですか？,MANUAL,,所选存储设备中已存在METAL GEAR SOLID PEACE WALKER HD EDITION的存档数据。是否覆盖？,,MATCH,163,103,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_CN_FIELD_CONTAINS_ENGLISH;JPN_TRANSLATED_DIRECTLY
0072F326,6,40,40,1,,page:tag:entity12:key00236883:ref40:ord4,選択されたストレージ機器にはMETAL GEAR SOLID PEACE WALKER HD EDITIONのセーブデータが存在します。上書きしてよろしいですか？,MANUAL,MGS PEACE WALKER HD,,MANUAL,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_EMPTY_UI_LABEL_TRANSLATED_FROM_JPN; JPN_ASCII_UI_PRESERVED; NO_RELIABLE_MLG_CN_REFERENCE; USER_READABLE_ENGLISH_FALLBACK_2026-09-09
0072F326,7,46,46,1,,page:tag:entity25:key0071044E:ref46:ord4,MANUAL,MGS PEACE WALKER HD,METAL GEAR SOLID PEACE WALKER HD EDITION,,MGS PEACE WALKER HD,,MATCH,19,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_UNCHANGED_TITLE_PRESERVED
0072F326,8,52,52;262,2,,page:tag:entity39:key00DC6EF3:ref52:ord4;page:tag:entity43:key000DBAB6:ref262:ord4,MGS PEACE WALKER HD,METAL GEAR SOLID PEACE WALKER HD EDITION,システムデータをセッティングしています。,,METAL GEAR SOLID PEACE WALKER HD EDITION,,MATCH,40,40,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2; review_flag=AUX_UNCHANGED_TITLE_PRESERVED
0072F326,9,58,58,1,,page:tag:entity17:key00422618:ref58:ord4,METAL GEAR SOLID PEACE WALKER HD EDITION,システムデータをセッティングしています。,YES,,正在配置系统数据。,,MATCH,60,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_SAYS_GAME_DATA_BUT_JPN_SAYS_SYSTEM_DATA;JPN_TRANSLATED_DIRECTLY
