file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D09325F,0,0,0;0;0;0,4,,page28:tag9:entity0:key0029E0FC:ref0:ord0;page34:tag2:entity0:key0029E0FC:ref0:ord0;page40:tag5:entity0:key0029E0FC:ref0:ord0;page70:tag4:entity0:key0029E0FC:ref0:ord0,,"
MISSION COMPLETE","
TO BE CONTINUED IN THE NEXT MISSION...    ",,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,"
任务完成","[""\n任务完成""]","
MISSION COMPLETE","[""\nMISSION COMPLETE""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,1,1,1;1;1;1,4,,page28:tag9:entity1:key0029E0FC:ref1:ord0;page34:tag2:entity1:key0029E0FC:ref1:ord0;page40:tag5:entity1:key0029E0FC:ref1:ord0;page70:tag4:entity1:key0029E0FC:ref1:ord0,"
MISSION COMPLETE","
TO BE CONTINUED IN THE NEXT MISSION...    ",OPENING/INVESTIGATE THE SUPPLY FACILITY,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,"
将在下一个任务中继续…","[""\n将在下一个任务中继续…""]","
TO BE CONTINUED IN THE NEXT MISSION...    ","[""\nTO BE CONTINUED IN THE NEXT MISSION...    ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,2,2,2;2;2;2,4,,page28:tag9:entity2:key0029E0FC:ref2:ord0;page34:tag2:entity2:key0029E0FC:ref2:ord0;page40:tag5:entity2:key0029E0FC:ref2:ord0;page70:tag4:entity2:key0029E0FC:ref2:ord0,"
TO BE CONTINUED IN THE NEXT MISSION...    ",OPENING/INVESTIGATE THE SUPPLY FACILITY,CONTACT THE SANDINISTA COMANDANTE,,,,NOT_CHECKED,39,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,"
任务完成","[""\n任务完成""]","
MISSION COMPLETE    ","[""\nMISSION COMPLETE    ""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,3,3,3;3;3;3,4,,page28:tag9:entity3:key0029E0FC:ref3:ord0;page34:tag2:entity3:key0029E0FC:ref3:ord0;page40:tag5:entity3:key0029E0FC:ref3:ord0;page70:tag4:entity3:key0029E0FC:ref3:ord0,OPENING/INVESTIGATE THE SUPPLY FACILITY,CONTACT THE SANDINISTA COMANDANTE,PURSUE AMANDA,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,开场/调查补给设施,"[""开场/调查补给设施""]",OPENING/INVESTIGATE THE SUPPLY FACILITY,"[""OPENING/INVESTIGATE THE SUPPLY FACILITY""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,4,4,4;4;4;4,4,,page28:tag9:entity4:key0029E0FC:ref4:ord0;page34:tag2:entity4:key0029E0FC:ref4:ord0;page40:tag5:entity4:key0029E0FC:ref4:ord0;page70:tag4:entity4:key0029E0FC:ref4:ord0,CONTACT THE SANDINISTA COMANDANTE,PURSUE AMANDA,ARMORED VEHICLE BATTLE: LAV-TYPE G,,,,NOT_CHECKED,13,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,联络桑地诺指挥官,"[""联络桑地诺指挥官""]",CONTACT THE SANDINISTA COMANDANTE,"[""CONTACT THE SANDINISTA COMANDANTE""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,5,5,5;160;5;160;5;160;5;160,8,,page28:tag9:entity5:key0029E0FC:ref5:ord0;page28:tag9:entity160:key0029E0FC:ref160:ord0;page34:tag2:entity5:key0029E0FC:ref5:ord0;page34:tag2:entity160:key0029E0FC:ref160:ord0;page40:tag5:entity5:key0029E0FC:ref5:ord0;page40:tag5:entity160:key0029E0FC:ref160:ord0;page70:tag4:entity5:key0029E0FC:ref5:ord0;page70:tag4:entity160:key0029E0FC:ref160:ord0,PURSUE AMANDA,ARMORED VEHICLE BATTLE: LAV-TYPE G,RESCUE CHICO,,,,NOT_CHECKED,34,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=8,追击Amanda,"[""追击Amanda"",""[支线任务: 102]""]",PURSUE AMANDA,"[""PURSUE AMANDA"",""[EXTRA OPS: 102]""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context; multiple candidates aggregated from all real JPN references; split/merge/order mismatch remains possible
5D09325F,6,6,6;6;6;6,4,,page28:tag9:entity6:key0029E0FC:ref6:ord0;page34:tag2:entity6:key0029E0FC:ref6:ord0;page40:tag5:entity6:key0029E0FC:ref6:ord0;page70:tag4:entity6:key0029E0FC:ref6:ord0,ARMORED VEHICLE BATTLE: LAV-TYPE G,RESCUE CHICO,PURSUE THE JUNGLE TRAIN,,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,装甲车战：LAV-Type G,"[""装甲车战：LAV-Type G""]",ARMORED VEHICLE BATTLE: LAV-TYPE G,"[""ARMORED VEHICLE BATTLE: LAV-TYPE G""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,7,7,7;7;7;7,4,,page28:tag9:entity7:key0029E0FC:ref7:ord0;page34:tag2:entity7:key0029E0FC:ref7:ord0;page40:tag5:entity7:key0029E0FC:ref7:ord0;page70:tag4:entity7:key0029E0FC:ref7:ord0,RESCUE CHICO,PURSUE THE JUNGLE TRAIN,TANK BATTLE: T-72U,,,,NOT_CHECKED,23,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,营救Chico,"[""营救Chico""]",RESCUE CHICO,"[""RESCUE CHICO""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D09325F,8,8,8;133;8;133;8;133;8;133,8,,page28:tag9:entity8:key0029E0FC:ref8:ord0;page28:tag9:entity133:key0029E0FC:ref133:ord0;page34:tag2:entity8:key0029E0FC:ref8:ord0;page34:tag2:entity133:key0029E0FC:ref133:ord0;page40:tag5:entity8:key0029E0FC:ref8:ord0;page40:tag5:entity133:key0029E0FC:ref133:ord0;page70:tag4:entity8:key0029E0FC:ref8:ord0;page70:tag4:entity133:key0029E0FC:ref133:ord0,PURSUE THE JUNGLE TRAIN,TANK BATTLE: T-72U,DESTROY BARRICADE,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=8,追击丛林列车,"[""追击丛林列车"",""[支线任务: 075]""]",PURSUE THE JUNGLE TRAIN,"[""PURSUE THE JUNGLE TRAIN"",""[EXTRA OPS: 075]""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context; multiple candidates aggregated from all real JPN references; split/merge/order mismatch remains possible
5D09325F,9,9,9;9;9;9,4,,page28:tag9:entity9:key0029E0FC:ref9:ord0;page34:tag2:entity9:key0029E0FC:ref9:ord0;page40:tag5:entity9:key0029E0FC:ref9:ord0;page70:tag4:entity9:key0029E0FC:ref9:ord0,TANK BATTLE: T-72U,DESTROY BARRICADE,INFILTRATE THE CRATER BASE,,,,NOT_CHECKED,17,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4,坦克战：T-72U,"[""坦克战：T-72U""]",TANK BATTLE: T-72U,"[""TANK BATTLE: T-72U""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
