file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_CHARAEDIT.OLANG,0,0,0,1,,page174:tag:entity35:key00C2D9B9:ref0:ord0,,MNTL:,EQUIP:,,MNTL:,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUX_SEMANTIC_CORROBORATION; JPN_LABEL_PRIMARY; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_CHARAEDIT.OLANG,1,1,1,1,,page174:tag:entity0:key0000F8CC:ref1:ord0,MNTL:,EQUIP:,WEAPON,,EQUIP:,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_LABEL_PRIMARY; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_CHARAEDIT.OLANG,2,2,2,1,,page174:tag:entity26:key008AB675:ref2:ord0,EQUIP:,WEAPON,UNIFORM,,WEAPON,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_LABEL_PRIMARY; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_CHARAEDIT.OLANG,3,3,3,1,,page174:tag:entity27:key008D358F:ref3:ord0,WEAPON,UNIFORM,> UNIFORM SELECT,,UNIFORM,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_LABEL_PRIMARY; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_CHARAEDIT.OLANG,4,4,4,1,,page174:tag:entity1:key0002D73E:ref4:ord0,UNIFORM,> UNIFORM SELECT,SNEAKING SUIT,,> UNIFORM SELECT,,MATCH,16,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_LABEL_PRIMARY; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_CHARAEDIT.OLANG,5,5,5,1,,page174:tag:entity4:key001DD11E:ref5:ord0,> UNIFORM SELECT,SNEAKING SUIT,NAKED,,SNEAKING SUIT,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=FIXED_OUTFIT_NAME_PRESERVED
LANG_CHARAEDIT.OLANG,6,6,6,1,,page174:tag:entity43:key00E786B0:ref6:ord0,SNEAKING SUIT,NAKED,JUNGLE FATIGUES,,NAKED,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=FIXED_OUTFIT_NAME_PRESERVED
LANG_CHARAEDIT.OLANG,7,7,7,1,,page174:tag:entity14:key006B6F90:ref7:ord0,NAKED,JUNGLE FATIGUES,BATTLE DRESS,,JUNGLE FATIGUES,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=FIXED_OUTFIT_NAME_PRESERVED
LANG_CHARAEDIT.OLANG,8,8,8,1,,page174:tag:entity45:key00F59369:ref8:ord0,JUNGLE FATIGUES,BATTLE DRESS,LIFE:,,BATTLE DRESS,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=FIXED_OUTFIT_NAME_PRESERVED
LANG_CHARAEDIT.OLANG,9,9,9,1,,page174:tag:entity12:key0062A7F8:ref9:ord0,BATTLE DRESS,LIFE:,CO-OPS COMM.,,LIFE:,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=FIXED_STAT_LABEL_PRESERVED
