file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_070EF0,0,stream=0x70000;block=0xEF0;text=0,"[""stream=0x70000;block=0xEF0;text=0""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]",,"さて、スネークボーイ。君も知っての通り、NORADには
サンタクロース追跡という重大な任務が課されている。
","はぁ…。
",[],好了，Snake小子。你也知道，NORAD肩负着一项重大任务：追踪圣诞老人。,,MATCH,148,94,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,1,stream=0x70000;block=0xEF0;text=1,"[""stream=0x70000;block=0xEF0;text=1""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","さて、スネークボーイ。君も知っての通り、NORADには
サンタクロース追跡という重大な任務が課されている。
","はぁ…。
","だが彼らにはその他に、本来の、創設以来の任務がある。
",[],唉……。,,MATCH,13,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,2,stream=0x70000;block=0xEF0;text=2,"[""stream=0x70000;block=0xEF0;text=2""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","はぁ…。
","だが彼らにはその他に、本来の、創設以来の任務がある。
","その為の機構が…今回コールドマンに利用された。
",[],不过除此之外，他们还有从成立之初就肩负的本职任务。,,MATCH,79,75,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,3,stream=0x70000;block=0xEF0;text=3,"[""stream=0x70000;block=0xEF0;text=3""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","だが彼らにはその他に、本来の、創設以来の任務がある。
","その為の機構が…今回コールドマンに利用された。
","…ピースウォーカーからの偽装データ送信のことか？
",[],而为执行这项任务建立的机制……这次被Coldman利用了。,,MATCH,70,73,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,4,stream=0x70000;block=0xEF0;text=4,"[""stream=0x70000;block=0xEF0;text=4""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","その為の機構が…今回コールドマンに利用された。
","…ピースウォーカーからの偽装データ送信のことか？
","NORADの早期警戒システムはDSP衛星に搭載された赤
外線センサーと、北米大陸の各地に設置された監視レーダ
ー群から構成されている。
",[],……你是说Peace Walker发送伪造数据的事？,,MATCH,73,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,5,stream=0x70000;block=0xEF0;text=5,"[""stream=0x70000;block=0xEF0;text=5""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","…ピースウォーカーからの偽装データ送信のことか？
","NORADの早期警戒システムはDSP衛星に搭載された赤
外線センサーと、北米大陸の各地に設置された監視レーダ
ー群から構成されている。
","警戒網から発されるワーニングは<R= NORAD ,シャイアン・マウンテン>へ送られ、人
間による情報評価が行われる。
",[],NORAD的早期预警系统，由DSP卫星搭载的红外传感器，以及设置在北美大陆各地的监视雷达组成。,,MATCH,182,125,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,6,stream=0x70000;block=0xEF0;text=6,"[""stream=0x70000;block=0xEF0;text=6""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","NORADの早期警戒システムはDSP衛星に搭載された赤
外線センサーと、北米大陸の各地に設置された監視レーダ
ー群から構成されている。
","警戒網から発されるワーニングは<R= NORAD ,シャイアン・マウンテン>へ送られ、人
間による情報評価が行われる。
","一方ピースウォーカーは自律的に報復行動を決断しなけれ
ばならない。
","[""<R= NORAD ,シャイアン・マウンテン>""]","预警网发出的警报会被送往<R= NORAD ,CHEYENNE MOUNTAIN>，再由人类进行情报评估。","<R= NORAD ,CHEYENNE MOUNTAIN>",MATCH,152,101,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED; SOURCE_RUBY_SPACING_PRESERVED
BRIEFING_FILES_BLOCK_070EF0,7,stream=0x70000;block=0xEF0;text=7,"[""stream=0x70000;block=0xEF0;text=7""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","警戒網から発されるワーニングは<R= NORAD ,シャイアン・マウンテン>へ送られ、人
間による情報評価が行われる。
","一方ピースウォーカーは自律的に報復行動を決断しなけれ
ばならない。
","そこでNORADと同じ情報が秘匿回線を通じて自動的に供
給される仕組みになっている。
",[],而Peace Walker必须自主决定是否采取报复行动。,,MATCH,98,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,8,stream=0x70000;block=0xEF0;text=8,"[""stream=0x70000;block=0xEF0;text=8""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","一方ピースウォーカーは自律的に報復行動を決断しなけれ
ばならない。
","そこでNORADと同じ情報が秘匿回線を通じて自動的に供
給される仕組みになっている。
","その回線は、実験機のAIが下す報復判断を<R=遠隔測定,テレメタリング>する目
的にも使われていた。
",[],因此，它会通过保密线路自动接收与NORAD相同的情报。,,MATCH,115,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_070EF0,9,stream=0x70000;block=0xEF0;text=9,"[""stream=0x70000;block=0xEF0;text=9""]",1,BRIEFING FILES,"[""stream=0x70000;block=0xEF0;block_file=0x70EF0;text_base=0x70F44;capacity=1484""]","そこでNORADと同じ情報が秘匿回線を通じて自動的に供
給される仕組みになっている。
","その回線は、実験機のAIが下す報復判断を<R=遠隔測定,テレメタリング>する目
的にも使われていた。
","ピースウォーカーはこの仕組みを逆用して、演習スケジュ
ールには無いタイミングで核ミサイル来襲の偽警報をNO
RADに送り込んだんだ。
","[""<R=遠隔測定,テレメタリング>""]","这条线路也用于<R=遥测,TELEMETRY>实验机AI所作出的报复判断。","<R=遥测,TELEMETRY>",MATCH,135,79,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
