file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_PW_COMMON.OLANG,0,0,0;28;0;28;0;28;0;28;0;28;0;28;0;28;0;28;0;28;0;28,20,,page1:tag:entity37:key00C5F487:ref0:ord0;page1:tag:entity26:key0089F5E4:ref28:ord0;page11:tag:entity37:key00C5F487:ref0:ord0;page11:tag:entity26:key0089F5E4:ref28:ord0;page15:tag:entity37:key00C5F487:ref0:ord0;page15:tag:entity26:key0089F5E4:ref28:ord0;page23:tag:entity37:key00C5F487:ref0:ord0;page23:tag:entity26:key0089F5E4:ref28:ord0;page27:tag:entity37:key00C5F487:ref0:ord0;page27:tag:entity26:key0089F5E4:ref28:ord0;page31:tag:entity37:key00C5F487:ref0:ord0;page31:tag:entity26:key0089F5E4:ref28:ord0;page82:tag:entity37:key00C5F487:ref0:ord0;page82:tag:entity26:key0089F5E4:ref28:ord0;page88:tag:entity37:key00C5F487:ref0:ord0;page88:tag:entity26:key0089F5E4:ref28:ord0;page174:tag:entity37:key00C5F487:ref0:ord0;page174:tag:entity26:key0089F5E4:ref28:ord0;page180:tag:entity37:key00C5F487:ref0:ord0;page180:tag:entity26:key0089F5E4:ref28:ord0,,SINGLE,NEW,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,1,1,1;29;1;29;1;29;1;29;1;29;1;29;1;29;1;29;1;29;1;29,20,,page1:tag:entity30:key00953111:ref1:ord0;page1:tag:entity35:key0097EA99:ref29:ord0;page11:tag:entity30:key00953111:ref1:ord0;page11:tag:entity35:key0097EA99:ref29:ord0;page15:tag:entity30:key00953111:ref1:ord0;page15:tag:entity35:key0097EA99:ref29:ord0;page23:tag:entity30:key00953111:ref1:ord0;page23:tag:entity35:key0097EA99:ref29:ord0;page27:tag:entity30:key00953111:ref1:ord0;page27:tag:entity35:key0097EA99:ref29:ord0;page31:tag:entity30:key00953111:ref1:ord0;page31:tag:entity35:key0097EA99:ref29:ord0;page82:tag:entity30:key00953111:ref1:ord0;page82:tag:entity35:key0097EA99:ref29:ord0;page88:tag:entity30:key00953111:ref1:ord0;page88:tag:entity35:key0097EA99:ref29:ord0;page174:tag:entity30:key00953111:ref1:ord0;page174:tag:entity35:key0097EA99:ref29:ord0;page180:tag:entity30:key00953111:ref1:ord0;page180:tag:entity35:key0097EA99:ref29:ord0,SINGLE,NEW,-,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,2,2,2;30;2;30;2;30;2;30;2;30;2;30;2;30;2;30;2;30;2;30,20,,page1:tag:entity38:key00C6F79B:ref2:ord0;page1:tag:entity27:key008AF8F8:ref30:ord0;page11:tag:entity38:key00C6F79B:ref2:ord0;page11:tag:entity27:key008AF8F8:ref30:ord0;page15:tag:entity38:key00C6F79B:ref2:ord0;page15:tag:entity27:key008AF8F8:ref30:ord0;page23:tag:entity38:key00C6F79B:ref2:ord0;page23:tag:entity27:key008AF8F8:ref30:ord0;page27:tag:entity38:key00C6F79B:ref2:ord0;page27:tag:entity27:key008AF8F8:ref30:ord0;page31:tag:entity38:key00C6F79B:ref2:ord0;page31:tag:entity27:key008AF8F8:ref30:ord0;page82:tag:entity38:key00C6F79B:ref2:ord0;page82:tag:entity27:key008AF8F8:ref30:ord0;page88:tag:entity38:key00C6F79B:ref2:ord0;page88:tag:entity27:key008AF8F8:ref30:ord0;page174:tag:entity38:key00C6F79B:ref2:ord0;page174:tag:entity27:key008AF8F8:ref30:ord0;page180:tag:entity38:key00C6F79B:ref2:ord0;page180:tag:entity27:key008AF8F8:ref30:ord0,NEW,-,CO-OPS,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,3,3,3;31;3;31;3;31;3;31;3;31;3;31;3;31;3;31;3;31;3;31,20,,page1:tag:entity36:key00A0C9A2:ref3:ord0;page1:tag:entity46:key00F7FAA2:ref31:ord0;page11:tag:entity36:key00A0C9A2:ref3:ord0;page11:tag:entity46:key00F7FAA2:ref31:ord0;page15:tag:entity36:key00A0C9A2:ref3:ord0;page15:tag:entity46:key00F7FAA2:ref31:ord0;page23:tag:entity36:key00A0C9A2:ref3:ord0;page23:tag:entity46:key00F7FAA2:ref31:ord0;page27:tag:entity36:key00A0C9A2:ref3:ord0;page27:tag:entity46:key00F7FAA2:ref31:ord0;page31:tag:entity36:key00A0C9A2:ref3:ord0;page31:tag:entity46:key00F7FAA2:ref31:ord0;page82:tag:entity36:key00A0C9A2:ref3:ord0;page82:tag:entity46:key00F7FAA2:ref31:ord0;page88:tag:entity36:key00A0C9A2:ref3:ord0;page88:tag:entity46:key00F7FAA2:ref31:ord0;page174:tag:entity36:key00A0C9A2:ref3:ord0;page174:tag:entity46:key00F7FAA2:ref31:ord0;page180:tag:entity36:key00A0C9A2:ref3:ord0;page180:tag:entity46:key00F7FAA2:ref31:ord0,-,CO-OPS,CH,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,4,4,4;4;4;4;4;4;4;4;4;4,10,,page1:tag:entity44:key00F21561:ref4:ord0;page11:tag:entity44:key00F21561:ref4:ord0;page15:tag:entity44:key00F21561:ref4:ord0;page23:tag:entity44:key00F21561:ref4:ord0;page27:tag:entity44:key00F21561:ref4:ord0;page31:tag:entity44:key00F21561:ref4:ord0;page82:tag:entity44:key00F21561:ref4:ord0;page88:tag:entity44:key00F21561:ref4:ord0;page174:tag:entity44:key00F21561:ref4:ord0;page180:tag:entity44:key00F21561:ref4:ord0,CO-OPS,CH, ,,,,NOT_CHECKED,2,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=10
LANG_PW_COMMON.OLANG,5,5,5;32;5;32;5;32;5;32;5;32;5;32;5;32;5;32;5;32;5;32,20,,page1:tag:entity1:key00077C7F:ref5:ord0;page1:tag:entity43:key00ED9C89:ref32:ord0;page11:tag:entity1:key00077C7F:ref5:ord0;page11:tag:entity43:key00ED9C89:ref32:ord0;page15:tag:entity1:key00077C7F:ref5:ord0;page15:tag:entity43:key00ED9C89:ref32:ord0;page23:tag:entity1:key00077C7F:ref5:ord0;page23:tag:entity43:key00ED9C89:ref32:ord0;page27:tag:entity1:key00077C7F:ref5:ord0;page27:tag:entity43:key00ED9C89:ref32:ord0;page31:tag:entity1:key00077C7F:ref5:ord0;page31:tag:entity43:key00ED9C89:ref32:ord0;page82:tag:entity1:key00077C7F:ref5:ord0;page82:tag:entity43:key00ED9C89:ref32:ord0;page88:tag:entity1:key00077C7F:ref5:ord0;page88:tag:entity43:key00ED9C89:ref32:ord0;page174:tag:entity1:key00077C7F:ref5:ord0;page174:tag:entity43:key00ED9C89:ref32:ord0;page180:tag:entity1:key00077C7F:ref5:ord0;page180:tag:entity43:key00ED9C89:ref32:ord0,CH, ,TOP,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,6,6,6;34;6;34;6;34;6;34;6;34;6;34;6;34;6;34;6;34;6;34,20,,page1:tag:entity29:key0094C62A:ref6:ord0;page1:tag:entity33:key00977FB2:ref34:ord0;page11:tag:entity29:key0094C62A:ref6:ord0;page11:tag:entity33:key00977FB2:ref34:ord0;page15:tag:entity29:key0094C62A:ref6:ord0;page15:tag:entity33:key00977FB2:ref34:ord0;page23:tag:entity29:key0094C62A:ref6:ord0;page23:tag:entity33:key00977FB2:ref34:ord0;page27:tag:entity29:key0094C62A:ref6:ord0;page27:tag:entity33:key00977FB2:ref34:ord0;page31:tag:entity29:key0094C62A:ref6:ord0;page31:tag:entity33:key00977FB2:ref34:ord0;page82:tag:entity29:key0094C62A:ref6:ord0;page82:tag:entity33:key00977FB2:ref34:ord0;page88:tag:entity29:key0094C62A:ref6:ord0;page88:tag:entity33:key00977FB2:ref34:ord0;page174:tag:entity29:key0094C62A:ref6:ord0;page174:tag:entity33:key00977FB2:ref34:ord0;page180:tag:entity29:key0094C62A:ref6:ord0;page180:tag:entity33:key00977FB2:ref34:ord0, ,TOP,OPEN,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,7,7,7;35;7;35;7;35;7;35;7;35;7;35;7;35;7;35;7;35;7;35,20,,page1:tag:entity32:key00964840:ref7:ord0;page1:tag:entity42:key00ED7940:ref35:ord0;page11:tag:entity32:key00964840:ref7:ord0;page11:tag:entity42:key00ED7940:ref35:ord0;page15:tag:entity32:key00964840:ref7:ord0;page15:tag:entity42:key00ED7940:ref35:ord0;page23:tag:entity32:key00964840:ref7:ord0;page23:tag:entity42:key00ED7940:ref35:ord0;page27:tag:entity32:key00964840:ref7:ord0;page27:tag:entity42:key00ED7940:ref35:ord0;page31:tag:entity32:key00964840:ref7:ord0;page31:tag:entity42:key00ED7940:ref35:ord0;page82:tag:entity32:key00964840:ref7:ord0;page82:tag:entity42:key00ED7940:ref35:ord0;page88:tag:entity32:key00964840:ref7:ord0;page88:tag:entity42:key00ED7940:ref35:ord0;page174:tag:entity32:key00964840:ref7:ord0;page174:tag:entity42:key00ED7940:ref35:ord0;page180:tag:entity32:key00964840:ref7:ord0;page180:tag:entity42:key00ED7940:ref35:ord0,TOP,OPEN,NEXT,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,8,8,8;38;8;38;8;38;8;38;8;38;8;38;8;38;8;38;8;38;8;38,20,,page1:tag:entity31:key00959EA6:ref8:ord0;page1:tag:entity40:key00ECCFA6:ref38:ord0;page11:tag:entity31:key00959EA6:ref8:ord0;page11:tag:entity40:key00ECCFA6:ref38:ord0;page15:tag:entity31:key00959EA6:ref8:ord0;page15:tag:entity40:key00ECCFA6:ref38:ord0;page23:tag:entity31:key00959EA6:ref8:ord0;page23:tag:entity40:key00ECCFA6:ref38:ord0;page27:tag:entity31:key00959EA6:ref8:ord0;page27:tag:entity40:key00ECCFA6:ref38:ord0;page31:tag:entity31:key00959EA6:ref8:ord0;page31:tag:entity40:key00ECCFA6:ref38:ord0;page82:tag:entity31:key00959EA6:ref8:ord0;page82:tag:entity40:key00ECCFA6:ref38:ord0;page88:tag:entity31:key00959EA6:ref8:ord0;page88:tag:entity40:key00ECCFA6:ref38:ord0;page174:tag:entity31:key00959EA6:ref8:ord0;page174:tag:entity40:key00ECCFA6:ref38:ord0;page180:tag:entity31:key00959EA6:ref8:ord0;page180:tag:entity40:key00ECCFA6:ref38:ord0,OPEN,NEXT,CLOSE,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,9,9,9;44;9;44;9;44;9;44;9;44;9;44;9;44;9;44;9;44;9;44,20,,page1:tag:entity0:key000730F7:ref9:ord0;page1:tag:entity41:key00ED5101:ref44:ord0;page11:tag:entity0:key000730F7:ref9:ord0;page11:tag:entity41:key00ED5101:ref44:ord0;page15:tag:entity0:key000730F7:ref9:ord0;page15:tag:entity41:key00ED5101:ref44:ord0;page23:tag:entity0:key000730F7:ref9:ord0;page23:tag:entity41:key00ED5101:ref44:ord0;page27:tag:entity0:key000730F7:ref9:ord0;page27:tag:entity41:key00ED5101:ref44:ord0;page31:tag:entity0:key000730F7:ref9:ord0;page31:tag:entity41:key00ED5101:ref44:ord0;page82:tag:entity0:key000730F7:ref9:ord0;page82:tag:entity41:key00ED5101:ref44:ord0;page88:tag:entity0:key000730F7:ref9:ord0;page88:tag:entity41:key00ED5101:ref44:ord0;page174:tag:entity0:key000730F7:ref9:ord0;page174:tag:entity41:key00ED5101:ref44:ord0;page180:tag:entity0:key000730F7:ref9:ord0;page180:tag:entity41:key00ED5101:ref44:ord0,NEXT,CLOSE,BACK,,,,NOT_CHECKED,5,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
LANG_PW_COMMON.OLANG,10,10,10;46;10;46;10;46;10;46;10;46;10;46;10;46;10;46;10;46;10;46,20,,page1:tag:entity28:key008F8BFD:ref10:ord0;page1:tag:entity39:key00E6BCFD:ref46:ord0;page11:tag:entity28:key008F8BFD:ref10:ord0;page11:tag:entity39:key00E6BCFD:ref46:ord0;page15:tag:entity28:key008F8BFD:ref10:ord0;page15:tag:entity39:key00E6BCFD:ref46:ord0;page23:tag:entity28:key008F8BFD:ref10:ord0;page23:tag:entity39:key00E6BCFD:ref46:ord0;page27:tag:entity28:key008F8BFD:ref10:ord0;page27:tag:entity39:key00E6BCFD:ref46:ord0;page31:tag:entity28:key008F8BFD:ref10:ord0;page31:tag:entity39:key00E6BCFD:ref46:ord0;page82:tag:entity28:key008F8BFD:ref10:ord0;page82:tag:entity39:key00E6BCFD:ref46:ord0;page88:tag:entity28:key008F8BFD:ref10:ord0;page88:tag:entity39:key00E6BCFD:ref46:ord0;page174:tag:entity28:key008F8BFD:ref10:ord0;page174:tag:entity39:key00E6BCFD:ref46:ord0;page180:tag:entity28:key008F8BFD:ref10:ord0;page180:tag:entity39:key00E6BCFD:ref46:ord0,CLOSE,BACK,TEST,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=20
