file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DD982F6,0,0,0;0;0;0,4,,page28:tag15:entity77:key00CAFF60:ref0:ord0;page34:tag13:entity77:key00CAFF60:ref0:ord0;page52:tag4:entity77:key00CAFF60:ref0:ord0;page64:tag11:entity77:key00CAFF60:ref0:ord0,,四つ星コック,大和魂,,四星厨师,,MATCH,18,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,1,1,1;1;1;1,4,,page28:tag15:entity43:key007A85C0:ref1:ord0;page34:tag13:entity43:key007A85C0:ref1:ord0;page52:tag4:entity43:key007A85C0:ref1:ord0;page64:tag11:entity43:key007A85C0:ref1:ord0,四つ星コック,大和魂,薬剤師,,大和魂,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY;CULTURAL_TERM_PRESERVED
5DD982F6,2,2,2;2;2;2,4,,page28:tag15:entity59:key009D01B9:ref2:ord0;page34:tag13:entity59:key009D01B9:ref2:ord0;page52:tag4:entity59:key009D01B9:ref2:ord0;page64:tag11:entity59:key009D01B9:ref2:ord0,大和魂,薬剤師,チャネラー,,药剂师,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,3,3,3;3;3;3,4,,page28:tag15:entity6:key00205445:ref3:ord0;page34:tag13:entity6:key00205445:ref3:ord0;page52:tag4:entity6:key00205445:ref3:ord0;page64:tag11:entity6:key00205445:ref3:ord0,薬剤師,チャネラー,対戦車ライフル設計,,通灵者,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,4,4,4;4;4;4,4,,page28:tag15:entity84:key00F01D9B:ref4:ord0;page34:tag13:entity84:key00F01D9B:ref4:ord0;page52:tag4:entity84:key00F01D9B:ref4:ord0;page64:tag11:entity84:key00F01D9B:ref4:ord0,チャネラー,対戦車ライフル設計,専門薬剤師,,反坦克步枪设计,,MATCH,27,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,5,7,7;7;7;7,4,,page28:tag15:entity60:key009E984E:ref7:ord0;page34:tag13:entity60:key009E984E:ref7:ord0;page52:tag4:entity60:key009E984E:ref7:ord0;page64:tag11:entity60:key009E984E:ref7:ord0,対戦車ライフル設計,専門薬剤師,声優,,专业药剂师,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,6,8,8;8;8;8,4,,page28:tag15:entity26:key00572982:ref8:ord0;page34:tag13:entity26:key00572982:ref8:ord0;page52:tag4:entity26:key00572982:ref8:ord0;page64:tag11:entity26:key00572982:ref8:ord0,専門薬剤師,声優,プロレスマニア,,配音演员,,MATCH,6,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,7,10,10;10;10;10,4,,page28:tag15:entity10:key00332E1C:ref10:ord0;page34:tag13:entity10:key00332E1C:ref10:ord0;page52:tag4:entity10:key00332E1C:ref10:ord0;page64:tag11:entity10:key00332E1C:ref10:ord0,声優,プロレスマニア,囮,,职业摔角迷,,MATCH,21,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,8,11,11;11;11;11,4,,page28:tag15:entity51:key00895999:ref11:ord0;page34:tag13:entity51:key00895999:ref11:ord0;page52:tag4:entity51:key00895999:ref11:ord0;page64:tag11:entity51:key00895999:ref11:ord0,プロレスマニア,囮,熱血漢,,诱饵,,MATCH,3,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
5DD982F6,9,13,13;13;13;13,4,,page28:tag15:entity16:key00427B3D:ref13:ord0;page34:tag13:entity16:key00427B3D:ref13:ord0;page52:tag4:entity16:key00427B3D:ref13:ord0;page64:tag11:entity16:key00427B3D:ref13:ord0,囮,熱血漢,内科医,,热血汉,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4; review_flag=JPN_PRIMARY
