file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_WEAPON_SHORT_NAME.OLANG,0,0,0;1,2,,page174:tag:entity98:key00000063:ref0:ord0;page174:tag:entity97:key00000062:ref1:ord0,,M653(SGL),M653(STG),,M653(SGL),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_WEAPON_SHORT_NAME.OLANG,1,2,2;3,2,,page174:tag:entity96:key00000061:ref2:ord0;page174:tag:entity95:key00000060:ref3:ord0,M653(SGL),M653(STG),M653(GL),,M653(STG),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_WEAPON_SHORT_NAME.OLANG,2,4,4;5,2,,page174:tag:entity94:key0000005F:ref4:ord0;page174:tag:entity93:key0000005E:ref5:ord0,M653(STG),M653(GL),M653,,M653(GL),,MATCH,8,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_WEAPON_SHORT_NAME.OLANG,3,6,6;7;334;335;336;337,6,,page174:tag:entity92:key0000005D:ref6:ord0;page174:tag:entity91:key0000005C:ref7:ord0;page174:tag:entity120:key00000086:ref334:ord0;page174:tag:entity119:key00000085:ref335:ord0;page174:tag:entity118:key00000084:ref336:ord0;page174:tag:entity117:key00000083:ref337:ord0,M653(GL),M653,PATRIOT,,M653,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6
LANG_WEAPON_SHORT_NAME.OLANG,4,8,8,1,,page174:tag:entity90:key0000005B:ref8:ord0,M653,PATRIOT,M16A1(SGL),,PATRIOT,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_WEAPON_SHORT_NAME.OLANG,5,9,9;11;12;13,4,,page174:tag:entity89:key0000005A:ref9:ord0;page174:tag:entity88:key00000059:ref11:ord0;page174:tag:entity87:key00000058:ref12:ord0;page174:tag:entity86:key00000057:ref13:ord0,PATRIOT,M16A1(SGL),EZ GUN(LR),,M16A1(SGL),,MATCH,10,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_WEAPON_SHORT_NAME.OLANG,6,10,10;21;32;359,4,,page174:tag:entity8:key00000009:ref10:ord0;page174:tag:entity7:key00000008:ref21:ord0;page174:tag:entity6:key00000007:ref32:ord0;page174:tag:entity9:key0000000A:ref359:ord0,M16A1(SGL),EZ GUN(LR),M16A1(SGL),,EZ GUN(LR),,MATCH,10,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_WEAPON_SHORT_NAME.OLANG,7,14,14;15;16;17,4,,page174:tag:entity85:key00000056:ref14:ord0;page174:tag:entity84:key00000055:ref15:ord0;page174:tag:entity83:key00000054:ref16:ord0;page174:tag:entity82:key00000053:ref17:ord0,M16A1(SGL),M16A1(GL),M16A1(STG),,M16A1(GL),,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_WEAPON_SHORT_NAME.OLANG,8,18,18;19;20;22,4,,page174:tag:entity81:key00000052:ref18:ord0;page174:tag:entity80:key00000051:ref19:ord0;page174:tag:entity79:key00000050:ref20:ord0;page174:tag:entity78:key0000004F:ref22:ord0,M16A1(GL),M16A1(STG),EZ GUN(LR),,M16A1(STG),,MATCH,10,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4
LANG_WEAPON_SHORT_NAME.OLANG,9,23,23;24;25;338;340,5,,page174:tag:entity77:key0000004E:ref23:ord0;page174:tag:entity76:key0000004D:ref24:ord0;page174:tag:entity75:key0000004C:ref25:ord0;page174:tag:entity116:key00000082:ref338:ord0;page174:tag:entity115:key00000081:ref340:ord0,M16A1(STG),M16A1,VZ61,,M16A1,,MATCH,5,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=5
