file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_063B40,0,stream=0x63000;block=0xB40;text=0,"[""stream=0x63000;block=0xB40;text=0""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]",,"きみはなんというか、ずいぶんと奔放な…というか、解放
的なというか、タガの外れたというか…。
","あら。
",[],你啊，怎么说呢，相当奔放……或者说很开放、很不受拘束……。,,MATCH,137,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,1,stream=0x63000;block=0xB40;text=1,"[""stream=0x63000;block=0xB40;text=1""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","きみはなんというか、ずいぶんと奔放な…というか、解放
的なというか、タガの外れたというか…。
","あら。
","まあ、自由な女性のようだな。
",[],哎呀。,,MATCH,10,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,2,stream=0x63000;block=0xB40;text=2,"[""stream=0x63000;block=0xB40;text=2""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","あら。
","まあ、自由な女性のようだな。
","フリーダム！
",[],总之，看起来是个很自由的女人。,,MATCH,43,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,3,stream=0x63000;block=0xB40;text=3,"[""stream=0x63000;block=0xB40;text=3""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","まあ、自由な女性のようだな。
","フリーダム！
","そうかしら？　パリの女性はみんなこんな感じよ。
",[],Freedom！,,MATCH,19,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,4,stream=0x63000;block=0xB40;text=4,"[""stream=0x63000;block=0xB40;text=4""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","フリーダム！
","そうかしら？　パリの女性はみんなこんな感じよ。
","みんな？
",[],是吗？巴黎的女人都这样啊。,,MATCH,70,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,5,stream=0x63000;block=0xB40;text=5,"[""stream=0x63000;block=0xB40;text=5""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","そうかしら？　パリの女性はみんなこんな感じよ。
","みんな？
","そうよ、どう？
",[],都这样？,,MATCH,13,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,6,stream=0x63000;block=0xB40;text=6,"[""stream=0x63000;block=0xB40;text=6""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","みんな？
","そうよ、どう？
","どうって…。
",[],对啊，怎么了？,,MATCH,22,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,7,stream=0x63000;block=0xB40;text=7,"[""stream=0x63000;block=0xB40;text=7""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","そうよ、どう？
","どうって…。
","五月革命以来ね。
",[],怎么说呢……。,,MATCH,19,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,8,stream=0x63000;block=0xB40;text=8,"[""stream=0x63000;block=0xB40;text=8""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","どうって…。
","五月革命以来ね。
","五月革命…。大統領を辞職に追いやったゼネストだったか？
",[],从五月革命以后就是这样。,,MATCH,25,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_063B40,9,stream=0x63000;block=0xB40;text=9,"[""stream=0x63000;block=0xB40;text=9""]",1,BRIEFING FILES,"[""stream=0x63000;block=0xB40;block_file=0x63B40;text_base=0x63BC4;capacity=2052""]","五月革命以来ね。
","五月革命…。大統領を辞職に追いやったゼネストだったか？
","ええ。1968年のね。だけどあれは、ただのストライキじ
ゃなかったの。
",[],五月革命……是那场把总统逼到辞职的总罢工吗？,,MATCH,82,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
