file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5D3AFE2D,0,0,0,1,,page2037:tag2:entity7:key00000007:ref0:ord0,,"<R=『任務』,ミッション>だけよ ジャック",ただひとつ 絶対に信じられるのは…,"<R=『任務』,ミッション>",,,NOT_CHECKED,54,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,…就是任务，Jack。,"[""…就是任务，Jack。""]","...is the mission, Jack.","[""...is the mission, Jack.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,1,1,1,1,,page2037:tag2:entity6:key00000006:ref1:ord0,"<R=『任務』,ミッション>だけよ ジャック",ただひとつ 絶対に信じられるのは…,組織への誓いか？　人への情か？,,,,NOT_CHECKED,49,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"我们唯一能绝对相信的
事物…","[""我们唯一能绝对相信的\n事物…""]","The only thing we can believe in 
with absolute certainty...","[""The only thing we can believe in \nwith absolute certainty...""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,2,2,2,1,,page2037:tag2:entity5:key00000005:ref2:ord0,ただひとつ 絶対に信じられるのは…,組織への誓いか？　人への情か？,国か 恩師か？　任務か 思想か？,,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你对部队的责任，还是你的个人感情？,"[""你对部队的责任，还是你的个人感情？""]","Your duty to your unit, or your personal feelings?","[""Your duty to your unit, or your personal feelings?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,3,3,3,1,,page2037:tag2:entity4:key00000004:ref3:ord0,組織への誓いか？　人への情か？,国か 恩師か？　任務か 思想か？,国に忠を尽くすか？　それとも私に忠を尽くすか？,,,,NOT_CHECKED,44,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"你的国家，还是你的老恩师？
你的任务，还是你的信念？","[""你的国家，还是你的老恩师？\n你的任务，还是你的信念？""]","Your country, or your old mentor?
Your mission, or your beliefs?","[""Your country, or your old mentor?\nYour mission, or your beliefs?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,4,4,4,1,,page2037:tag2:entity3:key00000003:ref4:ord0,国か 恩師か？　任務か 思想か？,国に忠を尽くすか？　それとも私に忠を尽くすか？,お前はどうだ？,,,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,"你选哪个？
是效忠你的国家，还是效忠我？","[""你选哪个？\n是效忠你的国家，还是效忠我？""]","What's it going to be? 
Loyalty to your country or loyalty to me?","[""What's it going to be? \nLoyalty to your country or loyalty to me?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,5,5,5,1,,page2037:tag2:entity2:key00000002:ref5:ord0,国に忠を尽くすか？　それとも私に忠を尽くすか？,お前はどうだ？,自分に忠を尽くした ,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,你呢，Jack？,"[""你呢，Jack？""]","What about you, Jack?","[""What about you, Jack?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,6,6,6,1,,page2037:tag2:entity1:key00000001:ref6:ord0,お前はどうだ？,自分に忠を尽くした ,亡命ではない,,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,我忠诚…直到最后，忠于我的目标。,"[""我忠诚…直到最后，忠于我的目标。""]","I'm loyal... to the end, to my purpose.","[""I'm loyal... to the end, to my purpose.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,7,7,7,1,,page2037:tag2:entity0:key00000000:ref7:ord0,自分に忠を尽くした ,亡命ではない,だからこそ 納得のいく答えが欲しい  ,,,,NOT_CHECKED,18,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,我没有叛逃。,"[""我没有叛逃。""]",I didn't defect.,"[""I didn't defect.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,8,8,8,1,,page2037:tag2:entity17:key00000009:ref8:ord0,亡命ではない,だからこそ 納得のいく答えが欲しい  ,いいか 私は科学者だ,,,,NOT_CHECKED,51,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,正因如此，我才想要一个能让我信服的答案。,"[""正因如此，我才想要一个能让我信服的答案。""]",,[],AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5D3AFE2D,9,9,9,1,,page2037:tag2:entity16:key00000008:ref9:ord0,だからこそ 納得のいく答えが欲しい  ,いいか 私は科学者だ,だから こんな真似はしたくない ,,,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1,听着，我是科学家。,"[""听着，我是科学家。""]",,[],AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
