file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_067F40,0,stream=0x67000;block=0xF40;text=0,"[""stream=0x67000;block=0xF40;text=0""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]",,"核抑止は、国家間紛争での核兵器使用を抑制する。しかし、
それ以外ではどうだろう？
","それ以外？
",[],,,NOT_CHECKED,119,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,所谓核威慑，就是防止核武器被使用——在国家间的冲突中。但其他情况呢？,"[""所谓核威慑，就是防止核武器被使用——在国家间的冲突中。但其他情况呢？""]","Nuclear deterrence means preventing the use of
nuclear weapons
in conflicts between states. But what about other
situations?
","[""Nuclear deterrence means preventing the use of\nnuclear weapons\nin conflicts between states. But what about other\nsituations?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x67F40; ENG blocks=0xF4740,0xF4740; ENG source rows=0xF4740#0,0xF4740#1; block_semantic_score=0.184728."
BRIEFING_FILES_BLOCK_067F40,1,stream=0x67000;block=0xF40;text=1,"[""stream=0x67000;block=0xF40;text=1""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","核抑止は、国家間紛争での核兵器使用を抑制する。しかし、
それ以外ではどうだろう？
","それ以外？
","近年、世界的にテロが激しさを増している。分離独立運動
から極左破壊活動に至るまでね。
",[],,,NOT_CHECKED,16,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,比如？,"[""比如？""]","Like what?
","[""Like what?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#2; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,2,stream=0x67000;block=0xF40;text=2,"[""stream=0x67000;block=0xF40;text=2""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","それ以外？
","近年、世界的にテロが激しさを増している。分離独立運動
から極左破壊活動に至るまでね。
","もし核兵器が、そんなテロリストの手に落ちたらどうなる
だろうか？
",[],,,NOT_CHECKED,125,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,从分裂主义运动到极左极端分子。,"[""从分裂主义运动到极左极端分子。""]","from separatist movements to far-left extremists.
","[""from separatist movements to far-left extremists.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#4; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,3,stream=0x67000;block=0xF40;text=3,"[""stream=0x67000;block=0xF40;text=3""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","近年、世界的にテロが激しさを増している。分離独立運動
から極左破壊活動に至るまでね。
","もし核兵器が、そんなテロリストの手に落ちたらどうなる
だろうか？
","国家ではない、つまり決まった土地を持たない彼らが核攻
撃を受ける可能性は低い。すなわち核攻撃を恐れる理由が
ない。
",[],,,NOT_CHECKED,95,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"如果核武器落入
恐怖分子之手，会发生什么？","[""如果核武器落入\n恐怖分子之手，会发生什么？""]","What would happen if nuclear weapons fell into
terrorist hands?
","[""What would happen if nuclear weapons fell into\nterrorist hands?\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#5; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,4,stream=0x67000;block=0xF40;text=4,"[""stream=0x67000;block=0xF40;text=4""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","もし核兵器が、そんなテロリストの手に落ちたらどうなる
だろうか？
","国家ではない、つまり決まった土地を持たない彼らが核攻
撃を受ける可能性は低い。すなわち核攻撃を恐れる理由が
ない。
","ということは逆に、敵対する国家組織への核攻撃をためら
う理由もない。
",[],,,NOT_CHECKED,168,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"没有国家——也就是说，没有自己的领土——核武器被用来对付
他们的可能性就很小。","[""没有国家——也就是说，没有自己的领土——核武器被用来对付\n他们的可能性就很小。""]","Without a state - that is, without territory of their
own
- the chances of having nukes used against them
are slim.
","[""Without a state - that is, without territory of their\nown\n- the chances of having nukes used against them\nare slim.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x67F40; ENG blocks=0xF4740,0xF4740; ENG source rows=0xF4740#6,0xF4740#7; block_semantic_score=0.184728."
BRIEFING_FILES_BLOCK_067F40,5,stream=0x67000;block=0xF40;text=5,"[""stream=0x67000;block=0xF40;text=5""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","国家ではない、つまり決まった土地を持たない彼らが核攻
撃を受ける可能性は低い。すなわち核攻撃を恐れる理由が
ない。
","ということは逆に、敵対する国家組織への核攻撃をためら
う理由もない。
","テログループ相手じゃいくら<R=大陸間弾道ミサイル,ICBM>や戦略爆
撃機を揃えても使いどころがないのは確かだ。
",[],,,NOT_CHECKED,101,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"反过来，他们也没有理由在
对敌时犹豫是否使用核武器。","[""反过来，他们也没有理由在\n对敌时犹豫是否使用核武器。""]","Conversely, they have no reason to hesitate to use
nukes against their adversaries.
","[""Conversely, they have no reason to hesitate to use\nnukes against their adversaries.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#9; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,6,stream=0x67000;block=0xF40;text=6,"[""stream=0x67000;block=0xF40;text=6""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","ということは逆に、敵対する国家組織への核攻撃をためら
う理由もない。
","テログループ相手じゃいくら<R=大陸間弾道ミサイル,ICBM>や戦略爆
撃機を揃えても使いどころがないのは確かだ。
","だろう？　もちろん今はまだ仮定の話だ。
","[""<R=大陸間弾道ミサイル,ICBM>""]",,,NOT_CHECKED,152,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,"你说得对。世界上所有的
洲际弹道导弹和战略轰炸机","[""你说得对。世界上所有的\n洲际弹道导弹和战略轰炸机""]","You've got a point. All the ICBMs and strategic
bombers in the world
","[""You've got a point. All the ICBMs and strategic\nbombers in the world\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#10; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,7,stream=0x67000;block=0xF40;text=7,"[""stream=0x67000;block=0xF40;text=7""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","テログループ相手じゃいくら<R=大陸間弾道ミサイル,ICBM>や戦略爆
撃機を揃えても使いどころがないのは確かだ。
","だろう？　もちろん今はまだ仮定の話だ。
","核兵器は厳重に管理されているから、そうそうテロ組織に
流出したりはしない。
",[],,,NOT_CHECKED,58,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,没错！当然，这些都还只是假设。,"[""没错！当然，这些都还只是假设。""]","Right! Of course, this is all still hypothetical.
","[""Right! Of course, this is all still hypothetical.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:1; JPN blocks=0x67F40; ENG blocks=0xF4740; ENG source rows=0xF4740#12; block_semantic_score=0.184728.
BRIEFING_FILES_BLOCK_067F40,8,stream=0x67000;block=0xF40;text=8,"[""stream=0x67000;block=0xF40;text=8""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","だろう？　もちろん今はまだ仮定の話だ。
","核兵器は厳重に管理されているから、そうそうテロ組織に
流出したりはしない。
","だがいつか『核テロリズム』という命題が核抑止論を死文
化させる時代がくるだろう。
",[],,,NOT_CHECKED,110,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,各国都对核武器严加看管——恐怖分子短期内还没有机会得手。,"[""各国都对核武器严加看管——恐怖分子短期内还没有机会得手。""]","Countries keep their nukes under tight watch
- there's no immediate danger of terrorists getting
their hands on them.
","[""Countries keep their nukes under tight watch\n- there's no immediate danger of terrorists getting\ntheir hands on them.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x67F40; ENG blocks=0xF4740,0xF4740; ENG source rows=0xF4740#13,0xF4740#14; block_semantic_score=0.184728."
BRIEFING_FILES_BLOCK_067F40,9,stream=0x67000;block=0xF40;text=9,"[""stream=0x67000;block=0xF40;text=9""]",1,BRIEFING FILES,"[""stream=0x67000;block=0xF40;block_file=0x67F40;text_base=0x67F8C;capacity=1116""]","核兵器は厳重に管理されているから、そうそうテロ組織に
流出したりはしない。
","だがいつか『核テロリズム』という命題が核抑止論を死文
化させる時代がくるだろう。
","核テロリズム…なるほどな。
",[],,,NOT_CHECKED,119,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,但终有一天，核恐怖主义这个命题会让核威慑理论变成一纸空文。,"[""但终有一天，核恐怖主义这个命题会让核威慑理论变成一纸空文。""]","But the day may come when the proposition of
nuclear terrorism
makes nuclear deterrence theory a dead letter.
","[""But the day may come when the proposition of\nnuclear terrorism\nmakes nuclear deterrence theory a dead letter.\n""]",AUX_REFERENCE_SEMANTIC_ALIGNED,FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP,"JPN is authoritative; auxiliary alignment=FILES_RECIPROCAL_BLOCK_SEMANTIC_PLUS_CONTEXT_DP; shape=1:2; JPN blocks=0x67F40; ENG blocks=0xF4740,0xF4740; ENG source rows=0xF4740#15,0xF4740#16; block_semantic_score=0.184728."
