file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D9A9677,0,0,0;0,2,,page4:tag14:entity1:key00DF9C4E:ref0:ord0;page16:tag13:entity1:key00DF9C4E:ref0:ord0,,LOCKED ON,AUTO AIM,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,1,1,1;1,2,,page4:tag14:entity0:key0018EACA:ref1:ord0;page16:tag13:entity0:key0018EACA:ref1:ord0,LOCKED ON,AUTO AIM,ZOOM,,,,NOT_CHECKED,8,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,2,2,2;2,2,,page4:tag14:entity2:key00282A39:ref2:ord0;page16:tag13:entity2:key00282A39:ref2:ord0,AUTO AIM,ZOOM,SHUTTER,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,3,3,3;3,2,,page4:tag14:entity3:key008BA86B:ref3:ord0;page16:tag13:entity3:key008BA86B:ref3:ord0,ZOOM,SHUTTER,LV,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,4,4,4;4,2,,page4:tag14:entity4:key005B7E91:ref4:ord0;page16:tag13:entity4:key005B7E91:ref4:ord0,SHUTTER,LV,S,,,,NOT_CHECKED,2,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,5,5,5;5,2,,page4:tag14:entity10:key00D369CA:ref5:ord0;page16:tag13:entity10:key00D369CA:ref5:ord0,LV,S,B,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,6,6,6;6,2,,page4:tag14:entity9:key00D369B9:ref6:ord0;page16:tag13:entity9:key00D369B9:ref6:ord0,S,B,NO USE,,,,NOT_CHECKED,1,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,7,7,7;8;7;8,4,,page4:tag14:entity7:key004CBE33:ref7:ord0;page4:tag14:entity6:key003B3E18:ref8:ord0;page16:tag13:entity7:key004CBE33:ref7:ord0;page16:tag13:entity6:key003B3E18:ref8:ord0,B,NO USE,ZZZ,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=4
5D9A9677,8,9,9;9,2,,page4:tag14:entity12:key00D82F15:ref9:ord0;page16:tag13:entity12:key00D82F15:ref9:ord0,NO USE,ZZZ,STN,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D9A9677,9,10,10;10,2,,page4:tag14:entity11:key00D81249:ref10:ord0;page16:tag13:entity11:key00D81249:ref10:ord0,ZZZ,STN,CQC,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
