file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7679A5,0,,,,,record0:segment0:timing0-0,,その先はミッション圏外だ,ミッション圏外だ,,前方已经超出任务范围。,,MATCH,36,33,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,1,,,,,record1:segment0:timing0-0,その先はミッション圏外だ,ミッション圏外だ,スネーク ミッションに集中してくれ,,这里超出任务范围。,,MATCH,24,27,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,2,,,,,record2:segment0:timing0-0,ミッション圏外だ,スネーク ミッションに集中してくれ,ミッションに集中しろ！,,Snake，专心执行任务。,,MATCH,49,29,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,3,,,,,record3:segment0:timing0-0,スネーク ミッションに集中してくれ,ミッションに集中しろ！,そっちへ行ってどうする,,专心执行任务！,,MATCH,33,21,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,4,,,,,record4:segment0:timing0-0,ミッションに集中しろ！,そっちへ行ってどうする,一人じゃ登れないな 仲間がいれば…,,往那边走干什么？,,MATCH,33,24,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,5,,,,,record5:segment0:timing0-0,そっちへ行ってどうする,一人じゃ登れないな 仲間がいれば…,仲間と協力すれば そこも登れそうだ,,一个人爬不上去。要是有同伴的话……,,MATCH,49,51,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,6,,,,,record6:segment0:timing0-0,一人じゃ登れないな 仲間がいれば…,仲間と協力すれば そこも登れそうだ,乗り越えるには高いな\n何か道具でもあれば…,,和同伴合作，那里应该也爬得上去。,,MATCH,49,48,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,7,,,,,record7:segment0:timing0-0,仲間と協力すれば そこも登れそうだ,乗り越えるには高いな\n何か道具でもあれば…,何かの上に乗れば\n乗り越えられそうだが…,,太高了，翻不过去。要是有什么工具……,,MATCH,62,54,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,8,,,,,record8:segment0:timing0-0,乗り越えるには高いな\n何か道具でもあれば…,何かの上に乗れば\n乗り越えられそうだが…,二人で協力すれば ちょっとした崖程度なら登れるはず,,要是能踩在什么东西上，应该就能翻过去……,,MATCH,59,60,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,9,,,,,record9:segment0:timing0-0,何かの上に乗れば\n乗り越えられそうだが…,二人で協力すれば ちょっとした崖程度なら登れるはず,そこは二人一緒でないと進めないぞ,,两个人合作的话，这点高度的悬崖应该能爬上去。,,MATCH,73,66,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,10,,,,,record10:segment0:timing0-0,二人で協力すれば ちょっとした崖程度なら登れるはず,そこは二人一緒でないと進めないぞ,その先は相手を待って\n一緒に進むんだ,,那里必须两个人一起才能继续前进。,,MATCH,48,48,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,11,,,,,record11:segment0:timing0-0,そこは二人一緒でないと進めないぞ,その先は相手を待って\n一緒に進むんだ,よぉし！,,前面等一下同伴，一起前进。,,MATCH,53,39,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,12,,,,,record12:segment0:timing0-0,その先は相手を待って\n一緒に進むんだ,よぉし！,いいぞぅ！,,好——！,,MATCH,12,12,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,13,,,,,record13:segment0:timing0-0,よぉし！,いいぞぅ！,ヘリへのフルトン回収が完了した,,很好——！,,MATCH,15,15,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,14,,,,,record14:segment0:timing0-0,いいぞぅ！,ヘリへのフルトン回収が完了した,先刻のフルトン回収者 ヘリへ収容した,,富尔顿回收至直升机已完成。,,MATCH,45,39,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
1C7679A5,15,,,,,record15:segment0:timing0-0,ヘリへのフルトン回収が完了した,先刻のフルトン回収者 ヘリへ収容した,大漁だ！,,刚才富尔顿回收的人已经收容进直升机。,,MATCH,52,54,APPROVED,BLOCKED_CAPACITY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1
