file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_DATAINSTALL.OLANG,0,0,0;1;0;1;0;1,6,,page23:tag:entity51:key00F7C3D5:ref0:ord0;page23:tag:entity20:key00765DEC:ref1:ord0;page88:tag:entity51:key00F7C3D5:ref0:ord0;page88:tag:entity20:key00765DEC:ref1:ord0;page180:tag:entity51:key00F7C3D5:ref0:ord0;page180:tag:entity20:key00765DEC:ref1:ord0,,DATA INSTALL,"インストールするパッケージを選択してください。
フルパッケージではより高速な動作をお楽しみいただけます（UMD®版の場合）。",,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6
LANG_DATAINSTALL.OLANG,1,2,2;2;2,3,,page23:tag:entity7:key0034C85C:ref2:ord0;page88:tag:entity7:key0034C85C:ref2:ord0;page180:tag:entity7:key0034C85C:ref2:ord0,DATA INSTALL,"インストールするパッケージを選択してください。
フルパッケージではより高速な動作をお楽しみいただけます（UMD®版の場合）。",フルパッケージ　　　（必要な空き容量：$1MB）,,,,NOT_CHECKED,177,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,2,3,3;3;3,3,,page23:tag:entity49:key00EB16FB:ref3:ord0;page88:tag:entity49:key00EB16FB:ref3:ord0;page180:tag:entity49:key00EB16FB:ref3:ord0,"インストールするパッケージを選択してください。
フルパッケージではより高速な動作をお楽しみいただけます（UMD®版の場合）。",フルパッケージ　　　（必要な空き容量：$1MB）,ミドルパッケージ　　（必要な空き容量：$1MB）,$1MB,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,3,4,4;4;4,3,,page23:tag:entity48:key00EA16FB:ref4:ord0;page88:tag:entity48:key00EA16FB:ref4:ord0;page180:tag:entity48:key00EA16FB:ref4:ord0,フルパッケージ　　　（必要な空き容量：$1MB）,ミドルパッケージ　　（必要な空き容量：$1MB）,スモールパッケージ　（必要な空き容量：$1MB）,$1MB,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,4,5,5;5;5,3,,page23:tag:entity44:key00E916FB:ref5:ord0;page88:tag:entity44:key00E916FB:ref5:ord0;page180:tag:entity44:key00E916FB:ref5:ord0,ミドルパッケージ　　（必要な空き容量：$1MB）,スモールパッケージ　（必要な空き容量：$1MB）,キャンセル：<I=CAN>,$1MB,,,NOT_CHECKED,64,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,5,7,7;7;7,3,,page23:tag:entity39:key00D0E8F0:ref7:ord0;page88:tag:entity39:key00D0E8F0:ref7:ord0;page180:tag:entity39:key00D0E8F0:ref7:ord0,スモールパッケージ　（必要な空き容量：$1MB）,キャンセル：<I=CAN>,"データインストールには、$1分～$2分程度の時間がかかります。
ACアダプターを接続している状態で実行することをおすすめします。
データインストール中は、
メモリースティック<I=TM>を抜く、本体の電源を切る、
スリープモードの操作を行う、といった行為をしないでください。",<I=CAN>,,,NOT_CHECKED,25,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,6,12,12;12;12,3,,page23:tag:entity21:key00789681:ref12:ord0;page88:tag:entity21:key00789681:ref12:ord0;page180:tag:entity21:key00789681:ref12:ord0,キャンセル：<I=CAN>,"データインストールには、$1分～$2分程度の時間がかかります。
ACアダプターを接続している状態で実行することをおすすめします。
データインストール中は、
メモリースティック<I=TM>を抜く、本体の電源を切る、
スリープモードの操作を行う、といった行為をしないでください。","メモリースティック<I=TM>の空き容量が不足しています。
システムデータをインストールするには $1MBの
空き容量が必要です。

タイトルメニューに戻り[DELETE]メニューから
不要なデータの削除を行うことができます。",$1 | $2 | <I=TM>,,,NOT_CHECKED,379,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,7,13,13;13;13,3,,page23:tag:entity14:key005AC548:ref13:ord0;page88:tag:entity14:key005AC548:ref13:ord0;page180:tag:entity14:key005AC548:ref13:ord0,"データインストールには、$1分～$2分程度の時間がかかります。
ACアダプターを接続している状態で実行することをおすすめします。
データインストール中は、
メモリースティック<I=TM>を抜く、本体の電源を切る、
スリープモードの操作を行う、といった行為をしないでください。","メモリースティック<I=TM>の空き容量が不足しています。
システムデータをインストールするには $1MBの
空き容量が必要です。

タイトルメニューに戻り[DELETE]メニューから
不要なデータの削除を行うことができます。",(不要)システムデータの作成に失敗しました。,<I=TM> | $1MB,,,NOT_CHECKED,291,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,8,14,14;14;14,3,,page23:tag:entity41:key00D9FA67:ref14:ord0;page88:tag:entity41:key00D9FA67:ref14:ord0;page180:tag:entity41:key00D9FA67:ref14:ord0,"メモリースティック<I=TM>の空き容量が不足しています。
システムデータをインストールするには $1MBの
空き容量が必要です。

タイトルメニューに戻り[DELETE]メニューから
不要なデータの削除を行うことができます。",(不要)システムデータの作成に失敗しました。,(不要)システムデータを作成が完了しました。,,,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
LANG_DATAINSTALL.OLANG,9,15,15;15;15,3,,page23:tag:entity23:key007AC54B:ref15:ord0;page88:tag:entity23:key007AC54B:ref15:ord0;page180:tag:entity23:key007AC54B:ref15:ord0,(不要)システムデータの作成に失敗しました。,(不要)システムデータを作成が完了しました。,"(不要)システムデータがありません。
（システムデータがある場合に有用な説明とか）
（システムデータが無い場合の制限の説明とか）
システムデータを作成してよろしいですか？",,,,NOT_CHECKED,62,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=3
