file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_08BF20,0,stream=0x8B000;block=0xF20;text=0,"[""stream=0x8B000;block=0xF20;text=0""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]",,"『賢者達』…20世紀初頭に結ばれた米中露の秘密協定、そ
れを支えた実力者達…。
","もちろん、その頃既に米ソの『賢者達』は袂を分かってい
た。
",[],“贤者们”……那是20世纪初美国、中国、俄国缔结的秘密协定，以及支撑它的那些权势人物……。,,MATCH,112,131,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,1,stream=0x8B000;block=0xF20;text=1,"[""stream=0x8B000;block=0xF20;text=1""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","『賢者達』…20世紀初頭に結ばれた米中露の秘密協定、そ
れを支えた実力者達…。
","もちろん、その頃既に米ソの『賢者達』は袂を分かってい
た。
","でも、ソ連側の残留『賢者達』の中にも、共産党の一党独
裁を快く思わない勢力があったの。
",[],当然，到那时美苏两国的“贤者”早已分道扬镳。,,MATCH,86,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,2,stream=0x8B000;block=0xF20;text=2,"[""stream=0x8B000;block=0xF20;text=2""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","もちろん、その頃既に米ソの『賢者達』は袂を分かってい
た。
","でも、ソ連側の残留『賢者達』の中にも、共産党の一党独
裁を快く思わない勢力があったの。
","ザ・ボスは彼らと連絡を取った。
",[],不过，留在苏联一方的“贤者”中，也有势力对共产党的一党独裁心怀不满。,,MATCH,128,102,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,3,stream=0x8B000;block=0xF20;text=3,"[""stream=0x8B000;block=0xF20;text=3""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","でも、ソ連側の残留『賢者達』の中にも、共産党の一党独
裁を快く思わない勢力があったの。
","ザ・ボスは彼らと連絡を取った。
","秘密裡にベルリンで接触し、<R=ソ連第一設計局,OKB-1>へのつてを探
った。
",[],The Boss与他们取得了联系。,,MATCH,46,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,4,stream=0x8B000;block=0xF20;text=4,"[""stream=0x8B000;block=0xF20;text=4""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","ザ・ボスは彼らと連絡を取った。
","秘密裡にベルリンで接触し、<R=ソ連第一設計局,OKB-1>へのつてを探
った。
","ある時は大金を握らせ、ある時は亡命の手助けをすること
で、シンパを懐柔したの。
","[""<R=ソ連第一設計局,OKB-1>""]","她在柏林秘密接触这些人，寻找通往<R=苏联第一设计局,OKB-1>的门路。","<R=苏联第一设计局,OKB-1>",MATCH,99,91,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_08BF20,5,stream=0x8B000;block=0xF20;text=5,"[""stream=0x8B000;block=0xF20;text=5""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","秘密裡にベルリンで接触し、<R=ソ連第一設計局,OKB-1>へのつてを探
った。
","ある時は大金を握らせ、ある時は亡命の手助けをすること
で、シンパを懐柔したの。
","それは彼女にとって、大きな危険を伴うものだった。
",[],她有时塞给对方大笔金钱，有时协助他们叛逃，以此拉拢亲美者。,,MATCH,116,87,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,6,stream=0x8B000;block=0xF20;text=6,"[""stream=0x8B000;block=0xF20;text=6""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","ある時は大金を握らせ、ある時は亡命の手助けをすること
で、シンパを懐柔したの。
","それは彼女にとって、大きな危険を伴うものだった。
","『賢者達』はザ・ボスに関する情報全てを握っている。い
え、情報だけじゃない。
",[],对她来说，这伴随着巨大的风险。,,MATCH,73,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,7,stream=0x8B000;block=0xF20;text=7,"[""stream=0x8B000;block=0xF20;text=7""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","それは彼女にとって、大きな危険を伴うものだった。
","『賢者達』はザ・ボスに関する情報全てを握っている。い
え、情報だけじゃない。
","戦場で生んだ彼女の子供も、生まれてすぐ『賢者達』に奪
われていたの。あなたも聞いたはず。
",[],“贤者们”掌握着The Boss的一切情报。不，还不只是情报。,,MATCH,113,77,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,8,stream=0x8B000;block=0xF20;text=8,"[""stream=0x8B000;block=0xF20;text=8""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","『賢者達』はザ・ボスに関する情報全てを握っている。い
え、情報だけじゃない。
","戦場で生んだ彼女の子供も、生まれてすぐ『賢者達』に奪
われていたの。あなたも聞いたはず。
","その子がもしソ連側『賢者達』の元にいたら…身の危険が
及ぶのは彼女だけでは済まないかも知れない。
",[],她在战场上生下的孩子，也在出生后立刻被“贤者们”夺走。这件事你应该也听说过。,,MATCH,131,114,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_08BF20,9,stream=0x8B000;block=0xF20;text=9,"[""stream=0x8B000;block=0xF20;text=9""]",1,BRIEFING FILES,"[""stream=0x8B000;block=0xF20;block_file=0x8BF20;text_base=0x8C010;capacity=5264""]","戦場で生んだ彼女の子供も、生まれてすぐ『賢者達』に奪
われていたの。あなたも聞いたはず。
","その子がもしソ連側『賢者達』の元にいたら…身の危険が
及ぶのは彼女だけでは済まないかも知れない。
","それでも彼女はそうするしかなかった。
",[],如果那个孩子落在苏联一方“贤者”的手中……遭遇危险的也许就不只是她一个人。,,MATCH,143,111,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
