file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_37D9F0,0,stream=0x37D000;block=0x9F0;text=0,"[""stream=0x37D000;block=0x9F0;text=0""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]",,"スネーク、少しいいか？
","なんだ？
",[],"Snake，能占用你一点时间吗？
",,MATCH,34,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,1,stream=0x37D000;block=0x9F0;text=1,"[""stream=0x37D000;block=0x9F0;text=1""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","スネーク、少しいいか？
","なんだ？
","パスのことなんだが…。
…知ってのとおり、彼女には身寄りがない。
",[],"什么事？
",,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,2,stream=0x37D000;block=0x9F0;text=2,"[""stream=0x37D000;block=0x9F0;text=2""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","なんだ？
","パスのことなんだが…。
…知ってのとおり、彼女には身寄りがない。
","ザドルノフ経由で奨学金をもらって、
学校の寄宿舎で暮らしていたらしいんだが、
ザドルノフはKGBだった…。
",[],"是Paz的事……。
……你也知道，她已经没有亲人了。
",,MATCH,95,71,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,3,stream=0x37D000;block=0x9F0;text=3,"[""stream=0x37D000;block=0x9F0;text=3""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","パスのことなんだが…。
…知ってのとおり、彼女には身寄りがない。
","ザドルノフ経由で奨学金をもらって、
学校の寄宿舎で暮らしていたらしいんだが、
ザドルノフはKGBだった…。
","奨学金とやらもKGBから流れてきていたようだ。
仮にザドルノフが釈放されたとしても、
もうパスに金が行くことはないはずだ。
",[],"她似乎通过Zadornov拿到奖学金，
一直住在学校的宿舍里，
可Zadornov是KGB的人……。
",,MATCH,150,109,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,4,stream=0x37D000;block=0x9F0;text=4,"[""stream=0x37D000;block=0x9F0;text=4""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","ザドルノフ経由で奨学金をもらって、
学校の寄宿舎で暮らしていたらしいんだが、
ザドルノフはKGBだった…。
","奨学金とやらもKGBから流れてきていたようだ。
仮にザドルノフが釈放されたとしても、
もうパスに金が行くことはないはずだ。
","どうせろくな金じゃない。
良かったじゃないか。
",[],"那笔所谓的奖学金似乎也是KGB提供的。
就算Zadornov获释，
以后应该也不会再有钱给Paz了。
",,MATCH,174,119,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,5,stream=0x37D000;block=0x9F0;text=5,"[""stream=0x37D000;block=0x9F0;text=5""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","奨学金とやらもKGBから流れてきていたようだ。
仮にザドルノフが釈放されたとしても、
もうパスに金が行くことはないはずだ。
","どうせろくな金じゃない。
良かったじゃないか。
","そこで…だ。
しばらくの間、パスを<R= ここ ,マザーベース>に置いてやりたい。
",[],"反正也不是什么干净的钱。
这样不是正好吗。
",,MATCH,68,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,6,stream=0x37D000;block=0x9F0;text=6,"[""stream=0x37D000;block=0x9F0;text=6""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","どうせろくな金じゃない。
良かったじゃないか。
","そこで…だ。
しばらくの間、パスを<R= ここ ,マザーベース>に置いてやりたい。
","パスは何と？
","[""<R= ここ ,マザーベース>""]","所以……。
我想暂时让Paz留在<R= 这里 ,MOTHER BASE>。
","<R= 这里 ,MOTHER BASE>",MATCH,108,68,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_MISSION_BLOCK_37D9F0,7,stream=0x37D000;block=0x9F0;text=7,"[""stream=0x37D000;block=0x9F0;text=7""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","そこで…だ。
しばらくの間、パスを<R= ここ ,マザーベース>に置いてやりたい。
","パスは何と？
","「ぜひ何かの役に立ちたい」と。
",[],"Paz怎么说？
",,MATCH,19,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,8,stream=0x37D000;block=0x9F0;text=8,"[""stream=0x37D000;block=0x9F0;text=8""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","パスは何と？
","「ぜひ何かの役に立ちたい」と。
","まあ、あくまで一時的な措置だ。
今回の件のショックもまだ残っている。
いま彼女に、俺達以上の理解者はいないはずだ。
",[],"她说“无论如何都想帮上点忙”。
",,MATCH,46,46,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37D9F0,9,stream=0x37D000;block=0x9F0;text=9,"[""stream=0x37D000;block=0x9F0;text=9""]",1,BRIEFING MISSION,"[""stream=0x37D000;block=0x9F0;block_file=0x37D9F0;text_base=0x37DA5C;capacity=1632""]","「ぜひ何かの役に立ちたい」と。
","まあ、あくまで一時的な措置だ。
今回の件のショックもまだ残っている。
いま彼女に、俺達以上の理解者はいないはずだ。
","わかった。
だがカズ、彼女から目を離すな。
",[],"不过，这终究只是暂时的安排。
这次的事对她造成的打击还没有消退。
现在应该没有谁比我们更理解她了。
",,MATCH,168,144,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
