file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_0306F0,0,stream=0x30000;block=0x6F0;text=0,"[""stream=0x30000;block=0x6F0;text=0""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]",,"<R=初代のソモサ,タチョ>はもともと、<R=国家警備隊,グァルディア>の長官に過ぎなかっ
た。本来なら、大統領になれるような器じゃないのよ。
","でも、当時の大統領には力の後ろ盾がなかった。奴に力で
対抗できたのは、サンディーノ将軍だけ…。
","[""<R=初代のソモサ,タチョ>"", ""<R=国家警備隊,グァルディア>""]","<R=第一代索摩查,Tacho>原本不过是<R=国民警卫队,Guardia>的长官。本来根本不是当总统的料。","<R=第一代索摩查,Tacho> | <R=国民警卫队,Guardia>",MATCH,192,118,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_LOCALIZED;AUX_PRESIDENT_ABILITY_DETAIL_RESTORED
BRIEFING_FILES_BLOCK_0306F0,1,stream=0x30000;block=0x6F0;text=1,"[""stream=0x30000;block=0x6F0;text=1""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","<R=初代のソモサ,タチョ>はもともと、<R=国家警備隊,グァルディア>の長官に過ぎなかっ
た。本来なら、大統領になれるような器じゃないのよ。
","でも、当時の大統領には力の後ろ盾がなかった。奴に力で
対抗できたのは、サンディーノ将軍だけ…。
","いえ違う。対抗しようと考えたのが将軍だったってだけ。
彼は特別な人間じゃなかった。
",[],但当时的总统没有足以支撑自己的武力。能在力量上和他抗衡的，只有桑地诺将军……,,MATCH,140,114,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_FORCE_BACKING_NUANCE_PRIMARY
BRIEFING_FILES_BLOCK_0306F0,2,stream=0x30000;block=0x6F0;text=2,"[""stream=0x30000;block=0x6F0;text=2""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","でも、当時の大統領には力の後ろ盾がなかった。奴に力で
対抗できたのは、サンディーノ将軍だけ…。
","いえ違う。対抗しようと考えたのが将軍だったってだけ。
彼は特別な人間じゃなかった。
","正義を貫くには、なにより意志を持つことが大事。あたし
達は、それを彼から学んだ。
",[],不，不对。只是将军选择了反抗而已。他并不是什么特别的人。,,MATCH,122,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_CHOSE_TO_OPPOSE_PRIMARY
BRIEFING_FILES_BLOCK_0306F0,3,stream=0x30000;block=0x6F0;text=3,"[""stream=0x30000;block=0x6F0;text=3""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","いえ違う。対抗しようと考えたのが将軍だったってだけ。
彼は特別な人間じゃなかった。
","正義を貫くには、なにより意志を持つことが大事。あたし
達は、それを彼から学んだ。
","だが、だからこそソモサは、サンディーノを暗殺した…。
",[],要贯彻正义，最重要的是拥有自己的意志。这一点，是我们从他身上学到的。,,MATCH,119,102,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_WILL_PRIMARY
BRIEFING_FILES_BLOCK_0306F0,4,stream=0x30000;block=0x6F0;text=4,"[""stream=0x30000;block=0x6F0;text=4""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","正義を貫くには、なにより意志を持つことが大事。あたし
達は、それを彼から学んだ。
","だが、だからこそソモサは、サンディーノを暗殺した…。
","ええ。後は簡単。大統領を追い出して、不正選挙で自分を
選ばせた。そしてそのまま、権力を握り続けている。
",[],但也正因为这样，索摩查才暗杀了桑地诺……,,MATCH,79,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_ASSASSINATION_PRIMARY
BRIEFING_FILES_BLOCK_0306F0,5,stream=0x30000;block=0x6F0;text=5,"[""stream=0x30000;block=0x6F0;text=5""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","だが、だからこそソモサは、サンディーノを暗殺した…。
","ええ。後は簡単。大統領を追い出して、不正選挙で自分を
選ばせた。そしてそのまま、権力を握り続けている。
","強引だな。
",[],对。之后就简单了。赶走总统，再通过舞弊选举让自己当选，然后就一直把持着权力。,,MATCH,152,114,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=AUX_CONTINUED_POWER_DETAIL_RESTORED
BRIEFING_FILES_BLOCK_0306F0,6,stream=0x30000;block=0x6F0;text=6,"[""stream=0x30000;block=0x6F0;text=6""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","ええ。後は簡単。大統領を追い出して、不正選挙で自分を
選ばせた。そしてそのまま、権力を握り続けている。
","強引だな。
","ソモサのバックには、アメリカがいたからね。アメリカは、
反抗的な将軍に政権を渡したくなかったから。
",[],真够强硬的。,,MATCH,16,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_0306F0,7,stream=0x30000;block=0x6F0;text=7,"[""stream=0x30000;block=0x6F0;text=7""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","強引だな。
","ソモサのバックには、アメリカがいたからね。アメリカは、
反抗的な将軍に政権を渡したくなかったから。
","とは言え、そんな男をよくアメリカが承認したな。
",[],因为索摩查背后有美国撑腰。美国不愿把政权交给一个反抗他们的将军。,,MATCH,146,96,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=AUX_AMERICAN_BACKING_FIRST_SENTENCE_RESTORED
BRIEFING_FILES_BLOCK_0306F0,8,stream=0x30000;block=0x6F0;text=8,"[""stream=0x30000;block=0x6F0;text=8""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","ソモサのバックには、アメリカがいたからね。アメリカは、
反抗的な将軍に政権を渡したくなかったから。
","とは言え、そんな男をよくアメリカが承認したな。
","当時のアメリカ大統領は『ソモサは<R=ろくでなし,サノバビッチ>だが、我々
の側の<R=ろくでなし,サノバビッチ>だ』って言ったらしい。
",[],话虽如此，美国居然会承认那种人。,,MATCH,70,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=AUX_WASHINGTON_PARAPHRASE_REPLACED_BY_JPN
BRIEFING_FILES_BLOCK_0306F0,9,stream=0x30000;block=0x6F0;text=9,"[""stream=0x30000;block=0x6F0;text=9""]",1,BRIEFING FILES,"[""stream=0x30000;block=0x6F0;block_file=0x306F0;text_base=0x3073C;capacity=1320""]","とは言え、そんな男をよくアメリカが承認したな。
","当時のアメリカ大統領は『ソモサは<R=ろくでなし,サノバビッチ>だが、我々
の側の<R=ろくでなし,サノバビッチ>だ』って言ったらしい。
","反米政権よりはましってことね。それが犬でも<R=蛙,ソモサ>でも。
","[""<R=ろくでなし,サノバビッチ>"", ""<R=ろくでなし,サノバビッチ>""]","听说当时的美国总统说过：“索摩查是个<R=混蛋,son of a bitch>，但他是我们这边的<R=混蛋,son of a bitch>。”","<R=混蛋,son of a bitch> | <R=混蛋,son of a bitch>",MATCH,183,137,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_ENGLISH_READING_PRESERVED
