file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_DEMOTELOP4.OLANG,0,0,0;10,2,,page27:tag:entity0:key001AF815:ref0:ord0;page27:tag:entity10:key001AF815:ref10:ord0,,ARTISTS,"TOMOKAZU SUGITA
NANA MIZUKI
HIDEYUKI TANAKA
ROMI PARK
YU KOBAYASHI
YUMI KIKUCHI
KIKUKO INOUE",,ARTISTS,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,1,1,1,1,,page27:tag:entity1:key001AF815:ref1:ord0,ARTISTS,"TOMOKAZU SUGITA
NANA MIZUKI
HIDEYUKI TANAKA
ROMI PARK
YU KOBAYASHI
YUMI KIKUCHI
KIKUKO INOUE",ORIGINAL STORY/PLANNING/GAME DESIGN,,"TOMOKAZU SUGITA
NANA MIZUKI
HIDEYUKI TANAKA
ROMI PARK
YU KOBAYASHI
YUMI KIKUCHI
KIKUKO INOUE",,MATCH,92,92,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=JPN_VOICE_CAST_NAMES_PRESERVED
LANG_DEMOTELOP4.OLANG,2,2,2,1,,page27:tag:entity2:key001AF815:ref2:ord0,"TOMOKAZU SUGITA
NANA MIZUKI
HIDEYUKI TANAKA
ROMI PARK
YU KOBAYASHI
YUMI KIKUCHI
KIKUKO INOUE",ORIGINAL STORY/PLANNING/GAME DESIGN,HIDEO KOJIMA,,ORIGINAL STORY/PLANNING/GAME DESIGN,,MATCH,35,35,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,3,3,3;39,2,,page27:tag:entity3:key001AF815:ref3:ord0;page27:tag:entity39:key001AF815:ref39:ord0,ORIGINAL STORY/PLANNING/GAME DESIGN,HIDEO KOJIMA,WRITTEN BY,,HIDEO KOJIMA,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PERSON_NAME_PRESERVED
LANG_DEMOTELOP4.OLANG,4,4,4,1,,page27:tag:entity4:key001AF815:ref4:ord0,HIDEO KOJIMA,WRITTEN BY,"HIDEO KOJIMA
SHUYO MURATA",,WRITTEN BY,,MATCH,10,10,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,5,5,5,1,,page27:tag:entity5:key001AF815:ref5:ord0,WRITTEN BY,"HIDEO KOJIMA
SHUYO MURATA",CHARACTER & MECHANICAL DESIGN,,"HIDEO KOJIMA
SHUYO MURATA",,MATCH,25,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=PERSON_NAMES_PRESERVED
LANG_DEMOTELOP4.OLANG,6,6,6,1,,page27:tag:entity6:key001AF815:ref6:ord0,"HIDEO KOJIMA
SHUYO MURATA",CHARACTER & MECHANICAL DESIGN,YOJI SHINKAWA,,CHARACTER & MECHANICAL DESIGN,,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,7,7,7;35,2,,page27:tag:entity7:key001AF815:ref7:ord0;page27:tag:entity35:key001AF815:ref35:ord0,CHARACTER & MECHANICAL DESIGN,YOJI SHINKAWA,PROGRAMMERS,,YOJI SHINKAWA,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PERSON_NAME_PRESERVED
LANG_DEMOTELOP4.OLANG,8,8,8,1,,page27:tag:entity8:key001AF815:ref8:ord0,YOJI SHINKAWA,PROGRAMMERS,"MASAO TOMOSAWA
MAKOTO SONOYAMA",,PROGRAMMERS,,MATCH,11,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,9,9,9,1,,page27:tag:entity9:key001AF815:ref9:ord0,PROGRAMMERS,"MASAO TOMOSAWA
MAKOTO SONOYAMA",ARTISTS,,"MASAO TOMOSAWA
MAKOTO SONOYAMA",,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=PERSON_NAMES_PRESERVED
LANG_DEMOTELOP4.OLANG,10,11,11,1,,page27:tag:entity11:key001AF815:ref11:ord0,ARTISTS,"TOMOYUKI KAMEI
YUTAKA NEGISHI
KEIICHI MATATE
YASUHIRO IKOMA",REAL-TIME DEMO ARTIST,,"TOMOYUKI KAMEI
YUTAKA NEGISHI
KEIICHI MATATE
YASUHIRO IKOMA",,MATCH,59,59,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=PERSON_NAMES_PRESERVED
LANG_DEMOTELOP4.OLANG,11,12,12,1,,page27:tag:entity12:key001AF815:ref12:ord0,"TOMOYUKI KAMEI
YUTAKA NEGISHI
KEIICHI MATATE
YASUHIRO IKOMA",REAL-TIME DEMO ARTIST,NORIFUMI HOSOYA,,REAL-TIME DEMO ARTIST,,MATCH,21,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; AUX_SEMANTIC_CORROBORATION; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,12,13,13,1,,page27:tag:entity13:key001AF815:ref13:ord0,REAL-TIME DEMO ARTIST,NORIFUMI HOSOYA,ANIMATOR,,NORIFUMI HOSOYA,,MATCH,15,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=PERSON_NAME_PRESERVED
LANG_DEMOTELOP4.OLANG,13,14,14,1,,page27:tag:entity14:key001AF815:ref14:ord0,NORIFUMI HOSOYA,ANIMATOR,MASAHIRO YOSHINAGA,,ANIMATOR,,MATCH,8,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=CREDIT_ROLE_LOCALIZED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_DEMOTELOP4.OLANG,14,15,15,1,,page27:tag:entity15:key001AF815:ref15:ord0,ANIMATOR,MASAHIRO YOSHINAGA,2D ARTIST,,MASAHIRO YOSHINAGA,,MATCH,18,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=PERSON_NAME_PRESERVED
