file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DDB94DF,0,0,0;0;0;0;0,5,,page76:tag15:entity0:key00000000:ref0:ord0;page340:tag9:entity0:key00000000:ref0:ord0;page358:tag7:entity0:key00000000:ref0:ord0;page982:tag2:entity0:key00000000:ref0:ord0;page984:tag1:entity0:key00000000:ref0:ord0,,『国境なき軍隊』,ボス,,,,NOT_CHECKED,24,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,1,1,1;1;1;1;1,5,,page76:tag15:entity1:key00000000:ref1:ord0;page340:tag9:entity1:key00000000:ref1:ord0;page358:tag7:entity1:key00000000:ref1:ord0;page982:tag2:entity1:key00000000:ref1:ord0;page984:tag1:entity1:key00000000:ref1:ord0,『国境なき軍隊』,ボス,ボス お手合わせお願いします！,,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,2,2,2;2;2;2;2,5,,page76:tag15:entity2:key00000000:ref2:ord0;page340:tag9:entity2:key00000000:ref2:ord0;page358:tag7:entity2:key00000000:ref2:ord0;page982:tag2:entity2:key00000000:ref2:ord0;page984:tag1:entity2:key00000000:ref2:ord0,ボス,ボス お手合わせお願いします！,スネーク！,,,,NOT_CHECKED,43,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,3,3,3;3;3;3;3,5,,page76:tag15:entity3:key00000000:ref3:ord0;page340:tag9:entity3:key00000000:ref3:ord0;page358:tag7:entity3:key00000000:ref3:ord0;page982:tag2:entity3:key00000000:ref3:ord0;page984:tag1:entity3:key00000000:ref3:ord0,ボス お手合わせお願いします！,スネーク！,"やっぱり あれか？　<R=あの人,ザ・ボス>のためか？",,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,4,4,4;4;4;4;4,5,,page76:tag15:entity8:key00000004:ref4:ord0;page340:tag9:entity8:key00000004:ref4:ord0;page358:tag7:entity8:key00000004:ref4:ord0;page982:tag2:entity8:key00000004:ref4:ord0;page984:tag1:entity8:key00000004:ref4:ord0,スネーク！,"やっぱり あれか？　<R=あの人,ザ・ボス>のためか？",本格的に傭兵ビジネスに参入出来そうだしな,"<R=あの人,ザ・ボス>",,,NOT_CHECKED,69,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,5,5,5;5;5;5;5,5,,page76:tag15:entity7:key00000003:ref5:ord0;page340:tag9:entity7:key00000003:ref5:ord0;page358:tag7:entity7:key00000003:ref5:ord0;page982:tag2:entity7:key00000003:ref5:ord0;page984:tag1:entity7:key00000003:ref5:ord0,"やっぱり あれか？　<R=あの人,ザ・ボス>のためか？",本格的に傭兵ビジネスに参入出来そうだしな,サンヒエロニモとも縁が切れたし…,,,,NOT_CHECKED,60,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,6,6,6;6;6;6;6,5,,page76:tag15:entity6:key00000002:ref6:ord0;page340:tag9:entity6:key00000002:ref6:ord0;page358:tag7:entity6:key00000002:ref6:ord0;page982:tag2:entity6:key00000002:ref6:ord0;page984:tag1:entity6:key00000002:ref6:ord0,本格的に傭兵ビジネスに参入出来そうだしな,サンヒエロニモとも縁が切れたし…,いやぁ… 俺はありがたく思ってる,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,7,7,7;7;7;7;7,5,,page76:tag15:entity5:key00000001:ref7:ord0;page340:tag9:entity5:key00000001:ref7:ord0;page358:tag7:entity5:key00000001:ref7:ord0;page982:tag2:entity5:key00000001:ref7:ord0;page984:tag1:entity5:key00000001:ref7:ord0,サンヒエロニモとも縁が切れたし…,いやぁ… 俺はありがたく思ってる,しかし スネーク よく依頼を受けてくれたな,,,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,8,8,8;8;8;8;8,5,,page76:tag15:entity4:key00000000:ref8:ord0;page340:tag9:entity4:key00000000:ref8:ord0;page358:tag7:entity4:key00000000:ref8:ord0;page982:tag2:entity4:key00000000:ref8:ord0;page984:tag1:entity4:key00000000:ref8:ord0,いやぁ… 俺はありがたく思ってる,しかし スネーク よく依頼を受けてくれたな,"無駄な戦闘は避け
見つからないように潜入するんだ",,,,NOT_CHECKED,59,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
5DDB94DF,9,9,9;9;9;9;9,5,,page76:tag15:entity12:key00000003:ref9:ord0;page340:tag9:entity12:key00000003:ref9:ord0;page358:tag7:entity12:key00000003:ref9:ord0;page982:tag2:entity12:key00000003:ref9:ord0;page984:tag1:entity12:key00000003:ref9:ord0,しかし スネーク よく依頼を受けてくれたな,"無駄な戦闘は避け
見つからないように潜入するんだ",スネーク,,,,NOT_CHECKED,70,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5
