file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
00225520,0,4,4,1,,page:tag:entity1:key005C7A78:ref4:ord4,,"決定：<I=DEC> キャンセル：<I=CAN>
ジャンプ：<I=MO_DEV_IT_*INFO_TOP_JAMP_0> 詳細：<I=MO_DEV_IT_*INFO_TOP_JAMP_1>","決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_IT_*INFO_TOP>",<I=DEC> | <I=CAN> | <I=MO_DEV_IT_*INFO_TOP_JAMP_0> | <I=MO_DEV_IT_*INFO_TOP_JAMP_1>,"确认：<I=DEC> 取消：<I=CAN>
跳转：<I=MO_DEV_IT_*INFO_TOP_JAMP_0> 详情：<I=MO_DEV_IT_*INFO_TOP_JAMP_1>",<I=DEC> | <I=CAN> | <I=MO_DEV_IT_*INFO_TOP_JAMP_0> | <I=MO_DEV_IT_*INFO_TOP_JAMP_1>,MATCH,128,113,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,1,10,10,1,,page:tag:entity0:key00233641:ref10:ord4,"決定：<I=DEC> キャンセル：<I=CAN>
ジャンプ：<I=MO_DEV_IT_*INFO_TOP_JAMP_0> 詳細：<I=MO_DEV_IT_*INFO_TOP_JAMP_1>","決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_IT_*INFO_TOP>",ビューア：<I=MO_DEV_IT_*INFO_MODEL>,<I=DEC> | <I=CAN> | <I=MO_DEV_IT_*INFO_TOP>,"确认：<I=DEC> 取消：<I=CAN>
详情：<I=MO_DEV_IT_*INFO_TOP>",<I=DEC> | <I=CAN> | <I=MO_DEV_IT_*INFO_TOP>,MATCH,75,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,2,16,16,1,,page:tag:entity2:key0068DD78:ref16:ord4,"決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_IT_*INFO_TOP>",ビューア：<I=MO_DEV_IT_*INFO_MODEL>,"決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_MECHA_*INFO_TOP>",<I=MO_DEV_IT_*INFO_MODEL>,查看器：<I=MO_DEV_IT_*INFO_MODEL>,<I=MO_DEV_IT_*INFO_MODEL>,MATCH,40,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,3,22,22,1,,page:tag:entity3:key00233641:ref22:ord4,ビューア：<I=MO_DEV_IT_*INFO_MODEL>,"決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_MECHA_*INFO_TOP>",縮小：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,<I=DEC> | <I=CAN> | <I=MO_DEV_MECHA_*INFO_TOP>,"确认：<I=DEC> 取消：<I=CAN>
详情：<I=MO_DEV_MECHA_*INFO_TOP>",<I=DEC> | <I=CAN> | <I=MO_DEV_MECHA_*INFO_TOP>,MATCH,78,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,4,28,28,1,,page:tag:entity5:key006A33A7:ref28:ord4,"決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_MECHA_*INFO_TOP>",縮小：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,拡大：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,缩小：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,MATCH,49,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,5,34,34,1,,page:tag:entity4:key006A33A6:ref34:ord4,縮小：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW02>,拡大：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,"決定：<I=DEC> キャンセル：<I=CAN>
ジャンプ：<I=MO_DEV_WP_*INFO_TOP_JAMP_0> 詳細：<I=MO_DEV_WP_*INFO_TOP_JAMP_1>",<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,放大：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,MATCH,49,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,6,40,40,1,,page:tag:entity7:key005C7A78:ref40:ord4,拡大：<I=MO_DEV_METAL_*INFO_HELP_MODEL_VIEW01>,"決定：<I=DEC> キャンセル：<I=CAN>
ジャンプ：<I=MO_DEV_WP_*INFO_TOP_JAMP_0> 詳細：<I=MO_DEV_WP_*INFO_TOP_JAMP_1>","決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_WP_*INFO_TOP>",<I=DEC> | <I=CAN> | <I=MO_DEV_WP_*INFO_TOP_JAMP_0> | <I=MO_DEV_WP_*INFO_TOP_JAMP_1>,"确认：<I=DEC> 取消：<I=CAN>
跳转：<I=MO_DEV_WP_*INFO_TOP_JAMP_0> 详情：<I=MO_DEV_WP_*INFO_TOP_JAMP_1>",<I=DEC> | <I=CAN> | <I=MO_DEV_WP_*INFO_TOP_JAMP_0> | <I=MO_DEV_WP_*INFO_TOP_JAMP_1>,MATCH,128,113,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,7,46,46,1,,page:tag:entity6:key00233641:ref46:ord4,"決定：<I=DEC> キャンセル：<I=CAN>
ジャンプ：<I=MO_DEV_WP_*INFO_TOP_JAMP_0> 詳細：<I=MO_DEV_WP_*INFO_TOP_JAMP_1>","決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_WP_*INFO_TOP>",ビューア：<I=MO_DEV_WP_*INFO_MODEL>,<I=DEC> | <I=CAN> | <I=MO_DEV_WP_*INFO_TOP>,"确认：<I=DEC> 取消：<I=CAN>
详情：<I=MO_DEV_WP_*INFO_TOP>",<I=DEC> | <I=CAN> | <I=MO_DEV_WP_*INFO_TOP>,MATCH,75,66,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,8,52,52,1,,page:tag:entity8:key0068DD78:ref52:ord4,"決定：<I=DEC> キャンセル：<I=CAN>
詳細：<I=MO_DEV_WP_*INFO_TOP>",ビューア：<I=MO_DEV_WP_*INFO_MODEL>,縮小：<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN02>,<I=MO_DEV_WP_*INFO_MODEL>,查看器：<I=MO_DEV_WP_*INFO_MODEL>,<I=MO_DEV_WP_*INFO_MODEL>,MATCH,40,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00225520,9,58,58,1,,page:tag:entity18:key00C8ADBD:ref58:ord4,ビューア：<I=MO_DEV_WP_*INFO_MODEL>,縮小：<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN02>,拡大：<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN01>,<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN02>,缩小：<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN02>,<I=MO_MODEL_VIEWER_*VIEWER06_ASSIGN02>,MATCH,47,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
