file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_04BE80,0,stream=0x4B000;block=0xE80;text=0,"[""stream=0x4B000;block=0xE80;text=0""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]",,"恐竜がゾンビになって人を襲ったという伝説もあるんだ。
","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
",[],还有恐龙变成僵尸袭击人类的传说。,,MATCH,79,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,1,stream=0x4B000;block=0xE80;text=1,"[""stream=0x4B000;block=0xE80;text=1""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","恐竜がゾンビになって人を襲ったという伝説もあるんだ。
","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","[""<R=生きる屍,リビング・デッド>""]","僵尸？你是说<R=活死人,LIVING DEAD>！？","<R=活死人,LIVING DEAD>",MATCH,66,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=RUBY_READING_ROMANIZED
BRIEFING_FILES_BLOCK_04BE80,2,stream=0x4B000;block=0xE80;text=2,"[""stream=0x4B000;block=0xE80;text=2""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","ゾンビ？　<R=生きる屍,リビング・デッド>か！？
","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
",[],嗯。就算恐龙灭绝了，也可能作为僵尸复活。,,MATCH,107,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,3,stream=0x4B000;block=0xE80;text=3,"[""stream=0x4B000;block=0xE80;text=3""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","ああ。恐竜が絶滅しても、ゾンビとして生き返ったという
のはあり得る話だ。
","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
",[],等等。先不说是不是恐龙，僵尸这种东西本来就不存在于现实。,,MATCH,101,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,4,stream=0x4B000;block=0xE80;text=4,"[""stream=0x4B000;block=0xE80;text=4""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","待て。恐竜かどうか以前に、そもそもゾンビ自体が現実に
は存在しない。
","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
",[],清醒点啊，Boss！海地的种植园很早以前就让僵尸干活了。,,MATCH,122,76,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,5,stream=0x4B000;block=0xE80;text=5,"[""stream=0x4B000;block=0xE80;text=5""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","しっかりしてくれよボス！　ハイチの農園じゃ長いことゾ
ンビに仕事をさせてたんだぞ。
","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
","…そうなのか？
",[],海地自古就流传着一种叫“僵尸粉”的秘药。,,MATCH,89,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,6,stream=0x4B000;block=0xE80;text=6,"[""stream=0x4B000;block=0xE80;text=6""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","古来、ハイチにはゾンビパウダーという秘薬が伝わってる
んだ。
","…そうなのか？
","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
",[],……是吗？,,MATCH,22,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,7,stream=0x4B000;block=0xE80;text=7,"[""stream=0x4B000;block=0xE80;text=7""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","…そうなのか？
","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
","いや、人類が誕生したときにはすでに恐竜は…。
",[],肯定是古代人用僵尸粉把恐龙变成了僵尸。,,MATCH,104,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,8,stream=0x4B000;block=0xE80;text=8,"[""stream=0x4B000;block=0xE80;text=8""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","きっと古代人がゾンビパウダーを使って、恐竜をゾンビに
したんだろうな。
","いや、人類が誕生したときにはすでに恐竜は…。
","その前提が間違ってたんだよ、きっと。
",[],不，人类诞生的时候，恐龙早就已经……。,,MATCH,67,57,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_FILES_BLOCK_04BE80,9,stream=0x4B000;block=0xE80;text=9,"[""stream=0x4B000;block=0xE80;text=9""]",1,BRIEFING FILES,"[""stream=0x4B000;block=0xE80;block_file=0x4BE80;text_base=0x4BEE4;capacity=1476""]","いや、人類が誕生したときにはすでに恐竜は…。
","その前提が間違ってたんだよ、きっと。
","…まあとにかく、その恐竜はすごく強かったらしい。そい
つの名はギアレックス。殺しても死なないと言われている。
",[],那肯定是这个前提本身就错了。,,MATCH,55,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
