selector,atlas_width,atlas_height,pixel_size,padding,packing_algorithm,selector_requirement,retained_clean_glyph_count,retained_zero_bitmap_records,han_override_count,new_missing_han_count,missing_non_han_count,generated_glyph_count,total_final_glyph_count,packed_rectangle_count,projected_used_texels,projected_usage_percent,free_texels,packed_height,overflow
00c7c9f9.xpr,4096,4096,52,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,9085257,54.152,7691959,2271,NO
00c7c9f9.xpr,4096,4096,52,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,9767627,58.220,7009589,2423,NO
00c7c9f9.xpr,4096,4096,56,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,10310537,61.456,6466679,2593,NO
00c7c9f9.xpr,4096,4096,56,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,11036667,65.784,5740549,2751,NO
00c7c9f9.xpr,4096,4096,58,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,10955997,65.303,5821219,2733,NO
00c7c9f9.xpr,4096,4096,58,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,11704007,69.761,5073209,2893,NO
00c7c9f9.xpr,4096,4096,60,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,11623337,69.280,5153879,2877,NO
00c7c9f9.xpr,4096,4096,60,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,12393227,73.869,4383989,3039,NO
00c7c9f9.xpr,4096,4096,62,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,12312557,73.389,4464659,3025,NO
00c7c9f9.xpr,4096,4096,62,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,13104327,78.108,3672889,3255,NO
00c7c9f9.xpr,4096,4096,64,1,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,13023657,77.627,3753559,3243,NO
00c7c9f9.xpr,4096,4096,64,2,SHELF_FIRST_FIT_DECREASING_NO_ROTATION,UNKNOWN / UNION_REQUIRED,343,0,1144,1577,14,2735,3078,3078,13837307,82.477,2939909,3411,NO
