resource_class,file_id,unique_index,reference_index,reference_indices,reference_count,jpn_text,visible_unique_chars,001c_covered_chars,001c_missing_chars,001c_coverage,0007_coverage,000e_coverage,00c7_coverage,loading_fixture_similarity_max,loading_union_similarity,is_loading_fixture,candidate_status,candidate_value,lower_other_fonts
BRIEFING,BRIEFING_FILES_BLOCK_000000,0,,"[""stream=0x0;block=0x0;text=0""]",1,"カズ、“教授”が用意したプラントは、どんな具合だ？
",“”、がしただどなはんカズトプラン具合意授教用？,“”、がしただどなはんトプラン意用？,カズ具合授教,75.00%,83.33%,75.00%,100.00%,0.190476,0.054422,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,1,,"[""stream=0x0;block=0x0;text=1""]",1,"着いた時は笑うしかなかった。海鳥だらけのデカい巣箱っ
て感じだったからな。
",。いうかけしじただってなのはらカデ巣感時海着笑箱鳥,。いうかけしじただってなのはらデ感時鳥,カ巣海着笑箱,76.00%,84.00%,76.00%,100.00%,0.257143,0.061433,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,2,,"[""stream=0x0;block=0x0;text=2""]",1,"サビと糞は何とか落とした。基礎構造は傷んでないから、
手入れすれば十分使える。
",、。いえかしすたでとなはばらるれんサビ何使傷入分十基手構礎糞落造,、。いえかしすたでとなはばらるれんサ何使分基手構,ビ傷入十礎糞落造,75.00%,81.25%,81.25%,100.00%,0.260870,0.077966,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,3,,"[""stream=0x0;block=0x0;text=3""]",1,"もともとはどこの所有だったんだ？　いくらボロくても、
造るには相当のカネが必要だろう。
",、。いうがくこただってとどにのはもらるろんカネボロ当必所有相要造？,、。いうがくこただってとどにのはもらるろんボ必要？,カネロ当所有相造,75.76%,93.94%,81.82%,100.00%,0.304348,0.085034,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,4,,"[""stream=0x0;block=0x0;text=4""]",1,"どうやらこのプラント、アメリカの大学が<R=海洋温度差発電,OTEC>
の研究用に造ったものらしい。サビだらけの発電タービン
に名前が残ってた。
",CEOT、。いうがけこしただってどにのもやらアカサタトビプメラリンー前名大学差度残洋海温用発研究造電,CEOT、。いうがけこしただってどにのもやらサタトプメラリンー前名大度用研究,アカビ学差残洋海温発造電,76.00%,84.00%,72.00%,100.00%,0.187500,0.101639,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,5,,"[""stream=0x0;block=0x0;text=5""]",1,"建造にあたっては、もちろん政府や企業の援助もあったん
だろう。だが、結局熱効率の問題を解決できずに研究は中
止。
",、。あうがきずただちってでにのはもやろをん中企助効問局府建援政業止決熱率研究結解造題,、。あうがきずただちってでにのはもやろをん中府政止研究,企助効問局建援業決熱率結解造題,64.29%,57.14%,54.76%,100.00%,0.220000,0.089701,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,6,,"[""stream=0x0;block=0x0;text=6""]",1,"廃棄されたこいつを、KGBのフロント企業が安く買い叩い
た…ってとこじゃないか？
",BGK…、いかがくこさじたっつてとなのゃれをトフロン企叩安廃棄業買？,BGK…、いかがくこさじたっつてとなのゃれをトン棄？,フロ企叩安廃業買,76.47%,85.29%,76.47%,100.00%,0.232558,0.081081,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,7,,"[""stream=0x0;block=0x0;text=7""]",1,"フロント企業を通したとは言え、よくKGBがアメリカ資本
のプラントを買えたな。
",BGK、。えがくしたとなのはよをアカトフプメラリロン企本業言買資通,BGK、。えがくしたとなのはよをトプメラリン本言,アカフロ企業買資通,72.73%,90.91%,78.79%,100.00%,0.203704,0.066890,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,8,,"[""stream=0x0;block=0x0;text=8""]",1,"ああ、あの“教授”、相当のやり手だ。
",“”、。あだのやり当手授教相,“”、。あだのやり手,当授教相,71.43%,78.57%,71.43%,100.00%,0.240000,0.034483,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,9,,"[""stream=0x0;block=0x0;text=9""]",1,"それとこのプラント、同規格のプラントと<R=連結,ジョイント>できる造り
になってる。
",、。きこそってでとなにのりるれイジトプョラン同格結規造連,、。きこそってでとなにのりるれイトプラン同,ジョ格結規造連,75.00%,89.29%,78.57%,100.00%,0.222222,0.060811,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,10,,"[""stream=0x0;block=0x0;text=10""]",1,"もともとは、プラントを増築していく計画だったんだな。
",、。いくしただってとなはもをんトプラン増画築計,、。いくしただってとなはもをんトプラン,増画築計,82.61%,91.30%,78.26%,100.00%,0.312500,0.058219,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,11,,"[""stream=0x0;block=0x0;text=11""]",1,"俺たちがそいつをやってやろう。人を集めて、物を作り、
MSFの拠点として、プラントを拡大するんだ。
",FMS、。いうがしすそただちっつてとのめやりるろをんトプラン人作俺大拠拡点物集,FMS、。いうがしすそただちっつてとのめやりるろをんトプラン人作俺大物,拠拡点集,89.74%,94.87%,79.49%,100.00%,0.222222,0.101695,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000000,12,,"[""stream=0x0;block=0x0;text=12""]",1,"よろしく頼む、ボス。
",、。くしむよろスボ頼,、。くしよろスボ頼,む,90.00%,80.00%,80.00%,100.00%,0.160000,0.031359,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000790,0,,"[""stream=0x0;block=0x790;text=0""]",1,"新型のプラントは<R=六角,ヘックス>タイプだ。今までのものより面積も
広いし、増築も計画的に行える。派手に拡大出来るぞ。
",、。いえしぞだでにのはまもよりるイクスタットプヘラン今六出型増大広手拡新来派画的積築行角計面,、。いえしぞだでにのはまもよりるイクスタットプラン出大手新来,ヘ今六型増広拡派画的積築行角計面,65.22%,80.43%,67.39%,100.00%,0.194030,0.077922,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000790,1,,"[""stream=0x0;block=0x790;text=1""]",1,"<R=六角,ヘックス>か。<R=蜂の巣,ハニカム>みたいだな。
",。いかただなのみカクスッニハヘム六巣蜂角,。いかただなのみクスッニハム,カヘ六巣蜂角,70.00%,80.00%,60.00%,100.00%,0.241379,0.037288,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000790,2,,"[""stream=0x0;block=0x790;text=2""]",1,"<R=蜂の巣,ハニカム>、結構じゃないか。ハニカム構造は強度が高いって
言うぞ。戦車の装甲にも採用が検討されていると聞く。
",、。いうかがくさじぞってとなにのはもゃるれカニハム巣度強戦採検構用甲結聞蜂装言討車造高,、。いうかがくさじぞってとなにのはもゃるれニハム度戦構用言,カ巣強採検甲結聞蜂装討車造高,67.44%,79.07%,62.79%,100.00%,0.250000,0.093023,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000790,3,,"[""stream=0x0;block=0x790;text=3""]",1,"了解だ。せっせと蜜を運ぶとしよう。
",。うしせだっとぶよを了蜜解運,。うしせだっとぶよを,了蜜解運,71.43%,78.57%,71.43%,100.00%,0.210526,0.034483,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000790,4,,"[""stream=0x0;block=0x790;text=4""]",1,"頼んだぞ、ボス。
",、。ぞだんスボ頼,、。ぞだんスボ頼,,100.00%,75.00%,87.50%,100.00%,0.200000,0.027972,False,FONT_COVERAGE_CANDIDATE,HIGH_VALUE_CANDIDATE,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000A80,0,,"[""stream=0x0;block=0xA80;text=0""]",1,"ちなみに女王蜂は誰になるんだ？
",だちなにはみるん女王蜂誰？,だちなにはみるん女？,王蜂誰,76.92%,76.92%,61.54%,100.00%,0.187500,0.034602,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000A80,1,,"[""stream=0x0;block=0xA80;text=1""]",1,"そうだな？　俺はパスだと思うけどな。
",。うけそだとどなはスパ俺思？,。うけそだとどなはスパ俺思？,,100.00%,85.71%,78.57%,100.00%,0.205882,0.048951,False,FONT_COVERAGE_CANDIDATE,HIGH_VALUE_CANDIDATE,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000A80,2,,"[""stream=0x0;block=0xA80;text=2""]",1,"そうか、俺はストレンジラブ…。
",…、。うかそはジストブラレン俺,…、。うかそはストブラレン俺,ジ,93.33%,93.33%,100.00%,100.00%,0.238095,0.037931,False,NOT_CANDIDATE,,JPN0007
BRIEFING,BRIEFING_FILES_BLOCK_000A80,3,,"[""stream=0x0;block=0xA80;text=3""]",1,"そうだな、セシールもそうかも。
",、。うかそだなもシセルー,、。うかそだなもシセルー,,100.00%,100.00%,100.00%,100.00%,0.272727,0.034722,False,FONT_COVERAGE_CANDIDATE,ORDINARY_CANDIDATE,
BRIEFING,BRIEFING_FILES_BLOCK_000A80,4,,"[""stream=0x0;block=0xA80;text=4""]",1,"いや、アマンダとも云えるかも。
",、。いえかともやるアダマン云,、。いえかともやるダン,アマ云,78.57%,92.86%,85.71%,100.00%,0.212121,0.038062,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000A80,5,,"[""stream=0x0;block=0xA80;text=5""]",1,"スネーク、こうしよう。うちの女王蜂は女性陣みんなだ。
",、。うこしだちなのはみよんクスネー女性王蜂陣,、。うこしだちなのはみよんクスー女,ネ性王蜂陣,77.27%,86.36%,72.73%,100.00%,0.222222,0.054795,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000A80,6,,"[""stream=0x0;block=0xA80;text=6""]",1,"了解。
",。了解,。,了解,33.33%,66.67%,33.33%,100.00%,0.076923,0.003472,False,NOT_CANDIDATE,,JPN0007;JPN000E
BRIEFING,BRIEFING_FILES_BLOCK_000D00,0,,"[""stream=0x0;block=0xD00;text=0""]",1,"スネーク、現地で見つけた捕虜や気絶した傭兵をマザーベ
ースに回収するには、フルトン回収システムを使うんだ。
",、。うけしすただつでにはやるをんクザシステトネフベマムルンー使傭兵収回地捕気現絶虜見,、。うけしすただつでにはやるをんクザシステトムルンー使兵地気現見,ネフベマ傭収回捕絶虜,76.19%,85.71%,76.19%,100.00%,0.183673,0.096990,False,NOT_CANDIDATE,,JPN0007;JPN000E
