file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_V_THEATER020.OLANG,0,0,0,1,,page11:tag:entity9:key00000009:ref0:ord0,,だが 俺達はカネで買われる事になる,時代が俺達の目的を決める,,但我们终究会被金钱买下。,,MATCH,49,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUXILIARY_SEQUENCE_SHIFTED; JPN_TRANSLATED_DIRECTLY
LANG_V_THEATER020.OLANG,1,1,1,1,,page11:tag:entity8:key00000008:ref1:ord0,だが 俺達はカネで買われる事になる,時代が俺達の目的を決める,俺達は『国境なき軍隊』…,,时代决定我们的目的。,,MATCH,36,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUXILIARY_SEQUENCE_SHIFTED; JPN_TRANSLATED_DIRECTLY
LANG_V_THEATER020.OLANG,2,2,2,1,,page11:tag:entity7:key00000007:ref2:ord0,時代が俺達の目的を決める,俺達は『国境なき軍隊』…,そして 持てぬモノ達の “抑止力”となる,,我们是『无国界军队』……,,MATCH,36,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER020.OLANG,3,3,3,1,,page11:tag:entity6:key00000006:ref3:ord0,俺達は『国境なき軍隊』…,そして 持てぬモノ達の “抑止力”となる,俺達は必要とされているからこそ 戦う,,并成为一无所有者的“威慑力”。,,MATCH,56,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER020.OLANG,4,4,4,1,,page11:tag:entity5:key00000005:ref4:ord0,そして 持てぬモノ達の “抑止力”となる,俺達は必要とされているからこそ 戦う,国のためでも 政府のためでもない,,正因为有人需要我们，我们才战斗。,,MATCH,52,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUXILIARY_ADDS_NO_REASON_TO_FIGHT; JPN_WINS
LANG_V_THEATER020.OLANG,5,5,5,1,,page11:tag:entity4:key00000004:ref5:ord0,俺達は必要とされているからこそ 戦う,国のためでも 政府のためでもない,俺達は必要とされる土地へ赴き 俺達のために戦う,,不是为了国家，也不是为了政府。,,MATCH,46,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER020.OLANG,6,6,6,1,,page11:tag:entity3:key00000003:ref6:ord0,国のためでも 政府のためでもない,俺達は必要とされる土地へ赴き 俺達のために戦う,そこには 国も思想も イデオロギーもない,,我们前往需要我们的地方，为我们自己而战。,,MATCH,67,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=AUXILIARY_OMITS_SECOND_CLAUSE; JPN_RESTORED
LANG_V_THEATER020.OLANG,7,7,7,1,,page11:tag:entity2:key00000002:ref7:ord0,俺達は必要とされる土地へ赴き 俺達のために戦う,そこには 国も思想も イデオロギーもない,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ",,那里没有国家，没有思想，也没有意识形态。,,MATCH,56,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1
LANG_V_THEATER020.OLANG,8,8,8,1,,page11:tag:entity15:key0000000F:ref8:ord0,そこには 国も思想も イデオロギーもない,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ","<R=天国,ヘブン>でもあり <R=地獄,ヘル>でもある","<R=『天国の外側』,アウター・ヘブン>","那就是我们的<R=『世外天国』,OUTER HEAVEN>。","<R=『世外天国』,OUTER HEAVEN>",MATCH,71,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=RUBY_DISPLAY_LOCALIZED; CONFIRMED_LATIN_READING_USED
LANG_V_THEATER020.OLANG,9,9,9,1,,page11:tag:entity14:key0000000E:ref9:ord0,"それが俺達の<R=『天国の外側』,アウター・ヘブン>だ","<R=天国,ヘブン>でもあり <R=地獄,ヘル>でもある",ここは俺達にとっては 唯一無二の家,"<R=天国,ヘブン> | <R=地獄,ヘル>","既是<R=天国,HEAVEN>，也是<R=地狱,HELL>。","<R=天国,HEAVEN> | <R=地狱,HELL>",MATCH,62,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=1; review_flag=RUBY_STRUCTURE_PRESERVED; LATIN_READINGS_USED
