file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_MISSION_BLOCK_37B370,0,stream=0x37B000;block=0x370;text=0,"[""stream=0x37B000;block=0x370;text=0""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]",,"スネーク！
拘留していたザドルノフが、またいなくなった。
","ああ。
",[],"Snake！
被拘留的Zadornov又不见了。
",,MATCH,83,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,1,stream=0x37B000;block=0x370;text=1,"[""stream=0x37B000;block=0x370;text=1""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","スネーク！
拘留していたザドルノフが、またいなくなった。
","ああ。
","…スネーク！？
拘留していたザドルノフが、またいなくなった！
",[],"嗯。
",,MATCH,10,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,2,stream=0x37B000;block=0x370;text=2,"[""stream=0x37B000;block=0x370;text=2""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","ああ。
","…スネーク！？
拘留していたザドルノフが、またいなくなった！
","ああ。
",[],"……Snake！？
被拘留的Zadornov又不见了！
",,MATCH,89,54,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,3,stream=0x37B000;block=0x370;text=3,"[""stream=0x37B000;block=0x370;text=3""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","…スネーク！？
拘留していたザドルノフが、またいなくなった！
","ああ。
","お願いだ、聞いてくれ。
拘留していたザドルノフが、またいなくなった。
",[],"嗯。
",,MATCH,10,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,4,stream=0x37B000;block=0x370;text=4,"[""stream=0x37B000;block=0x370;text=4""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","ああ。
","お願いだ、聞いてくれ。
拘留していたザドルノフが、またいなくなった。
","で？
",[],"拜托，听我说。
被拘留的Zadornov又不见了。
",,MATCH,101,58,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,5,stream=0x37B000;block=0x370;text=5,"[""stream=0x37B000;block=0x370;text=5""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","お願いだ、聞いてくれ。
拘留していたザドルノフが、またいなくなった。
","で？
","考えたくはないが…
内通者がいるのかもしれん。
",[],"所以呢？
",,MATCH,7,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,6,stream=0x37B000;block=0x370;text=6,"[""stream=0x37B000;block=0x370;text=6""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","で？
","考えたくはないが…
内通者がいるのかもしれん。
","はあ…。
それにしても奴の目的はなんだ？
",[],"虽然不愿这么想……
但也许有内应。
",,MATCH,68,50,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,7,stream=0x37B000;block=0x370;text=7,"[""stream=0x37B000;block=0x370;text=7""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","考えたくはないが…
内通者がいるのかもしれん。
","はあ…。
それにしても奴の目的はなんだ？
","わからない。ただの抵抗とは思えんしな。
",[],"唉……。
话说回来，那家伙的目的到底是什么？
",,MATCH,59,65,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,8,stream=0x37B000;block=0x370;text=8,"[""stream=0x37B000;block=0x370;text=8""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","はあ…。
それにしても奴の目的はなんだ？
","わからない。ただの抵抗とは思えんしな。
","奴をこれ以上、ここに拘留しておくのも…。
仲間にならないんなら…！
",[],"不知道。不过不像只是单纯在反抗。
",,MATCH,58,49,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
BRIEFING_MISSION_BLOCK_37B370,9,stream=0x37B000;block=0x370;text=9,"[""stream=0x37B000;block=0x370;text=9""]",1,d6070_m0440_mrd,"[""stream=0x37B000;block=0x370;block_file=0x37B370;text_base=0x37B3C4;capacity=880""]","わからない。ただの抵抗とは思えんしな。
","奴をこれ以上、ここに拘留しておくのも…。
仲間にならないんなら…！
","ああ、ロシア出身者達の士気を考えての拘留だったが
…わかった、少し考えてみよう。
",[],"继续把那家伙拘留在这里也……。
如果他不愿成为我们的伙伴……！
",,MATCH,98,92,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES
