file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_MYOUTER_DEVELOP.OLANG,0,0,0;16;147;0;16;147,6,,page23:tag:entity2:key00000A2B:ref0:ord0;page23:tag:entity53:key00BB862F:ref16:ord0;page23:tag:entity202:key00998630:ref147:ord0;page174:tag:entity2:key00000A2B:ref0:ord0;page174:tag:entity53:key00BB862F:ref16:ord0;page174:tag:entity202:key00998630:ref147:ord0,,OK,NG,,确定,,MATCH,2,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6
LANG_MYOUTER_DEVELOP.OLANG,1,1,1;19;150;1;19;150,6,,page23:tag:entity1:key00000A07:ref1:ord0;page23:tag:entity52:key00BB860B:ref19:ord0;page23:tag:entity201:key0099860C:ref150:ord0;page174:tag:entity1:key00000A07:ref1:ord0;page174:tag:entity52:key00BB860B:ref19:ord0;page174:tag:entity201:key0099860C:ref150:ord0,OK,NG,LV.,,NG,,MATCH,2,2,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6; review_flag=FIXED_JPN_STATUS_CODE_PRESERVED; AUX_NA_SUBSTITUTION_REJECTED
LANG_MYOUTER_DEVELOP.OLANG,2,2,2;2,2,,page23:tag:entity0:key000009D6:ref2:ord0;page174:tag:entity0:key000009D6:ref2:ord0,NG,LV.,1ミッション毎の生産数,,LV.,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_DEVELOP.OLANG,3,3,3;3,2,,page23:tag:entity3:key000142ED:ref3:ord0;page174:tag:entity3:key000142ED:ref3:ord0,LV.,1ミッション毎の生産数,生産に必要な班LV,,每次任务生产数量,,MATCH,31,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_DEVELOP.OLANG,4,4,4;4,2,,page23:tag:entity4:key009A46F4:ref4:ord0;page174:tag:entity4:key009A46F4:ref4:ord0,1ミッション毎の生産数,生産に必要な班LV,ITEM SELECTOR,,生产所需班组等级,,MATCH,23,24,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_MYOUTER_DEVELOP.OLANG,5,5,5;5,2,,page23:tag:entity60:key00D73288:ref5:ord0;page174:tag:entity60:key00D73288:ref5:ord0,生産に必要な班LV,ITEM SELECTOR,DEVELOP,,ITEM SELECTOR,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_MYOUTER_DEVELOP.OLANG,6,6,6;70;106;177;6;70;106;177,8,,page23:tag:entity33:key0065D9CA:ref6:ord0;page23:tag:entity84:key0065D9CA:ref70:ord0;page23:tag:entity115:key0065D9CA:ref106:ord0;page23:tag:entity180:key0065D9CA:ref177:ord0;page174:tag:entity33:key0065D9CA:ref6:ord0;page174:tag:entity84:key0065D9CA:ref70:ord0;page174:tag:entity115:key0065D9CA:ref106:ord0;page174:tag:entity180:key0065D9CA:ref177:ord0,ITEM SELECTOR,DEVELOP,OTHERS,,DEVELOP,,MATCH,7,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=8; review_flag=JPN_MENU_LABEL_LOCALIZED; AUX_R&D_SUBSTITUTION_NOT_USED; JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_MYOUTER_DEVELOP.OLANG,7,7,7;110;7;110,4,,page23:tag:entity55:key00BC6E29:ref7:ord0;page23:tag:entity106:key00031288:ref110:ord0;page174:tag:entity55:key00BC6E29:ref7:ord0;page174:tag:entity106:key00031288:ref110:ord0,DEVELOP,OTHERS,ITEM,,OTHERS,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_MYOUTER_DEVELOP.OLANG,8,8,8;111;8;111,4,,page23:tag:entity54:key00BB9308:ref8:ord0;page23:tag:entity111:key00618ACD:ref111:ord0;page174:tag:entity54:key00BB9308:ref8:ord0;page174:tag:entity111:key00618ACD:ref111:ord0,OTHERS,ITEM,SORT,,ITEM,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=4; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_MYOUTER_DEVELOP.OLANG,9,9,9;72;179;9;72;179,6,,page23:tag:entity9:key00177F93:ref9:ord0;page23:tag:entity71:key00177F93:ref72:ord0;page23:tag:entity145:key00177F93:ref179:ord0;page174:tag:entity9:key00177F93:ref9:ord0;page174:tag:entity71:key00177F93:ref72:ord0;page174:tag:entity145:key00177F93:ref179:ord0,ITEM,SORT,WEIGHT,,SORT,,MATCH,4,4,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=6; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
