file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
00D345A5,0,4,4,1,,page:tag:entity1:key00000163:ref4:ord4,,"ティガレックス
強靭な肉体を持ちその鋭い牙はなにものをも噛み砕く。
まさに絶対的強者。その突進をとめられる者はいない。
怒らせたら最後、ハンターは死を覚悟するしかないだろう。

<I=CPY>CAPCOM CO., LTD.","リオレウス
空の王者の異名を持つ、飛竜。
その異名に恥じない空中からの攻撃を得意とする。
空中からのブレスや爪攻撃に耐えられる者はいない。

<I=CPY>CAPCOM CO., LTD.",<I=CPY>,"轰龙
拥有强韧的肉体，锋利的獠牙能咬碎一切。
堪称绝对的强者。没有任何东西能阻挡它的冲锋。
一旦将它激怒，猎人恐怕只能做好死亡的觉悟。

<I=CPY>CAPCOM CO., LTD.",<I=CPY>,MATCH,280,220,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=JPN_PRIMARY_MONSTER_DESCRIPTION;AUX_FREE_EXPANSION_TIGHTENED
00D345A5,1,10,10,1,,page:tag:entity0:key00000162:ref10:ord4,"ティガレックス
強靭な肉体を持ちその鋭い牙はなにものをも噛み砕く。
まさに絶対的強者。その突進をとめられる者はいない。
怒らせたら最後、ハンターは死を覚悟するしかないだろう。

<I=CPY>CAPCOM CO., LTD.","リオレウス
空の王者の異名を持つ、飛竜。
その異名に恥じない空中からの攻撃を得意とする。
空中からのブレスや爪攻撃に耐えられる者はいない。

<I=CPY>CAPCOM CO., LTD.","サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態で<I=×>を押す（“DROP”する）と設置。",<I=CPY>,"雄火龙
有“天空之王”别称的飞龙。
擅长从空中发动无愧于这一称号的攻击。
没有人能承受它从空中喷出的吐息和利爪攻击。

<I=CPY>CAPCOM CO., LTD.",<I=CPY>,MATCH,226,193,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=JPN_PRIMARY_MONSTER_DESCRIPTION
00D345A5,2,16,16,1,,page:tag:entity8:key00000060:ref16:ord4,"リオレウス
空の王者の異名を持つ、飛竜。
その異名に恥じない空中からの攻撃を得意とする。
空中からのブレスや爪攻撃に耐えられる者はいない。

<I=CPY>CAPCOM CO., LTD.","サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態で<I=×>を押す（“DROP”する）と設置。","敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。",<I=×>,"大型纸箱。看起来能容纳两个人左右。
打开装备窗口，选中后按<I=×>
（执行“DROP”）即可放置。",<I=×>,MATCH,183,129,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=CONTROL_PRESERVED
00D345A5,3,22,22;28,2,,page:tag:entity7:key0000005C:ref22:ord4;page:tag:entity6:key0000005B:ref28:ord4,"サイズの大きなダンボール箱。二人くらいは
入れそう。装備品ウインドウを開き、選択した
状態で<I=×>を押す（“DROP”する）と設置。","敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。","敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。",,"敌情解析装置。
经改良后，解析精度、搜索速度
和搜索距离均有所提升。",,MATCH,110,98,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2; review_flag=JPN_PRIMARY_ITEM_DESCRIPTION
00D345A5,4,34,34;40,2,,page:tag:entity5:key0000005A:ref34:ord4;page:tag:entity4:key00000059:ref40:ord4,"敵情報解析装置。
改良により、解析精度、サーチ速度、
サーチ距離が向上した。","敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。","高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。",,"敌情解析装置。
经改良后，搜索速度
和搜索距离均有所提升。",,MATCH,95,83,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2; review_flag=AUX_MULTIVARIANT_CONTAINS_UNRELATED_STA_BEHAVIOR;JPN_TRANSLATED_DIRECTLY
00D345A5,5,46,46,1,,page:tag:entity3:key00000057:ref46:ord4,"敵情報解析装置。
改良により、サーチ速度、
サーチ距離が向上した。","高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。","鋼鉄のワイヤーで出来た糸鋸。
LT、RTを交互に押すことで
物体を切断する。",<I=ATK>,"高品质旁轴取景相机。
装备后可通过取景器观察，
按<I=ATK>释放快门。",<I=ATK>,MATCH,132,93,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=CONTROL_PRESERVED
00D345A5,6,52,52,1,,page:tag:entity2:key00000054:ref52:ord4,"高品質レンジファインダーカメラ。
装備するとファインダーを覗き、
<I=ATK>でシャッターを切る。","鋼鉄のワイヤーで出来た糸鋸。
LT、RTを交互に押すことで
物体を切断する。","『ネイキッド』時のパンツ迷彩柄バリエーション。
色味の近い環境にいると、カムフラ率が向上するが
ジャケットも着用している時に比べ効果は半減する。",,"由钢丝制成的钢丝锯。
交替按LT、RT
即可切断物体。",,MATCH,102,69,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1; review_flag=AUX_OMITS_CUT_OBJECTS_SEMANTIC;JPN_TRANSLATED_DIRECTLY
00D345A5,7,58,58;64,2,,page:tag:entity16:key0000018B:ref58:ord4;page:tag:entity15:key00000184:ref64:ord4,"鋼鉄のワイヤーで出来た糸鋸。
LT、RTを交互に押すことで
物体を切断する。","『ネイキッド』時のパンツ迷彩柄バリエーション。
色味の近い環境にいると、カムフラ率が向上するが
ジャケットも着用している時に比べ効果は半減する。","『野戦服』のカラーバリエーション。
色味の近い環境にいると、カムフラ率が向上する。",,"“NAKED”状态下的内裤迷彩图案款式。
处于颜色相近的环境时，伪装率会提高，
但效果只有同时穿着夹克时的一半。",,MATCH,212,154,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=2; review_flag=CAMO_TERM_REVIEW
00D345A5,8,70,70,1,,page:tag:entity14:key00000168:ref70:ord4,"『ネイキッド』時のパンツ迷彩柄バリエーション。
色味の近い環境にいると、カムフラ率が向上するが
ジャケットも着用している時に比べ効果は半減する。","『野戦服』のカラーバリエーション。
色味の近い環境にいると、カムフラ率が向上する。","防弾素材で作られた盾（色付き）。
改良により耐久性が向上した。",,"“野战服”的配色款式。
处于颜色相近的环境时，伪装率会提高。",,MATCH,121,88,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=1
00D345A5,9,76,76;82;88;94,4,,page:tag:entity13:key0000008A:ref76:ord4;page:tag:entity12:key00000089:ref82:ord4;page:tag:entity11:key00000088:ref88:ord4;page:tag:entity10:key00000087:ref94:ord4,"『野戦服』のカラーバリエーション。
色味の近い環境にいると、カムフラ率が向上する。","防弾素材で作られた盾（色付き）。
改良により耐久性が向上した。","防弾素材で作られた盾（色付き）。
構えボタンで使用。
装備している武器によって、
防護する方向が変わる。",,"由防弹材料制成的盾牌（彩色）。
经改良后耐久性有所提升。",,MATCH,91,82,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=LOOSE_OLANG; source_objects=4
