file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B01CD,0,0,0,1,,page2086:tag8:entity0:key00000000:ref0:ord0,,スネーク！　森に入る 気をつけろ,ピースウォーカーが行ってしまう！,,Snake！　要进入森林了 小心点,,MATCH,46,39,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_IDEOGRAPHIC_SPACE_AFTER_NAME_AND_INTERNAL_ASCII_SPACE_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED
5D3B01CD,1,1,1,1,,page2086:tag8:entity4:key00000003:ref1:ord0,スネーク！　森に入る 気をつけろ,ピースウォーカーが行ってしまう！,△ボタンを連打するんだ！,,Peace Walker要跑掉了！,,MATCH,48,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=PEACE_WALKER_FIXED_NAME_PRESERVED; JPN_ESCAPE_SEMANTICS_PRESERVED
5D3B01CD,2,2,2,1,,page2086:tag8:entity3:key00000002:ref2:ord0,ピースウォーカーが行ってしまう！,△ボタンを連打するんだ！,ダメだ 見失う,,连续按△按钮！,,MATCH,36,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_LITERAL_TRIANGLE_GLYPH_PRESERVED; AUX_ADDED_I_CONTROL_REJECTED_BECAUSE_JPN_HAS_NO_CONTROL
5D3B01CD,3,3,3,1,,page2086:tag8:entity2:key00000001:ref3:ord0,△ボタンを連打するんだ！,ダメだ 見失う,ピースウォーカーを追え！,,不行 要跟丢了,,MATCH,19,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
5D3B01CD,4,4,4,1,,page2086:tag8:entity1:key00000000:ref4:ord0,ダメだ 見失う,ピースウォーカーを追え！,帰れ！,,追上Peace Walker！,,MATCH,36,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=PEACE_WALKER_FIXED_NAME_PRESERVED; JPN_DIRECT_CHASE_COMMAND_PRESERVED
5D3B01CD,5,5,5,1,,page2086:tag8:entity5:key00000000:ref5:ord0,ピースウォーカーを追え！,帰れ！,"スネーク その先は<R=国境,ニカラグア>だ！ ",,回去！,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_GENERIC_RETURN_COMMAND_PRESERVED; AUX_GO_HOME_NARROWING_REJECTED
5D3B01CD,6,6,6,1,,page2086:tag8:entity9:key00000003:ref6:ord0,帰れ！,"スネーク その先は<R=国境,ニカラグア>だ！ ",まずい… 見ろ！,"<R=国境,ニカラグア>","Snake 前面就是<R=边境,NICARAGUA>！ ","<R=边境,NICARAGUA>",MATCH,58,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=RUBY_COUNT_ORDER_PRESERVED; JPN_INTERNAL_AND_TRAILING_ASCII_SPACES_PRESERVED; DISPLAY_LOCALIZED_AND_NICARAGUA_READING_LATINIZED
5D3B01CD,7,7,7,1,,page2086:tag8:entity8:key00000002:ref7:ord0,"スネーク その先は<R=国境,ニカラグア>だ！ ",まずい… 見ろ！,"ここまでだ <R=BIGBOSS,ビッグボス> ",,不妙… 看！,,MATCH,22,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SINGLE_ELLIPSIS_INTERNAL_ASCII_SPACE_AND_EXCLAMATION_PRESERVED
5D3B01CD,8,8,8,1,,page2086:tag8:entity7:key00000001:ref8:ord0,まずい… 見ろ！,"ここまでだ <R=BIGBOSS,ビッグボス> ",間もなく 国境です,"<R=BIGBOSS,ビッグボス>","到此为止了 <R=BIGBOSS,BIG BOSS> ","<R=BIGBOSS,BIG BOSS>",MATCH,44,37,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=RUBY_COUNT_ORDER_PRESERVED; JPN_INTERNAL_AND_TRAILING_ASCII_SPACES_PRESERVED; AUX_SEE_YOU_AROUND_SUBSTITUTION_REJECTED
5D3B01CD,9,9,9,1,,page2086:tag8:entity6:key00000000:ref9:ord0,"ここまでだ <R=BIGBOSS,ビッグボス> ",間もなく 国境です,,,即将抵达 边境,,MATCH,25,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_NO_TERMINAL_PUNCTUATION_PRESERVED
