file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7C72AD,0,,,,,record0:segment0:timing0-0,,"<R= F S L N ,サンディニスタ>の兵士が\n捕虜になっているかもしれない 注意するんだ",捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,"<R= F S L N ,サンディニスタ>","<R= F S L N ,SANDINISTA>的士兵\n可能被俘了，小心。","<R= F S L N ,SANDINISTA>",MATCH,110,62,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,1,,,,,record1:segment0:timing78-106,"<R= F S L N ,サンディニスタ>の兵士が\n捕虜になっているかもしれない 注意するんだ",捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,フルトン回収だ,<I=ACT>,在俘虏面前按<I=ACT>，\n就能把他送回母基地。,<I=ACT>,MATCH,63,60,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,2,,,,,record1:segment1:timing0-0,捕虜の前で<I=ACT>を押せば\nマザーに移送出来る,フルトン回収だ,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,,用富尔顿回收。,,MATCH,21,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,3,,,,,record2:segment0:timing0-0,フルトン回収だ,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,,要回收俘虏，\n先装备富尔顿回收系统。,,MATCH,86,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,4,,,,,record3:segment0:timing0-0,捕虜を回収するには\nまずフルトン回収システムを装備するんだ,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,<I=EQUIPWINDOW> | <I=MOVE>,按住<I=EQUIPWINDOW>，\n用<I=MOVE>左右选择装备。,<I=EQUIPWINDOW> | <I=MOVE>,MATCH,73,58,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,5,,,,,record4:segment0:timing105-176,装備品選択は<I=EQUIPWINDOW>を押しながら\n<I=MOVE>の左右だ,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,それから<I=MOVE>の左右で選べばいい,<I=EQUIPWINDOW>,要选择装备，就一直按住<I=EQUIPWINDOW>。,<I=EQUIPWINDOW>,MATCH,70,51,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,6,,,,,record4:segment1:timing0-0,装備品を選ぶには <I=EQUIPWINDOW>を押しっぱなしにする,それから<I=MOVE>の左右で選べばいい,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,<I=MOVE>,然后用<I=MOVE>左右选择。,<I=MOVE>,MATCH,47,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,7,,,,,record5:segment0:timing0-0,それから<I=MOVE>の左右で選べばいい,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,バルーンがあればマザーに移送出来るんだが…,<I=EQUIPWINDOW> | <I=MOVE>,选择装备时，按住<I=EQUIPWINDOW>，\n再用<I=MOVE>左右选择。,<I=EQUIPWINDOW> | <I=MOVE>,MATCH,78,73,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,8,,,,,record6:segment0:timing0-0,装備品を選ぶには <I=EQUIPWINDOW>を押しながら<I=MOVE>の左右だ,バルーンがあればマザーに移送出来るんだが…,反対側へ抜けるには 選別所の中を通らなくては…,,有气球的话就能送回母基地……,,MATCH,63,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7C72AD,9,,,,,record7:segment0:timing0-0,バルーンがあればマザーに移送出来るんだが…,反対側へ抜けるには 選別所の中を通らなくては…,そのあたりにはキジマドクチョウがいるみたい,,要去对面，必须穿过分拣区……,,MATCH,67,42,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
