file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DEEEA4A,0,0,0,1,,page16:tag2:entity7:key00F54675:ref0:ord0,,数字,ルール,,数字,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,1,1,1,1,,page16:tag2:entity6:key00F54674:ref1:ord0,数字,ルール,返答,,规则,,MATCH,9,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,2,2,2,1,,page16:tag2:entity5:key00F54673:ref2:ord0,ルール,返答,アピール,,回应,,MATCH,6,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,3,3,3,1,,page16:tag2:entity4:key00F54672:ref3:ord0,返答,アピール,ひとこと,,感叹,,MATCH,12,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,4,4,4,1,,page16:tag2:entity3:key00F54671:ref4:ord0,アピール,ひとこと,呼びかけ,,短消息,,MATCH,12,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,5,5,5,1,,page16:tag2:entity2:key00F54670:ref5:ord0,ひとこと,呼びかけ,ゲームについて,,呼叫,,MATCH,12,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,6,6,6,1,,page16:tag2:entity1:key00F5466F:ref6:ord0,呼びかけ,ゲームについて,あいさつ,,关于游戏,,MATCH,21,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,7,7,7,1,,page16:tag2:entity0:key00F5466E:ref7:ord0,ゲームについて,あいさつ,またね,,问候,,MATCH,12,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,8,8,8,1,,page16:tag2:entity15:key00D8EA2B:ref8:ord0,あいさつ,またね,おつかれさま,,回头见,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5DEEEA4A,9,9,9,1,,page16:tag2:entity14:key00D8EA2A:ref9:ord0,またね,おつかれさま,そろそろ帰ります,,辛苦了,,MATCH,18,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
