file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_BRIEFING.OLANG,0,0,0;0,2,,page7:tag:entity23:key00BE55EF:ref0:ord0;page174:tag:entity23:key00BE55EF:ref0:ord0,,BRIEFING FILES,・,,简报文件,,MATCH,14,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,1,1,1;1,2,,page7:tag:entity14:key006CFDA1:ref1:ord0;page174:tag:entity14:key006CFDA1:ref1:ord0,BRIEFING FILES,・,このミッションについて$1$2,,・,,MATCH,3,3,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=UI_SEPARATOR_PRESERVED
LANG_BRIEFING.OLANG,2,2,2;2,2,,page7:tag:entity13:key005CB77E:ref2:ord0;page174:tag:entity13:key005CB77E:ref2:ord0,・,このミッションについて$1$2,ファイルライブラリ$1$2,$1 | $2,关于本次任务$1$2,$1 | $2,MATCH,37,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=CONTROL_TOKENS_PRESERVED; JPN_PRIMARY
LANG_BRIEFING.OLANG,3,3,3;3,2,,page7:tag:entity0:key0006DFC8:ref3:ord0;page174:tag:entity0:key0006DFC8:ref3:ord0,このミッションについて$1$2,ファイルライブラリ$1$2,NEXT,$1 | $2,文件库$1$2,$1 | $2,MATCH,31,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=CONTROL_TOKENS_PRESERVED; JPN_PRIMARY
LANG_BRIEFING.OLANG,4,4,4;4,2,,page7:tag:entity21:key00B4BBE3:ref4:ord0;page174:tag:entity21:key00B4BBE3:ref4:ord0,ファイルライブラリ$1$2,NEXT,スキップ：,,下一步,,MATCH,4,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,5,5,5;5,2,,page7:tag:entity22:key00B5B581:ref5:ord0;page174:tag:entity22:key00B5B581:ref5:ord0,NEXT,スキップ：,保存：　保存せず終了：,,跳过：,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,6,6,6;6,2,,page7:tag:entity10:key002DFD93:ref6:ord0;page174:tag:entity10:key002DFD93:ref6:ord0,スキップ：,保存：　保存せず終了：,ザドルノフ,,保存：　不保存退出：,,MATCH,33,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=FULLWIDTH_SEPARATOR_SPACE_PRESERVED; JPN_PRIMARY
LANG_BRIEFING.OLANG,7,7,7;7,2,,page7:tag:entity16:key007C8CCB:ref7:ord0;page174:tag:entity16:key007C8CCB:ref7:ord0,保存：　保存せず終了：,ザドルノフ,女性２,,Zadornov,,MATCH,15,8,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PROPER_NAME_LATIN_PRESERVED
LANG_BRIEFING.OLANG,8,8,8;8,2,,page7:tag:entity18:key0081A65E:ref8:ord0;page174:tag:entity18:key0081A65E:ref8:ord0,ザドルノフ,女性２,女性１,,女性2,,MATCH,9,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,9,9,9;9,2,,page7:tag:entity17:key0081A65D:ref9:ord0;page174:tag:entity17:key0081A65D:ref9:ord0,女性２,女性１,UNKNOWN,,女性1,,MATCH,9,7,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,10,10,10;10,2,,page7:tag:entity3:key001B585C:ref10:ord0;page174:tag:entity3:key001B585C:ref10:ord0,女性１,UNKNOWN,ストレンジラブ,,未知,,MATCH,7,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=AUX_CORROBORATED; JPN_PRIMARY
LANG_BRIEFING.OLANG,11,11,11;11,2,,page7:tag:entity4:key00201843:ref11:ord0;page174:tag:entity4:key00201843:ref11:ord0,UNKNOWN,ストレンジラブ,スネーク＆ミラー,,Strangelove,,MATCH,21,11,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PROPER_NAME_LATIN_PRESERVED
LANG_BRIEFING.OLANG,12,12,12;12,2,,page7:tag:entity20:key009F57BB:ref12:ord0;page174:tag:entity20:key009F57BB:ref12:ord0,ストレンジラブ,スネーク＆ミラー,スネーク,,Snake＆Miller,,MATCH,24,14,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PROPER_NAMES_LATIN_PRESERVED
LANG_BRIEFING.OLANG,13,13,13;13,2,,page7:tag:entity7:key00235E68:ref13:ord0;page174:tag:entity7:key00235E68:ref13:ord0,スネーク＆ミラー,スネーク,パス,,Snake,,MATCH,12,5,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=PROPER_NAME_LATIN_PRESERVED
