file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
LANG_STAGETELOP.OLANG,0,0,0;0,2,,page156:tag:entity0:key00C0CE51:ref0:ord0;page168:tag:entity0:key00C0CE51:ref0:ord0,,LOADING POINT,MSF基地,,LOADING POINT,,MATCH,13,13,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=FIXED_UI_LABEL_PRESERVED
LANG_STAGETELOP.OLANG,1,1,1;1,2,,page156:tag:entity1:key0008F1C2:ref1:ord0;page168:tag:entity1:key0008F1C2:ref1:ord0,LOADING POINT,MSF基地,NEXT AREA [ MSF BASE ],,MSF基地,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_STAGETELOP.OLANG,2,2,2;2,2,,page156:tag:entity2:key0012A0D1:ref2:ord0;page168:tag:entity2:key0012A0D1:ref2:ord0,MSF基地,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,,NEXT AREA [ MSF BASE ],,MATCH,22,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_STAGETELOP.OLANG,3,3,3;3,2,,page156:tag:entity3:key0008F1C2:ref3:ord0;page168:tag:entity3:key0008F1C2:ref3:ord0,NEXT AREA [ MSF BASE ],プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],,破晓海滩,,MATCH,30,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_STAGETELOP.OLANG,4,4,4;4,2,,page156:tag:entity4:key0012A0D1:ref4:ord0;page168:tag:entity4:key0012A0D1:ref4:ord0,プラヤ・デル・アルバ,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,,NEXT AREA [ PLAYA DEL ALBA ],,MATCH,28,28,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_STAGETELOP.OLANG,5,5,5;5,2,,page156:tag:entity5:key0008F1C2:ref5:ord0;page168:tag:entity5:key0008F1C2:ref5:ord0,NEXT AREA [ PLAYA DEL ALBA ],ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],,破晓森林,,MATCH,30,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_STAGETELOP.OLANG,6,6,6;6,2,,page156:tag:entity6:key0012A0D1:ref6:ord0;page168:tag:entity6:key0012A0D1:ref6:ord0,ボスケ・デル・アルバ,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,,NEXT AREA [ BOSQUE DEL ALBA ],,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_STAGETELOP.OLANG,7,7,7;7,2,,page156:tag:entity7:key0008F1C2:ref7:ord0;page168:tag:entity7:key0008F1C2:ref7:ord0,NEXT AREA [ BOSQUE DEL ALBA ],プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],,破晓港,,MATCH,33,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
LANG_STAGETELOP.OLANG,8,8,8;8,2,,page156:tag:entity8:key0012A0D1:ref8:ord0;page168:tag:entity8:key0012A0D1:ref8:ord0,プエルト・デル・アルバ,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,,NEXT AREA [ PUERTO DEL ALBA ],,MATCH,29,29,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2; review_flag=JPN_ASCII_UI_PRESERVED; MLG_CN_RETAINS_ASCII; UI_FONT_COMPATIBILITY_FIX_2026-09-09
LANG_STAGETELOP.OLANG,9,9,9;9,2,,page156:tag:entity9:key0008F1C2:ref9:ord0;page168:tag:entity9:key0008F1C2:ref9:ord0,NEXT AREA [ PUERTO DEL ALBA ],エル・セナガル / ジャングル,NEXT AREA [ EL CENAGAL: JUNGLE ],,泥沼：丛林,,MATCH,39,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2
