file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
BRIEFING_FILES_BLOCK_00A8A0,0,stream=0xA000;block=0x8A0;text=0,"[""stream=0xA000;block=0x8A0;text=0""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]",,"スネーク、スペイン語はどこで？
","<R=国防総省外国語学校,DLI>だ。お前は。
",[],Snake，你的西班牙语是在哪儿学的？,,MATCH,46,47,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,1,stream=0xA000;block=0x8A0;text=1,"[""stream=0xA000;block=0x8A0;text=1""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","スネーク、スペイン語はどこで？
","<R=国防総省外国語学校,DLI>だ。お前は。
","俺は独学だよ。挨拶程度なら以前も出来たが、ある程度込
み入った会話をこなせるようになったのはコロンビアに来
てからだな。
","[""<R=国防総省外国語学校,DLI>""]","在<R=国防部语言学院,DLI>。你呢？","<R=国防部语言学院,DLI>",MATCH,54,44,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE;RUBY_LOCALIZED
BRIEFING_FILES_BLOCK_00A8A0,2,stream=0xA000;block=0x8A0;text=2,"[""stream=0xA000;block=0x8A0;text=2""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","<R=国防総省外国語学校,DLI>だ。お前は。
","俺は独学だよ。挨拶程度なら以前も出来たが、ある程度込
み入った会話をこなせるようになったのはコロンビアに来
てからだな。
","そうか。よし、では質問だ。『ゲリラ』の正確な意味は何
だ、答えてみろ。
",[],"我自学的。以前也就会打打招呼，
直到来了哥伦比亚，才开始能应付稍微复杂点的对话。",,MATCH,177,118,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,3,stream=0xA000;block=0x8A0;text=3,"[""stream=0xA000;block=0x8A0;text=3""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","俺は独学だよ。挨拶程度なら以前も出来たが、ある程度込
み入った会話をこなせるようになったのはコロンビアに来
てからだな。
","そうか。よし、では質問だ。『ゲリラ』の正確な意味は何
だ、答えてみろ。
","意味？　語源のことか？　スペイン語の発音では『ゲリリ
ャ』、『小さな戦争』だ。戦争を意味する『Guerra』に　
縮小辞が付いた派生語だな。
",[],这样啊。好，那我问你。「guerrilla」准确是什么意思？答答看。,,MATCH,104,84,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,4,stream=0xA000;block=0x8A0;text=4,"[""stream=0xA000;block=0x8A0;text=4""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","そうか。よし、では質問だ。『ゲリラ』の正確な意味は何
だ、答えてみろ。
","意味？　語源のことか？　スペイン語の発音では『ゲリリ
ャ』、『小さな戦争』だ。戦争を意味する『Guerra』に　
縮小辞が付いた派生語だな。
","よし正解。言葉としては一般名詞だが、こいつが特別な意
味を持つようになるのは…さて、いつからだ、ミラー学生。
",[],"意思？你是问词源吗？
按西班牙语发音是「guerrilla」，意思是「小型战争」。
它是表示战争的「guerra」加上指小后缀派生出来的。",,MATCH,195,173,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,5,stream=0xA000;block=0x8A0;text=5,"[""stream=0xA000;block=0x8A0;text=5""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","意味？　語源のことか？　スペイン語の発音では『ゲリリ
ャ』、『小さな戦争』だ。戦争を意味する『Guerra』に　
縮小辞が付いた派生語だな。
","よし正解。言葉としては一般名詞だが、こいつが特別な意
味を持つようになるのは…さて、いつからだ、ミラー学生。
","学生はよしてくれ、スネーク。自衛隊のレンジャー課程を
思い出しちまう。答は<R=半島戦争,スペイン独立戦争>…だったかな。
",[],"答对了。这个词本来只是普通名词，不过它开始具有特殊含义，
是从什么时候起呢……来，米勒同学？",,MATCH,161,136,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,6,stream=0xA000;block=0x8A0;text=6,"[""stream=0xA000;block=0x8A0;text=6""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","よし正解。言葉としては一般名詞だが、こいつが特別な意
味を持つようになるのは…さて、いつからだ、ミラー学生。
","学生はよしてくれ、スネーク。自衛隊のレンジャー課程を
思い出しちまう。答は<R=半島戦争,スペイン独立戦争>…だったかな。
","正解だ。欧州近代史のクラスをさぼらなかったと見える。
","[""<R=半島戦争,スペイン独立戦争>""]","别叫我同学了，Snake。搞得我想起自卫队的游骑兵课程。
答案是<R=半岛战争,西班牙独立战争>……对吧？","<R=半岛战争,西班牙独立战争>",MATCH,172,137,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE;RUBY_LOCALIZED
BRIEFING_FILES_BLOCK_00A8A0,7,stream=0xA000;block=0x8A0;text=7,"[""stream=0xA000;block=0x8A0;text=7""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","学生はよしてくれ、スネーク。自衛隊のレンジャー課程を
思い出しちまう。答は<R=半島戦争,スペイン独立戦争>…だったかな。
","正解だ。欧州近代史のクラスをさぼらなかったと見える。
","1808年に始まった半島戦争で、スペイン人がフランス帝
国軍に抵抗する際採った戦術をさして使われたのが、この
言葉の由来とされている。
",[],正确。看来你没逃欧洲近代史的课。,,MATCH,79,48,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,8,stream=0xA000;block=0x8A0;text=8,"[""stream=0xA000;block=0x8A0;text=8""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","正解だ。欧州近代史のクラスをさぼらなかったと見える。
","1808年に始まった半島戦争で、スペイン人がフランス帝
国軍に抵抗する際採った戦術をさして使われたのが、この
言葉の由来とされている。
","しかし…そうか、『小さな戦争』。教科書で『Guerrilla』
って単語をみてもまるでピンと来なかったもんだが、母語
で単語を聞けばイメージが鮮明になる。
",[],"据说这个词的由来，是1808年爆发的半岛战争中，
用来指西班牙人抵抗法兰西帝国军时采用的战术。",,MATCH,190,131,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
BRIEFING_FILES_BLOCK_00A8A0,9,stream=0xA000;block=0x8A0;text=9,"[""stream=0xA000;block=0x8A0;text=9""]",1,BRIEFING FILES,"[""stream=0xA000;block=0x8A0;block_file=0xA8A0;text_base=0xA8FC;capacity=1720""]","1808年に始まった半島戦争で、スペイン人がフランス帝
国軍に抵抗する際採った戦術をさして使われたのが、この
言葉の由来とされている。
","しかし…そうか、『小さな戦争』。教科書で『Guerrilla』
って単語をみてもまるでピンと来なかったもんだが、母語
で単語を聞けばイメージが鮮明になる。
","確かにな。ゲリラ戦とはまさに小規模な戦争そのものだ。
",[],"不过……原来是「小型战争」。教科书里看到「Guerrilla」这个
词时完全没感觉，可按它原本的语言一听，概念立刻就清楚了。",,MATCH,210,166,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES; review_flag=JPN_DIRECT_TRANSLATION;NO_RELIABLE_AUX_REFERENCE
