file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3B01AD,0,0,0,1,,page2086:tag2:entity9:key00000009:ref0:ord0,,夜が明ける…,スネーク ピースウォーカーを逃がすな！,,天要亮了…,,MATCH,18,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_SINGLE_ELLIPSIS_PRESERVED; AUX_DOUBLE_ELLIPSIS_NOT_IMPORTED
5D3B01AD,1,1,1,1,,page2086:tag2:entity8:key00000008:ref1:ord0,夜が明ける…,スネーク ピースウォーカーを逃がすな！,"大事な<R=依頼人,クライアント>だ",,Snake 别让Peace Walker逃掉！,,MATCH,55,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_PRESERVED; PEACE_WALKER_FIXED_NAME_PRESERVED; SHIFTED_AUX_GO_REJECTED
5D3B01AD,2,2,2,1,,page2086:tag2:entity7:key00000007:ref2:ord0,スネーク ピースウォーカーを逃がすな！,"大事な<R=依頼人,クライアント>だ",わかってる,"<R=依頼人,クライアント>","是重要的<R=委托人,CLIENT>","<R=委托人,CLIENT>",MATCH,44,32,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=RUBY_COUNT_ORDER_PRESERVED; DISPLAY_LOCALIZED_FROM_依頼人; CLIENT_READING_LATINIZED; SHIFTED_AUX_DAY_DAWNING_REJECTED
5D3B01AD,3,3,3,1,,page2086:tag2:entity6:key00000006:ref3:ord0,"大事な<R=依頼人,クライアント>だ",わかってる,頼む,,我知道,,MATCH,15,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CURRENT_JPN_ACKNOWLEDGEMENT_PRESERVED; SHIFTED_AUX_SNAKE_LINE_REJECTED
5D3B01AD,4,4,4,1,,page2086:tag2:entity5:key00000005:ref4:ord0,わかってる,頼む,ハインドにはパスも乗っている,,拜托了,,MATCH,6,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_BRIEF_REQUEST_TONE_PRESERVED; SHIFTED_AUX_CLIENT_SENTENCE_REJECTED
5D3B01AD,5,5,5,1,,page2086:tag2:entity4:key00000004:ref5:ord0,頼む,ハインドにはパスも乗っている,こいつならまだ30は出る,,Paz也在Hind上,,MATCH,42,16,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_PAZ_AND_HIND_IDENTITIES_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED
5D3B01AD,6,6,6,1,,page2086:tag2:entity3:key00000003:ref6:ord0,ハインドにはパスも乗っている,こいつならまだ30は出る,ピースウォーカーの推定最高速度は平地で25マイルだ,,这家伙还能跑到30,,MATCH,32,23,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CHASE_SPEED_CONTEXT_FROM_NEIGHBORING_JPN_USED; AUX_30_REPETITIONS_MISINTERPRETATION_REJECTED; SOURCE_OMITS_UNIT
5D3B01AD,7,7,7,1,,page2086:tag2:entity2:key00000002:ref7:ord0,こいつならまだ30は出る,ピースウォーカーの推定最高速度は平地で25マイルだ,行け！,,Peace Walker在平地的估计最高速度为25英里,,MATCH,71,53,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_LEVEL_GROUND_25_MILES_SPEED_SEMANTICS_PRESERVED; PEACE_WALKER_IDENTITY_PRESERVED
5D3B01AD,8,8,8,1,,page2086:tag2:entity10:key0000000A:ref8:ord0,ピースウォーカーの推定最高速度は平地で25マイルだ,行け！,まだ近い！,,走！,,MATCH,9,6,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_DIRECT_GO_COMMAND_PRESERVED
5D3B01AD,9,9,9,1,,page2086:tag2:entity1:key00000001:ref9:ord0,行け！,まだ近い！,いたぞ,,还很近！,,MATCH,15,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=CURRENT_JPN_PROXIMITY_SEMANTICS_PRESERVED; SHIFTED_AUX_SPEED_LINE_REJECTED
5D3B01AD,10,10,10,1,,page2086:tag2:entity0:key00000000:ref10:ord0,まだ近い！,いたぞ,,,在那里,,MATCH,9,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_DISCOVERY_SEMANTICS_PRESERVED; NO_TERMINAL_PUNCTUATION_ADDED; SHIFTED_AUX_COMBINED_LINE_REJECTED
