file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
1C7AF2AD,0,,,,,record0:segment0:timing0-0,,拠点敷地内に入ったな,警備が多い 油断するな,,已经进入据点范围了。,,MATCH,30,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,1,,,,,record1:segment0:timing0-0,拠点敷地内に入ったな,警備が多い 油断するな,目標地点は東の建物だ,,守卫很多，别大意。,,MATCH,31,27,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,2,,,,,record2:segment0:timing0-0,警備が多い 油断するな,目標地点は東の建物だ,東の建物を目指せ 拠点情報を得るんだ,,目标地点是东边的建筑。,,MATCH,30,33,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,3,,,,,record3:segment0:timing0-0,目標地点は東の建物だ,東の建物を目指せ 拠点情報を得るんだ,敷地東部の施設に入るんだ,,前往东边的建筑，获取据点情报。,,MATCH,52,45,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,4,,,,,record4:segment0:timing0-0,東の建物を目指せ 拠点情報を得るんだ,敷地東部の施設に入るんだ,目標は東の二階建ての建物だ,,进入场地东部的设施。,,MATCH,36,30,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,5,,,,,record5:segment0:timing0-0,敷地東部の施設に入るんだ,目標は東の二階建ての建物だ,まず警戒を解くんだ,,目标是东边那栋两层建筑。,,MATCH,39,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,6,,,,,record6:segment0:timing0-0,目標は東の二階建ての建物だ,まず警戒を解くんだ,ダンボール？,,先解除警戒。,,MATCH,27,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,7,,,,,record7:segment0:timing24-53,まず警戒を解くんだ,ダンボール？,何に使うんだ？,,纸箱？,,MATCH,18,9,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,8,,,,,record7:segment1:timing0-0,ダンボール？,何に使うんだ？,ホフクのまま<I=ESEARCH>で 敵の気配を探ってみろ,,拿来做什么？,,MATCH,21,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,9,,,,,record8:segment0:timing0-0,何に使うんだ？,ホフクのまま<I=ESEARCH>で 敵の気配を探ってみろ,壁に張り付いたときも同じ事ができる,<I=ESEARCH>,匍匐时按<I=ESEARCH>，试着探查敌人的动静。,<I=ESEARCH>,MATCH,63,56,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
1C7AF2AD,10,,,,,record9:segment0:timing0-0,ホフクのまま<I=ESEARCH>で 敵の気配を探ってみろ,壁に張り付いたときも同じ事ができる,,,贴着墙时也能做同样的事。,,MATCH,51,36,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=YPK_GTT; source_objects=1; review_flag=JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY
