file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
BRIEFING_FILES_BLOCK_039D80,0,stream=0x39000;block=0xD80;text=0,"[""stream=0x39000;block=0xD80;text=0""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]",,"捕虜収容所についてはわかるか。
","奴らは村を接収して、収容所にしてる。路地が入り組んで
るから、哨戒兵の動きに注意して。
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,1,stream=0x39000;block=0xD80;text=1,"[""stream=0x39000;block=0xD80;text=1""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","捕虜収容所についてはわかるか。
","奴らは村を接収して、収容所にしてる。路地が入り組んで
るから、哨戒兵の動きに注意して。
","鉢合わせは勘弁願いたいからな。
",[],,,NOT_CHECKED,128,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,2,stream=0x39000;block=0xD80;text=2,"[""stream=0x39000;block=0xD80;text=2""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","奴らは村を接収して、収容所にしてる。路地が入り組んで
るから、哨戒兵の動きに注意して。
","鉢合わせは勘弁願いたいからな。
","路地をうまく使えば、逆に敵の目から逃れることもできる
はずよ。
",[],,,NOT_CHECKED,46,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,3,stream=0x39000;block=0xD80;text=3,"[""stream=0x39000;block=0xD80;text=3""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","鉢合わせは勘弁願いたいからな。
","路地をうまく使えば、逆に敵の目から逃れることもできる
はずよ。
","で、チコはどこに？
",[],,,NOT_CHECKED,92,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,4,stream=0x39000;block=0xD80;text=4,"[""stream=0x39000;block=0xD80;text=4""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","路地をうまく使えば、逆に敵の目から逃れることもできる
はずよ。
","で、チコはどこに？
","どれかの家に捕まってるはず。戸口から覗いて中を確かめ
て。アイコンが出たら、<I=ACT>を押せばいい。
",[],,,NOT_CHECKED,28,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,5,stream=0x39000;block=0xD80;text=5,"[""stream=0x39000;block=0xD80;text=5""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","で、チコはどこに？
","どれかの家に捕まってるはず。戸口から覗いて中を確かめ
て。アイコンが出たら、<I=ACT>を押せばいい。
","家の中の物音がヒントになるかも。耳を澄ましてみて。
","[""<I=ACT>""]",,,NOT_CHECKED,141,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,6,stream=0x39000;block=0xD80;text=6,"[""stream=0x39000;block=0xD80;text=6""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","どれかの家に捕まってるはず。戸口から覗いて中を確かめ
て。アイコンが出たら、<I=ACT>を押せばいい。
","家の中の物音がヒントになるかも。耳を澄ましてみて。
","やってみよう。
",[],,,NOT_CHECKED,76,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,7,stream=0x39000;block=0xD80;text=7,"[""stream=0x39000;block=0xD80;text=7""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","家の中の物音がヒントになるかも。耳を澄ましてみて。
","やってみよう。
","覗いている間も周囲の巡回は続いている。敵に見つからな
いようにね。
",[],,,NOT_CHECKED,22,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,8,stream=0x39000;block=0xD80;text=8,"[""stream=0x39000;block=0xD80;text=8""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","やってみよう。
","覗いている間も周囲の巡回は続いている。敵に見つからな
いようにね。
","スネーク…。
",[],,,NOT_CHECKED,98,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
BRIEFING_FILES_BLOCK_039D80,9,stream=0x39000;block=0xD80;text=9,"[""stream=0x39000;block=0xD80;text=9""]",1,BRIEFING FILES,"[""stream=0x39000;block=0xD80;block_file=0x39D80;text_base=0x39DD0;capacity=824""]","覗いている間も周囲の巡回は続いている。敵に見つからな
いようにね。
","スネーク…。
","わかってる。チコを助け出せるように、最善を尽くす。
",[],,,NOT_CHECKED,19,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; ENG_CONTEXT_AUXILIARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=BRIEFING_NBE; source_objects=1; physical_jpn_row=YES,,[],,[],NO_RELIABLE_AUX_REFERENCE,UNMAPPED_JPN_ONLY_OR_LOW_CONFIDENCE,JPN is authoritative; no ENG/MLG-CN auxiliary reference passed the semantic/context alignment threshold.
