file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5DCE245A,0,0,0,1,,page798:tag1:entity9:key00000009:ref0:ord0,,馬鹿な,強くなったな,,怎么可能,,MATCH,9,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_NO_TERMINAL_PUNCTUATION_PRESERVED; AUX_EXCLAMATION_NOT_IMPORTED
5DCE245A,1,1,1,1,,page798:tag1:entity8:key00000008:ref1:ord0,馬鹿な,強くなったな,ウェポンコンテナ破損,,变强了啊,,MATCH,18,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_NO_TERMINAL_PUNCTUATION_PRESERVED; AUX_ELLIPSIS_NOT_IMPORTED
5DCE245A,2,2,2,1,,page798:tag1:entity7:key00000007:ref2:ord0,強くなったな,ウェポンコンテナ破損,脚部損傷,,武器箱破损,,MATCH,30,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_DAMAGE_SEMANTICS_PRESERVED; AUX_DESTROYED_OVERSTATEMENT_REJECTED
5DCE245A,3,3,3,1,,page798:tag1:entity6:key00000006:ref3:ord0,ウェポンコンテナ破損,脚部損傷,脚部駆動モーター チャージ,,腿部损伤,,MATCH,12,12,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_DAMAGE_SEMANTICS_PRESERVED; AUX_CRITICAL_OVERSTATEMENT_REJECTED
5DCE245A,4,4,4,1,,page798:tag1:entity5:key00000005:ref4:ord0,脚部損傷,脚部駆動モーター チャージ,バランサーに異常,,腿部驱动马达 充能,,MATCH,37,25,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_PRESERVED; MOTOR_CHARGE_SYSTEM_STYLE_PRESERVED
5DCE245A,5,5,5,1,,page798:tag1:entity4:key00000004:ref5:ord0,脚部駆動モーター チャージ,バランサーに異常,ロケットランチャー発射,,平衡器异常,,MATCH,24,15,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_ABNORMALITY_SEMANTICS_PRESERVED; AUX_DETECTED_ADDITION_REJECTED
5DCE245A,6,6,6,1,,page798:tag1:entity3:key00000003:ref6:ord0,バランサーに異常,ロケットランチャー発射,Ｓマイン発射,,火箭发射器发射,,MATCH,33,21,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_ROCKET_LAUNCHER_FIRE_SYSTEM_STYLE_PRESERVED
5DCE245A,7,7,7,1,,page798:tag1:entity2:key00000002:ref7:ord0,ロケットランチャー発射,Ｓマイン発射,さあ 来い！,,Ｓ型地雷发射,,MATCH,18,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FULLWIDTH_S_GLYPH_PRESERVED; MINE_FIRE_SYSTEM_STYLE_PRESERVED
5DCE245A,8,8,8,1,,page798:tag1:entity10:key0000000A:ref8:ord0,Ｓマイン発射,さあ 来い！,火炎放射開始,,来吧 放马过来！,,MATCH,16,22,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_AND_EXCLAMATION_PRESERVED
5DCE245A,9,9,9,1,,page798:tag1:entity1:key00000001:ref9:ord0,さあ 来い！,火炎放射開始,自己防衛システム 作動,,开始火焰喷射,,MATCH,18,18,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_FLAME_DISCHARGE_START_SEMANTICS_PRESERVED; AUX_FLAMETHROWER_ENTITY_NARROWING_NOT_FORCED
5DCE245A,10,10,10,1,,page798:tag1:entity0:key00000000:ref10:ord0,火炎放射開始,自己防衛システム 作動,,,自卫系统 启动,,MATCH,31,19,APPROVED,READY,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1; review_flag=JPN_INTERNAL_ASCII_SPACE_PRESERVED; SELF_DEFENSE_SYSTEM_ACTIVATION_SEMANTICS_PRESERVED
